date,symbol,weight,sector,position_value
2016-02-01,COR,0.050000000293102094,Health Care,49948.2621952799
2016-02-01,WU,0.05000000019167181,Industrials,49948.26209395458
2016-02-01,CLX,0.050000000149264964,Consumer Staples,49948.26205159161
2016-02-01,KMB,0.05000000009674664,Consumer Staples,49948.26199912764
2016-02-01,AMZN,0.050000000066854115,Consumer Discretionary,49948.26196926604
2016-02-01,ISRG,0.05000000004145669,Health Care,49948.26194389489
2016-02-01,VLO,0.04999999994167068,Energy,49948.26184421214
2016-02-01,HRB,0.04999999973262662,Consumer Discretionary,49948.26163538439
2016-02-01,CTAS,0.04999999938176843,Industrials,49948.26128488926
2016-02-01,BKNG,0.04999999941353367,Consumer Discretionary,49948.261316621625
2016-02-01,CL,0.04999999907328171,Consumer Staples,49948.260976721744
2016-02-01,BALL,0.04999999775248462,Materials,49948.25965729137
2016-02-01,PSX,0.049999997559345345,Energy,49948.25946435194
2016-02-01,PBI,0.04999999763288303,Information Technology,49948.25953781353
2016-02-01,UPS,0.04999999753492631,Industrials,49948.25943995817
2016-02-01,CME,0.049999996156529974,Financials,49948.258062988156
2016-02-01,MA,0.04999999053576506,Financials,49948.25244803939
2016-02-01,SHW,0.04999999073002327,Materials,49948.252642096595
2016-02-01,NEE,0.04999998531928811,Utilities,49948.24723696025
2016-02-01,ICE,0.04999920687854291,Financials,49947.469601715915
2016-02-01,AFL,5.6243336461168674e-08,Financials,0.05618513799663635
2016-02-01,MPC,1.2728411845864123e-08,Energy,0.012715240969597284
2016-02-01,F,1.1150515632576117e-08,Consumer Discretionary,0.011138977503272434
2016-02-01,NDAQ,1.004204972176171e-08,Financials,0.010031658590805827
2016-02-01,GILD,1.001468452052465e-08,Health Care,0.010004321706037772
2016-02-01,NEM,1.0020027324705849e-08,Materials,0.010009658981688496
2016-02-01,EFX,1.0022601399194492e-08,Industrials,0.010012230392622801
2016-02-01,PGR,1.0021548218133823e-08,Financials,0.01001117830135382
2016-02-01,DHR,1.003481505945616e-08,Health Care,0.010024431414653555
2016-02-01,EXR,1.00432175783183e-08,Real Estate,0.01003282523890889
2016-02-01,PSA,1.0046250950585373e-08,Real Estate,0.010035855472357759
2016-02-01,WM,1.0041778893757536e-08,Industrials,0.010031388043044168
2016-02-01,UAL,1.0041987249656427e-08,Industrials,0.010031596183344302
2016-02-01,MCD,1.0046586816694102e-08,Consumer Discretionary,0.010036190990925018
2016-02-01,TSCO,1.0045518944868023e-08,Consumer Discretionary,0.010035124224092072
2016-02-01,XRAY,1.0048546496791724e-08,Health Care,0.010038148643220241
2016-02-01,CINF,1.0036215447234521e-08,Financials,0.010025830353363928
2016-02-01,ADBE,1.0042696069403302e-08,Information Technology,0.010032304269631474
2016-02-01,CCL,1.0034585170994163e-08,Consumer Discretionary,0.010024201764071391
2016-02-01,MSFT,1.0032126392728307e-08,Information Technology,0.010021745530055729
2016-02-01,TROW,1.002561093116702e-08,Financials,0.010015236810446155
2016-02-01,GEN,1.001264024930351e-08,Information Technology,0.010002279550150707
2016-02-01,MCHP,1.000728855493472e-08,Information Technology,0.00999693339351162
2016-02-02,COR,0.05064305853746137,Health Care,49465.6066865706
2016-02-02,WU,0.049513801570957604,Industrials,48362.604961036486
2016-02-02,CLX,0.05008194945211903,Consumer Staples,48917.54339566027
2016-02-02,KMB,0.05074081683127558,Consumer Staples,49561.09209862538
2016-02-02,AMZN,0.04911683795577409,Consumer Discretionary,47974.87075570562
2016-02-02,ISRG,0.05077849807443755,Health Care,49597.897252333314
2016-02-02,VLO,0.04859151031323059,Energy,47461.75698852629
2016-02-02,HRB,0.050514113866060105,Consumer Discretionary,49339.659980663295
2016-02-02,CTAS,0.05062055538423781,Industrials,49443.62673198826
2016-02-02,BKNG,0.05028497101197735,Consumer Discretionary,49115.844701285736
2016-02-02,CL,0.05048833014141593,Consumer Staples,49314.4757279938
2016-02-02,BALL,0.04990444115301367,Materials,48744.162167102506
2016-02-02,PSX,0.050506681739424165,Energy,49332.40065108022
2016-02-02,PBI,0.044038441258121064,Information Technology,43014.546855468376
2016-02-02,UPS,0.05146875423318851,Industrials,50272.104945308674
2016-02-02,CME,0.0509485229334918,Financials,49763.969030930486
2016-02-02,MA,0.049579371928090275,Financials,48426.65080640784
2016-02-02,SHW,0.04995331621412094,Materials,48791.90088232497
2016-02-02,NEE,0.051558119298881266,Utilities,50359.39227191845
2016-02-02,ICE,0.050667051548596874,Financials,49489.041859846664
2016-02-02,AFL,5.830631698235925e-08,Financials,0.056950694260664445
2016-02-02,MPC,1.2550425163868464e-08,Energy,0.012258627595446884
2016-02-02,F,1.0875018641601243e-08,Consumer Discretionary,0.010622174299300055
2016-02-02,NDAQ,1.0366928047268951e-08,Financials,0.01012589681870919
2016-02-02,GILD,1.0079163929562196e-08,Health Care,0.009844823220943348
2016-02-02,NEM,1.0008556871808728e-08,Materials,0.009775857778314218
2016-02-02,EFX,9.946643886002786e-09,Industrials,0.00971538427033281
2016-02-02,PGR,1.025284167659061e-08,Financials,0.01001446295781592
2016-02-02,DHR,1.0073211166633258e-08,Health Care,0.009839008859839477
2016-02-02,EXR,1.0456435185264584e-08,Real Estate,0.010213322914438725
2016-02-02,PSA,1.0320845170245475e-08,Real Estate,0.01008088536924978
2016-02-02,WM,1.0050347729461094e-08,Industrials,0.0098166769979156
2016-02-02,UAL,9.763800240966384e-09,Industrials,0.00953679174271485
2016-02-02,MCD,1.0220662288618722e-08,Consumer Discretionary,0.00998303174108452
2016-02-02,TSCO,1.0198171539223674e-08,Consumer Discretionary,0.009961063901941496
2016-02-02,XRAY,1.0148689180258776e-08,Health Care,0.009912732008545469
2016-02-02,CINF,1.0095772221993437e-08,Financials,0.009861045370332916
2016-02-02,ADBE,1.0080837879149927e-08,Information Technology,0.009846458251178709
2016-02-02,CCL,9.447571670136094e-09,Consumer Discretionary,0.00922791549077646
2016-02-02,MSFT,9.939604261741778e-09,Information Technology,0.00970850831743872
2016-02-02,TROW,9.945265486188199e-09,Financials,0.009714037918334051
2016-02-02,GEN,9.99148496233177e-09,Information Technology,0.00975918279098202
2016-02-02,MCHP,9.946945768757743e-09,Information Technology,0.009715679134309305
2016-02-03,COR,0.050485433132656396,Health Care,49381.42130651874
2016-02-03,WU,0.05002280551271251,Industrials,48928.91039414422
2016-02-03,CLX,0.050786003693218465,Consumer Staples,49675.41901164789
2016-02-03,KMB,0.05160326791634671,Consumer Staples,50474.811359436535
2016-02-03,AMZN,0.04717917372071296,Consumer Discretionary,46147.46293795694
