factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,-0.0039360632191842125,-0.003396821025871768,-0.04367261357195158,-0.34387850314422186,0.952971558176827,0.0465208275643815,0.09999999999999999,0.24691746316780677
beta_to_spy,-0.03674568540103372,-0.03139152719698898,-0.16610933748215034,-1.307946231281337,1.0,0.0,-0.8999999999999998,0.09126300379683253
book_to_market,0.003686920546735428,-0.005312219572188658,-0.048389848510184595,-0.3810220481914322,0.9865217757949994,0.013331223545235176,-0.39999999999999997,0.06468495378338644
earnings_yield,0.003963753541063807,0.013671741274687494,0.15673313274468303,1.2341179213501727,0.9760485042321045,0.023735116104276276,0.0,0.22714621807834176
free_cash_flow_yield,6.325486511627301e-05,-0.0027287204065886837,-0.03504716845800711,-0.27596168040016633,0.9764125355300163,0.02326041378219075,-0.39999999999999997,0.18405813863860504
max_drawdown_252d,0.02247329390976592,0.017688759701046185,0.09126485873413033,0.7186202162931178,1.0,0.0,0.8999999999999998,0.11310673596633156
momentum_12_1,-0.026983196016545953,-0.026017769390660344,-0.14814192700773765,-1.1664706997302092,0.9996736935182409,0.0003164682147236837,-0.9999999999999999,0.23051258855299614
momentum_3m,-0.0038613281366903485,-0.0027638864046009956,-0.017612989658470236,-0.13868481925568324,1.0,0.0,0.39999999999999997,0.4431806138524176
momentum_6m,-0.0072147314356726866,-0.005877618002378363,-0.03541048291758069,-0.2788224213155911,1.0,0.0,-0.09999999999999999,0.3227751704857501
realized_vol_252d,-0.02379573670070856,-0.01707087423271813,-0.10013688038016544,-0.7884785845924014,1.0,0.0,-0.7,0.09409439158747004
realized_vol_60d,-0.017642056396358626,-0.00850141388441789,-0.052061234485739995,-0.409930570271492,1.0,0.0,-0.7,0.2569084278588917
roe,0.0013303003771513637,0.014064462790627442,0.17816364240408725,1.4028619231524075,0.9671068857230903,0.03259622611653942,0.3,0.20497798735092035
sales_yield,0.002579146485126376,0.0016444565696697843,0.01523570856671205,0.11996608922043989,0.7956187781440393,0.19826733652438783,0.3,0.1206485561545955
