fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,ridge,2016-01-29,2017-12-29,2018-01-31,2018-03-29,8884,1211,401,0.07559127570353454,0.23712107568946975,-0.0919743185004649
2,ridge,2016-01-29,2018-03-29,2018-04-30,2018-06-29,10091,1216,405,0.07550729591138237,0.2374222844403414,0.02547100376639236
3,ridge,2016-01-29,2018-06-29,2018-07-31,2018-09-28,11307,1222,405,0.07610051613716792,0.23738664132106527,-0.0479447145012324
4,ridge,2016-01-29,2018-09-28,2018-10-31,2018-12-31,12526,1234,408,0.07503130591209814,0.2373420314335075,0.03725634486955671
5,ridge,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07541576383498942,0.2365501643370818,0.05291012415978541
6,ridge,2016-01-29,2019-03-29,2019-04-30,2019-06-28,14999,1249,418,0.0752212890088032,0.2362014031656969,-0.03225287146872108
7,ridge,2016-01-29,2019-06-28,2019-07-31,2019-09-30,16250,1260,416,0.07641842440968435,0.23838592568372316,0.0735928393639287
8,ridge,2016-01-29,2019-09-30,2019-10-31,2019-12-31,17504,1279,422,0.07456690884287458,0.2355226741777173,0.024824333423530513
9,ridge,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.07849056014428228,0.24218387954989737,-0.06051468942362114
10,ridge,2016-01-29,2020-03-31,2020-04-30,2020-06-30,20064,1297,424,0.07542051887528825,0.23710335796194398,-0.004479710943980792
11,ridge,2016-01-29,2020-06-30,2020-07-31,2020-09-30,21351,1304,434,0.07477577519635746,0.23567685992194118,0.010622021722469276
12,ridge,2016-01-29,2020-09-30,2020-10-30,2020-12-31,22655,1310,434,0.07635335833494676,0.23887152896810943,0.03162291971570804
13,ridge,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07520308098963553,0.23657611205629714,0.12214883061607085
14,ridge,2016-01-29,2021-03-31,2021-04-30,2021-06-30,25279,1339,444,0.07650178128960343,0.23781466574842183,0.05072525752355716
15,ridge,2016-01-29,2021-06-30,2021-07-30,2021-09-30,26615,1343,447,0.07726533468566661,0.2398445122961598,-0.05626210428253799
16,ridge,2016-01-29,2021-09-30,2021-10-29,2021-12-31,27958,1347,447,0.07899600005266955,0.24304389742963717,-0.040657254404860906
17,ridge,2016-01-29,2021-12-31,2022-01-31,2022-03-31,29302,1351,450,0.07905772025967073,0.24336888639338256,-0.042083235408385426
18,ridge,2016-01-29,2022-03-31,2022-04-29,2022-06-30,30652,1365,451,0.0769101860742685,0.23869525782039036,0.024272031215762952
19,ridge,2016-01-29,2022-06-30,2022-07-29,2022-09-30,32011,1371,457,0.07731431742773014,0.2388605954539541,-0.11994845184113088
20,ridge,2016-01-29,2022-09-30,2022-10-31,2022-12-30,33382,1384,457,0.0771249959917083,0.23869713864172717,0.12324038259158097
21,ridge,2016-01-29,2022-12-30,2023-01-31,2023-03-31,34760,1391,463,0.07743064777210903,0.23930127953352195,-0.035212401226433404
22,ridge,2016-01-29,2023-03-31,2023-04-28,2023-06-30,36149,1398,465,0.07737654347929981,0.2402486082643919,0.15524418616525068
23,ridge,2016-01-29,2023-06-30,2023-07-31,2023-09-29,37545,1398,467,0.07941912624223828,0.24273830390471637,-0.14879982158554697
24,ridge,2016-01-29,2023-09-29,2023-10-31,2023-12-29,38945,1397,465,0.07678055095158805,0.23921686912021042,0.04152566968629331
25,ridge,2016-01-29,2023-12-29,2024-01-31,2024-03-28,40340,1402,467,0.0778361525158854,0.24137169152231286,0.002043045847608964
26,ridge,2016-01-29,2024-03-28,2024-04-30,2024-06-28,41741,1402,468,0.07885212710348763,0.2421397956981094,-0.03269650302554366
27,ridge,2016-01-29,2024-06-28,2024-07-31,2024-09-30,43143,1408,468,0.07710462935901413,0.23930654721759478,-0.023063344721700935
28,ridge,2016-01-29,2024-09-30,2024-10-31,2024-12-31,44550,1410,469,0.07919985403786814,0.2429041528335408,-0.012404841955417285
29,ridge,2016-01-29,2024-12-31,2025-01-31,2025-03-31,45957,1418,472,0.07798197751579175,0.2405815599288195,-0.09836025973553225
30,ridge,2016-01-29,2025-03-31,2025-04-30,2025-06-30,47374,1420,473,0.07902342636423526,0.2430435882403269,0.020781486861152644
31,ridge,2016-01-29,2025-06-30,2025-07-31,2025-09-30,48793,1423,474,0.07695623570195971,0.2395436109672957,0.03331451070418758
32,ridge,2016-01-29,2025-09-30,2025-10-31,2025-12-31,50216,1423,474,0.077880077539361,0.24000615952550444,0.05026167580366171
33,ridge,2016-01-29,2025-12-31,2026-01-30,2026-03-31,51638,1429,475,0.07899214552311729,0.24330037511815172,0.033434909500040834
34,ridge,2016-01-29,2026-03-31,2026-04-30,2026-04-30,53065,478,477,0.07864734369193559,0.24192196108303973,0.06485616602002398
