fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07551955716487724,0.23683702268826762,0.07365978808679406
2,lightgbm,2016-04-29,2021-03-31,2021-04-30,2021-06-30,24176,1339,444,0.07653313374782558,0.23778991595906301,0.03657980795298912
3,lightgbm,2016-07-29,2021-06-30,2021-07-30,2021-09-30,24384,1343,447,0.07665912918305277,0.23872198293707353,0.0486755307863753
4,lightgbm,2016-10-31,2021-09-30,2021-10-29,2021-12-31,24578,1347,447,0.07927278672122312,0.2436091595810288,-0.054823977234702316
5,lightgbm,2017-01-31,2021-12-31,2022-01-31,2022-03-31,24764,1351,450,0.07925392851257453,0.2433924400957663,-0.03535667437150681
6,lightgbm,2017-04-28,2022-03-31,2022-04-29,2022-06-30,24947,1365,451,0.07691916333899812,0.23865890858381184,0.038984457042851486
7,lightgbm,2017-07-31,2022-06-30,2022-07-29,2022-09-30,25123,1371,457,0.0764169417460925,0.237507253043853,0.040169890162631894
8,lightgbm,2017-10-31,2022-09-30,2022-10-31,2022-12-30,25300,1384,457,0.07846245098463611,0.24067098689165428,-0.04128980877128873
9,lightgbm,2018-01-31,2022-12-30,2023-01-31,2023-03-31,25475,1391,463,0.07705724104195463,0.23845497786232417,0.02264677381552315
10,lightgbm,2018-04-30,2023-03-31,2023-04-28,2023-06-30,25653,1398,465,0.07823963325470226,0.24149093899359547,0.05679578389958223
11,lightgbm,2018-07-31,2023-06-30,2023-07-31,2023-09-29,25833,1398,467,0.07800927704871488,0.24073558654438432,0.029837338804797504
12,lightgbm,2018-10-31,2023-09-29,2023-10-31,2023-12-29,26011,1397,465,0.07706348091775864,0.23926337946988455,0.03426931360421358
