experiment_run_id,child_run_id,model_type,status,acceptance_status,net_total_return,net_sharpe,average_turnover,cagr,max_drawdown,mean_rank_ic,text_coverage,bias_recommendation,recommendation
20260613T133519Z-experiment-7ad846cd,20260613T133520Z-backtest-11107a4e,rule_score,valid,valid,6.249581013302713,1.1341951585370986,0.0482613181050563,0.2094559046364972,-0.3360310663748761,,,eligible_for_human_review,canonical_reference
20260613T112925Z-experiment-029b1c13,20260613T112925Z-backtest-6f94ed26,ridge,valid,valid,1.4869627112875865,0.5960057104694508,0.3551999999999999,0.209455905328932,-0.3360310663748754,0.0038674475450427,,eligible_for_human_review,rejected
20260613T113548Z-experiment-2880563a,20260613T113549Z-backtest-e7564dc3,elastic_net,valid,valid,1.0733448066277225,0.4627782346256751,0.1804,0.209455905328932,-0.3360310663748754,-0.0176257515317662,,eligible_for_human_review,rejected
20260613T115415Z-experiment-57b88ea5,20260613T115415Z-backtest-01e41c77,lightgbm,valid,valid,2.499815651700559,0.7778455118403788,0.5291999999999999,0.209455905328932,-0.3360310663748754,0.0195021187078009,,eligible_for_human_review,rejected
20260613T144114Z-experiment-ebea7fb3,20260613T144115Z-backtest-1a28002d,text_rule_score,valid,invalid,6.307704535814308,1.13750627879489,0.0484252085784867,0.2103834423545925,-0.3360310805658241,,0.0025138075927998438,hold_for_further_testing,needs_more_data
