signal_date,execution_date,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2017-01-31,2017-02-01,optimal_target_cardinality,,1.0,50,99.99999999999999,499.9999999999999,348.34352887562153,948.3435288756214,0.0009483435288756214,0.0009264717601796871,0.04970929832243427,20.1169606843694
2017-02-28,2017-03-01,optimal_target_cardinality,,0.037670854275713025,50,3.9976116454986936,19.988058227493468,2.9246278399353662,26.910297712927527,2.5358488856745483e-05,5.538825953124405e-05,0.04826119242676159,20.72058210160353
2017-03-31,2017-04-03,optimal,,0.02621892808163146,50,2.7671796092650807,13.835898046325404,1.4160486219234039,18.01912627751389,1.7073057866650207e-05,3.0495231202696774e-05,0.047771135696281775,20.933142690133575
2017-04-28,2017-05-01,optimal_target_cardinality,,0.02936301655144487,50,3.1963384368754055,15.981692184377021,2.739064997863394,21.91709561911582,2.0134039437100562e-05,5.782400289504452e-05,0.046842903562876965,21.347950787416618
2017-05-31,2017-06-01,optimal,,0.04108712387938103,50,4.564023513412138,22.820117567060702,4.732248497363246,32.11638957783609,2.8912429422531195e-05,6.908021937282861e-05,0.04610842843779964,21.68800876284478
2017-06-30,2017-07-03,optimal,,0.02719033233018037,50,2.9873403931905305,14.936701965952649,2.6092398485770136,20.53328220772019,1.8689091083490847e-05,4.139459936767553e-05,0.04589756638918681,21.787647552389487
2017-07-31,2017-08-01,optimal_target_cardinality,,0.03278261123138218,50,3.7443217228944787,18.72160861447239,3.723052176808656,26.188982514175528,2.2929205763974832e-05,4.339785237771033e-05,0.04584931361594238,21.81057732677349
2017-08-31,2017-09-01,optimal_target_cardinality,,0.12084866554003255,50,13.80997640605316,69.04988203026576,53.07754195319357,135.93740038951248,0.0001189564192655178,0.0006312429424510011,0.0459858738964478,21.745808337834923
2017-09-29,2017-10-02,optimal_target_cardinality,,0.01933373247304007,50,2.3124906059008463,11.562453029504233,1.2098281254790426,15.084771760884122,1.2611724384851756e-05,1.2958258582202031e-05,0.04599010270822673,21.743808800433914
2017-10-31,2017-11-01,optimal_target_cardinality,,0.02960878047045243,50,3.651027918775019,18.255139593875093,2.2706449369332313,24.17681244958334,1.96066956544992e-05,2.3200193132085585e-05,0.04508907513367004,22.178321401257907
2017-11-30,2017-12-01,optimal_target_cardinality,,0.04421965231677645,50,5.569572514513959,27.847862572569785,4.159271670179563,37.57670675726331,2.9834047472863435e-05,7.239472586308307e-05,0.04594754655429667,21.763947696713036
2017-12-29,2018-01-02,optimal_target_cardinality,,0.024838164306954326,50,3.183052643658119,15.9152632182906,1.1880964917435115,20.28641235369223,1.5830000306264348e-05,1.1002562076255433e-05,0.045270467878395275,22.08945581667462
2018-01-31,2018-02-01,optimal_target_cardinality,,0.03259760128755366,50,4.470355803901376,22.351779019506882,2.3026753272807716,29.12481015068903,2.1237659607302294e-05,1.678729067756169e-05,0.04446685376452718,22.488660998942457
2018-02-28,2018-03-01,optimal,,0.02363723813057207,50,3.105780155682455,15.52890077841227,1.9660082780402754,20.600689212135,1.5678617679046333e-05,1.527270798075763e-05,0.044243926935586,22.601972050443973
2018-03-29,2018-04-02,optimal,,0.017622919052236435,50,2.2565547099800902,11.282773549900448,1.3315500530886084,14.870878312969147,1.1613646395811336e-05,1.4006842403556262e-05,0.04390576020615381,22.776054788816534
2018-04-30,2018-05-01,optimal,,0.05654152714799817,50,7.564537651199697,37.82268825599847,11.651853181789583,57.039079088987755,4.2634154095264976e-05,5.648588685673343e-05,0.0436375961937073,22.916019378358968
2018-05-31,2018-06-01,optimal_target_cardinality,,0.07874469502397878,50,10.96935284901373,54.84676424506865,36.1337915796445,101.94990867372687,7.318585313769829e-05,0.0002242462663431269,0.04347545771080866,23.00148296659301
2018-06-29,2018-07-02,optimal_target_cardinality,,0.012693464263341508,50,1.7426005234077182,8.71300261703859,1.192787908774253,11.648391049220562,8.484930052675859e-06,2.4977264264388514e-05,0.043206358716455735,23.144741415553174
2018-07-31,2018-08-01,optimal_target_cardinality,,0.012264657634300825,50,1.74090726705876,8.704536335293799,0.9708705520058568,11.416314154358416,8.042770984889142e-06,1.9444581241650133e-05,0.04328148375982325,23.104568354199227
2018-08-31,2018-09-04,optimal_target_cardinality,,0.11172646539878228,50,16.215947258360366,81.07973629180188,95.2120353110844,192.50771886124664,0.00013263614297500076,0.0011819569148730216,0.04318172855036874,23.157942805220582
