signal_date,execution_date,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2023-01-31,2023-02-01,optimal,,0.9999999603751947,96,99.99999603751942,499.9999801875973,428.831859943124,1028.8318361682407,0.0010288318361682406,0.0007205876424273554,0.049999917816821574,20.000032873325402
2023-02-28,2023-03-01,optimal,,0.0572982537047841,63,5.644446898134977,28.222234490674886,9.444925608311088,43.311606997120954,4.3966742727315386e-05,0.00011496630481366997,0.04821924865630781,20.738606010385954
2023-03-31,2023-04-03,optimal,,0.030293546217674855,49,3.062935749323407,15.314678746617037,3.131600475865751,21.509214971806195,2.1273394259029074e-05,5.8817899341991174e-05,0.04734777848805477,21.12031507987829
2023-04-28,2023-05-01,optimal,,0.03193967415249433,41,3.235519843840821,16.177599219204104,3.8401091283595754,23.2532281914045,2.2954596703861033e-05,7.028718682442557e-05,0.04658424089510841,21.46648696608911
2023-05-31,2023-06-01,optimal,,0.07380360850680494,32,7.47268407208861,37.36342036044306,11.138292354544266,55.97439678707593,5.528284652509429e-05,0.0001478964349514006,0.04489682108896364,22.273291866666614
2023-06-30,2023-07-03,optimal,,0.016839943629483954,35,1.8410552166893555,9.20527608344678,0.9199213773586217,11.966252677494756,1.0945408845886584e-05,1.3250999424714471e-05,0.044895705558642585,22.273845294485998
2023-07-31,2023-08-01,optimal,,0.019526845659003044,32,2.2094275111681707,11.047137555840855,1.4156579621766479,14.672223029185673,1.2967261117061902e-05,2.9959252506140294e-05,0.04428702888985192,22.57997488355204
2023-08-31,2023-09-01,optimal,,0.018497990929272352,32,2.0720618330232257,10.36030916511613,1.2062100021406232,13.638581000279977,1.217561868138022e-05,1.7859023999354417e-05,0.04419830503708891,22.625302014655365
2023-09-29,2023-10-02,optimal,,0.01579507710241116,31,1.687745667578129,8.438728337890646,0.8987799032316193,11.025253908700394,1.03181859036543e-05,1.596525750343262e-05,0.044288324785954694,22.579314183433134
2023-10-31,2023-11-01,optimal,,0.020617740920212648,31,2.2334667145859974,11.167333572929982,1.658510566476797,15.059310853992777,1.3901660929033489e-05,4.291741179203049e-05,0.04443443466716201,22.50506859129731
2023-11-30,2023-12-01,optimal,,0.030589973399702382,30,3.546864415565919,17.7343220778296,2.3466157156706293,23.627802209066147,2.0377825492758244e-05,3.3511403443055613e-05,0.04412307072257406,22.663880451284733
2023-12-29,2024-01-02,optimal,,0.0425741861330136,31,5.106856084865101,25.534280424325505,4.024694454787147,34.665830963977754,2.889976759458575e-05,7.167374257021996e-05,0.04320164836503997,23.147264927262103
2024-01-31,2024-02-01,optimal,,0.04037956222026026,32,5.0486431139105425,25.243215569552714,3.247143539384646,33.539002222847905,2.6824835832254686e-05,1.790339237127653e-05,0.042268229468961846,23.658431227508927
2024-02-29,2024-03-01,optimal,,0.04745192753150674,31,6.307881436926682,31.539407184633397,6.44033171435624,44.28762033591632,3.3315986860822995e-05,0.00010512844472705527,0.04261661809593507,23.46502478795669
2024-03-28,2024-04-01,optimal,,0.01567699976949145,34,2.1409277865510012,10.704638932755005,1.144693252809196,13.990259972115203,1.0244404493030796e-05,1.5061447531193851e-05,0.04223759452435555,23.6755906973672
2024-04-30,2024-05-01,optimal,,0.028521311309139714,34,3.6700069911622104,18.350034955811054,3.376405082236715,25.39644702920998,1.9736746377063225e-05,3.647800831429152e-05,0.04144900655620219,24.12603058758632
2024-05-31,2024-06-03,optimal,,0.021862131448569234,34,2.9574279646970902,14.787139823485456,1.7433268092130918,19.487894597395638,1.4405994615248818e-05,2.748563101846248e-05,0.041148645792542626,24.30213633376071
2024-06-28,2024-07-01,optimal,,0.041536013571225223,33,5.76988722228924,28.8494361114462,6.449091911687403,41.06841524542284,2.9564152422130036e-05,7.826095461351358e-05,0.04041348375182564,24.744216710959147
