date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2024-01-02,0.0,0.0,-0.005660579005492328,0.005660579005492328,1000000.0,0.0,0.0,1000000.0,0,0,0.0,994339.4209945076,-0.005596318890426222,0.0,0.0,0.0
2024-01-03,0.0,0.0,-0.008016314922730805,0.008016314922730805,1000000.0,0.0,0.0,1000000.0,0,0,0.0,986368.4830557299,-0.008166725745842207,0.0,0.0,0.0
2024-01-04,0.0,0.0,-0.0034283812973570083,0.0034283812973570083,1000000.0,0.0,0.0,1000000.0,0,0,0.0,982986.8357961192,-0.0032211595318121233,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0018256861788026324,-0.0018256861788026324,1000000.0,0.0,0.0,1000000.0,0,0,0.0,984781.4612761772,0.001369705819588951,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.014114629309846638,-0.014114629309846638,1000000.0,0.0,0.0,1000000.0,0,0,0.0,998681.2865532995,0.01427595793662717,0.0,0.0,0.0
2024-01-09,0.0,0.0,-0.0014779006799081618,0.0014779006799081618,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997205.3348008908,-0.001517061674658704,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.00566597189372442,-0.00566597189372442,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1002855.4722001445,0.0056554239754880165,0.0,0.0,0.0
2024-01-11,0.0,0.0,-0.0006710555783868699,0.0006710555783868699,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1002182.5004412088,-0.0004407250473164037,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0007509755941104146,-0.0007509755941104146,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1002935.1150398847,0.0006927792573832026,0.0,0.0,0.0
2024-01-16,0.0,0.0,-0.0037313402367431525,0.0037313402367431525,1000000.0,0.0,0.0,1000000.0,0,0,0.0,999192.8228902937,-0.003671148458278206,0.0,0.0,0.0
2024-01-17,0.0,0.0,-0.005616897183990499,0.005616897183990499,1000000.0,0.0,0.0,1000000.0,0,0,0.0,993580.4595371376,-0.005558738343145908,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.008805260963896,-0.008805260963896,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1002329.19477199,0.008892865470611522,0.0,0.0,0.0
2024-01-19,0.0,0.0,0.012313502764936146,-0.012313502764936146,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1014671.3780831911,0.012466098408918658,0.0,0.0,0.0
2024-01-22,0.0,0.0,0.0021943252026270788,-0.0021943252026270788,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1016897.8970605034,0.002114348633203589,0.0,0.0,0.0
2024-01-23,0.0,0.0,0.002921374261968035,-0.002921374261968035,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1019868.6364040253,0.002916443353095266,0.0,0.0,0.0
2024-01-24,0.0,0.0,0.0008119284117831249,-0.0008119284117831249,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1020696.6967262081,0.0010931698517426813,0.0,0.0,0.0
2024-01-25,0.0,0.0,0.005260365527706368,-0.005260365527706368,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1026065.9344439105,0.005438949470246479,0.0,0.0,0.0
2024-01-26,0.0,0.0,-0.0006517852510764532,0.0006517852510764532,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1025397.159801208,-0.0012705395269575481,0.0,0.0,0.0
2024-01-29,0.0,0.0,0.007556774896180896,-0.007556774896180896,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1033145.855317009,0.007919417862923606,0.0,0.0,0.0
2024-01-30,0.0,0.0,-0.0006006499345398986,0.0006006499345398986,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1032525.2963266427,-0.000773419443293788,0.0,0.0,0.0
2024-01-31,0.0,0.0,-0.016105744611597972,0.016105744611597972,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015895.7075989912,-0.016317300271938007,0.0,0.0,0.0
2024-02-01,-0.000875915864985255,0.0,0.012493688211609788,-0.013369604076595043,999124.0841350148,0.999999431413556,875.9158649851704,0.5680884101893753,0,0,-0.000875915864985255,1028587.9918252457,0.01308818602695161,0.011986673341920683,0.01207619671241966,1.0
2024-02-02,0.0008048748707309983,0.0008048748707309983,0.01068444607751462,-0.009879571206783622,999928.2540030773,0.0,0.0,0.5680884101893753,0,0,-7.174599692283401e-05,1039577.8847598815,0.010527294822906041,-0.001481509511127897,0.005194123944558539,1.0
2024-02-05,-0.002252214927259244,-0.002252214927259244,-0.0031863375266721894,0.0009341225994129454,997676.2006632233,0.0,0.0,0.5680884101893753,0,0,-0.002323799336776844,1036265.4387337726,-0.003641164139858266,-0.009379484010039553,-0.003864664767729787,1.0
2024-02-06,-0.002579153020810687,-0.002579153020810687,0.0023104108269635937,-0.004889563847774281,995103.0410764918,0.0,0.0,0.5680884101893753,0,0,-0.004896958923508277,1038659.6376230313,0.0029034334313113863,0.0062710428781991194,0.0036254785527631006,1.0
2024-02-07,0.005758969965402594,0.005758969965402594,0.008241457963390042,-0.002482487997987448,1000833.8096025322,0.0,0.0,0.5680884101893753,0,0,0.0,1047219.7073647713,0.008340328730336743,0.004419621969414888,0.006737920665607786,1.0
2024-02-08,-0.002093969468185519,-0.002093969468185519,0.0005705832608251526,-0.002664552729010672,998738.0941624967,0.0,0.0,0.5680884101893753,0,0,-0.002093969468185519,1047817.2334001998,0.0004417485284333722,0.0021111326136636945,0.0009893561361317086,1.0
2024-02-09,0.007275206589786309,0.007275206589786309,0.0057423415255595245,0.001532865064226785,1006004.1201266184,0.0,0.0,0.5680884101893753,0,0,0.0,1053834.1578107507,0.00577933527230079,0.0018847674598794933,0.006006826489692066,1.0
2024-02-12,0.0024674962483159923,0.0024674962483159923,-0.0009489536011326738,0.003416449849448666,1008486.4315188214,0.0,0.0,0.5680884101893753,0,0,0.0,1052834.1180916997,-0.00043895368606916563,0.006117820189591334,-0.0016465310203118513,1.0
2024-02-13,-0.010681089323492876,-0.010681089323492876,-0.013674255653625456,0.0029931663301325795,997714.6978622383,0.0,0.0,0.5680884101893753,0,0,-0.010681089323492876,1038437.3952000543,-0.013772962161111346,-0.01682366115827683,-0.014419502383014114,1.0
2024-02-14,0.011180693253518337,0.011180693253518337,0.009579763275017639,0.001600929978500698,1008869.8398535626,0.0,0.0,0.5680884101893753,0,0,0.0,1048385.3796219969,0.009087543071375936,0.009907009890890066,0.008188768804119183,1.0
2024-02-15,0.0076134902656470604,0.0076134902656470604,0.005821250684729495,0.001792239580917565,1016550.8605585926,0.0,0.0,0.5680884101893753,0,0,0.0,1054488.2937309819,0.00689973723223436,0.01175871471916818,0.0047664503041584694,1.0
