fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.07824103508303257,0.24137244584659262,-0.009091075199519003
2,lightgbm,2016-04-29,2020-03-31,2020-04-30,2020-06-30,18961,1297,424,0.07485909391493362,0.23615498100895677,0.06841693608596663
3,lightgbm,2016-07-29,2020-06-30,2020-07-31,2020-09-30,19120,1304,434,0.07532799939286045,0.23616796536253595,0.0013810939709560618
4,lightgbm,2016-10-31,2020-09-30,2020-10-30,2020-12-31,19275,1310,434,0.076892027358303,0.23976902255624863,0.0009581319426078629
5,lightgbm,2017-01-31,2020-12-31,2021-01-29,2021-03-31,19423,1324,438,0.07597530702354902,0.23775762349868973,0.020953601699877134
6,lightgbm,2017-04-28,2021-03-31,2021-04-30,2021-06-30,19574,1339,444,0.07654893639156986,0.2379364657012292,0.04867854535990398
7,lightgbm,2017-07-31,2021-06-30,2021-07-30,2021-09-30,19727,1343,447,0.07670949619267968,0.23888942147561987,0.03026015223549897
8,lightgbm,2017-10-31,2021-09-30,2021-10-29,2021-12-31,19876,1347,447,0.07903789508839947,0.24304059418504984,-0.037339892141411514
9,lightgbm,2018-01-31,2021-12-31,2022-01-31,2022-03-31,20017,1351,450,0.0790353318196315,0.24317144275940134,-0.028754648492114718
10,lightgbm,2018-04-30,2022-03-31,2022-04-29,2022-06-30,20156,1365,451,0.076984064332162,0.23872166920146534,0.0204288481965117
11,lightgbm,2018-07-31,2022-06-30,2022-07-29,2022-09-30,20299,1371,457,0.07663545997941554,0.23791670571802467,0.019393320115271045
12,lightgbm,2018-10-31,2022-09-30,2022-10-31,2022-12-30,20448,1384,457,0.07781370841538893,0.23977039730118774,0.03149966791073818
13,lightgbm,2019-01-31,2022-12-30,2023-01-31,2023-03-31,20592,1391,463,0.07715597380024884,0.23879253005971984,0.0032060619046656302
14,lightgbm,2019-04-30,2023-03-31,2023-04-28,2023-06-30,20732,1398,465,0.07814314532284782,0.24139283691024216,0.050246077524519636
15,lightgbm,2019-07-31,2023-06-30,2023-07-31,2023-09-29,20879,1398,467,0.07866270210959932,0.24162821062789583,-0.033850947579237234
16,lightgbm,2019-10-31,2023-09-29,2023-10-31,2023-12-29,21019,1397,465,0.07689549567453625,0.23894325381888645,0.04553355183841311
