test,setting,run_id,cagr,sharpe_ratio,max_drawdown
base,configured,20260613T143517Z-backtest-cb353f2b,0.21246308593576324,1.4280482496032705,-0.17728047387482815
top_n_sensitivity,30,20260613T143639Z-backtest-23b122fa,0.2244864431645992,1.4616680243625217,-0.17483059784764954
top_n_sensitivity,50,20260613T143639Z-backtest-a770c9d4,0.17054442005825998,1.1857548081046525,-0.1839374136449481
top_n_sensitivity,100,20260613T143703Z-backtest-4fda9d4a,0.1634854460014592,1.1706610586576773,-0.16224007904683457
rebalance_day_shift,-5,20260613T143717Z-backtest-38ddce7b,0.18147685294546778,1.2938592064651857,-0.15661327765848188
rebalance_day_shift,5,20260613T143815Z-backtest-58532424,0.20130422088447864,1.339355752426566,-0.18674933529674576
