factor_name,quantile,forward_return
accruals,1,0.03146986784143683
accruals,2,0.021442998315247756
accruals,3,0.01335370632197222
accruals,4,0.004378241208044828
accruals,5,0.02012135900821495
beta_to_spy,1,0.036324726598759405
beta_to_spy,2,0.01493600238620676
beta_to_spy,3,0.011548213930438967
beta_to_spy,4,0.014544027172969501
beta_to_spy,5,0.012442230855077433
book_to_market,1,0.03477801208735815
book_to_market,2,0.013600922255315697
book_to_market,3,0.0073399301545774235
book_to_market,4,0.018683190756673178
book_to_market,5,0.015702488591807867
debt_to_equity,1,0.0259183148410811
debt_to_equity,2,0.023777798296040778
debt_to_equity,3,0.018958908449214704
debt_to_equity,4,0.007939585011515099
debt_to_equity,5,0.015281876697136047
earnings_yield,1,0.031786556427529894
earnings_yield,2,0.01579485740902666
earnings_yield,3,0.0062959140807649135
earnings_yield,4,0.022975482113120605
earnings_yield,5,0.013850024947255892
free_cash_flow_yield,1,0.03186111087961228
free_cash_flow_yield,2,0.011387807910758488
free_cash_flow_yield,3,0.009662241398599787
free_cash_flow_yield,4,0.022471573409324052
free_cash_flow_yield,5,0.015305190488986889
gross_margin,1,0.023550882308462605
gross_margin,2,0.02031928496216711
gross_margin,3,0.013958143839871725
gross_margin,4,0.01621881489329054
gross_margin,5,0.018302843797719445
max_drawdown_252d,1,0.01405280311780322
max_drawdown_252d,2,0.021907396563684352
max_drawdown_252d,3,0.011579412474788534
max_drawdown_252d,4,0.012692575518574032
max_drawdown_252d,5,0.03401739796479316
momentum_12_1,1,0.021350027473238047
momentum_12_1,2,0.014434461157716783
momentum_12_1,3,0.011295120289673593
momentum_12_1,4,0.024526409510633635
momentum_12_1,5,0.021184122337294276
momentum_3m,1,0.024522346511058793
momentum_3m,2,0.009258956996963375
momentum_3m,3,0.014872834250972767
momentum_3m,4,0.01933705144546858
momentum_3m,5,0.02416448775652867
momentum_6m,1,0.023637758775087624
momentum_6m,2,0.012058715367730715
momentum_6m,3,0.013125591214023302
momentum_6m,4,0.012278642368912584
momentum_6m,5,0.031231886782432196
operating_margin,1,0.021966325494871722
operating_margin,2,0.008210413884563231
operating_margin,3,0.008954830536930584
operating_margin,4,0.022177258739004328
operating_margin,5,0.031358052508859736
realized_vol_252d,1,0.03748625963550354
realized_vol_252d,2,0.014371922836338697
realized_vol_252d,3,0.01014371297059495
realized_vol_252d,4,0.01217157877063629
realized_vol_252d,5,0.015389420123029763
realized_vol_60d,1,0.031191778383759867
realized_vol_60d,2,0.018894209677558085
realized_vol_60d,3,0.014157885889751134
realized_vol_60d,4,0.007670835009977506
realized_vol_60d,5,0.018907081625405376
roe,1,0.018751762138347856
roe,2,0.01578430786412858
roe,3,0.011724919790331181
roe,4,0.017089165633201456
roe,5,0.029959638409525303
sales_yield,1,0.03274922591536125
sales_yield,2,0.017026054681166993
sales_yield,3,0.011217479509345036
sales_yield,4,0.012329894304421827
sales_yield,5,0.017187646669836586
