month,portfolio_return,benchmark_return
2023-01,0.0,0.10642939626536196
2023-02,-0.046753137377203324,-0.003597860246632112
2023-03,0.05622989570449466,0.09492737659382744
2023-04,0.05220788592057701,0.005078995357472804
2023-05,-0.026629016495340996,0.07883775635674217
2023-06,0.053837416177993314,0.06303853717634644
2023-07,0.016374006249213924,0.03860126661455543
2023-08,0.017517288019116117,-0.014830177239748554
2023-09,-0.03514478037673818,-0.05079858144843119
2023-10,-0.012097700932489741,-0.020654968889734393
2023-11,0.08675838152894833,0.10818821491502106
2023-12,0.022668913306656213,0.055869654359622434
2024-01,0.06070242514868318,0.018192121696024133
2024-02,0.08615300430595041,0.05283351855967999
2024-03,0.03468914922622601,0.01274973972726734
2024-04,-0.060951523651858075,-0.04373783854641289
2024-05,0.05411918381878844,0.06151821713194128
2024-06,0.05422555037362953,0.06470127622894939
2024-07,-0.022088401393249524,-0.016781052736750568
2024-08,0.027924295256247733,0.01103860185513228
2024-09,0.0265343636358073,0.026215968834937486
2024-10,-0.027329999629284174,-0.008646256020135135
2024-11,0.06769912920741628,0.05350822184263926
2024-12,-0.017646588617275527,0.004540400604059025
2025-01,0.028802587755370812,0.0216339625259776
2025-02,-0.008111670856259745,-0.02703463139062323
2025-03,-0.08827180637116705,-0.07586185556904645
2025-04,-0.015540513910240028,0.013968168310428464
2025-05,0.04712439892505915,0.09178273617364141
2025-06,0.04642530356079089,0.06385856450405303
2025-07,0.020567523298774315,0.024236854046483236
2025-08,0.016000457629927745,0.009539646951851388
2025-09,0.0314106588060703,0.053762267528213004
2025-10,0.03319063920127796,0.0478038174643991
2025-11,0.017180433898546843,-0.015610296739697715
2025-12,-0.005354979858862241,-0.006699323526130341
2026-01,0.013683601477121554,0.012306484762509395
2026-02,0.023888096619201216,-0.02344542544546724
2026-03,-0.0750013313508816,-0.048382514823681166
2026-04,0.07717242699008264,0.15690079127442003
2026-05,0.02424451150157525,0.10568485990999088
2026-06,-0.0333435208765136,-0.02929664362440898
