date,hhi,effective_holdings,largest_weight,top_10_weight
2023-02-01,0.13779998500220253,7.256894839168643,0.150000000131909,0.9999999999999999
2023-02-02,0.13818225077644158,7.236819449538797,0.15571331395118088,1.0
2023-02-03,0.1383763103730845,7.22667049947958,0.15893165149313826,1.0
2023-02-06,0.13832207511716416,7.229504033632819,0.15650522602862713,1.0
2023-02-07,0.1386769860002424,7.211001831250155,0.15727133034893304,1.0000000000000002
2023-02-08,0.13869439573127545,7.2100966641617585,0.1567629222673371,0.9999999999999999
2023-02-09,0.1385349972857795,7.218392605423245,0.15579075160153893,0.9999999999999999
2023-02-10,0.1382744704431667,7.2319929831951,0.15519658186544086,1.0
2023-02-13,0.1383481651148943,7.228140678046057,0.15798316118087286,1.0
2023-02-14,0.13842427494102477,7.224166429089456,0.15918964504013322,1.0
2023-02-15,0.1384226866322681,7.224249321620141,0.15786663451454444,1.0
2023-02-16,0.13829717187605545,7.230805854050429,0.15922071528496978,1.0
2023-02-17,0.13784318589569639,7.254620484154241,0.15830569261416846,1.0
2023-02-21,0.13768747010363558,7.26282499959737,0.15739041931946215,1.0
2023-02-22,0.13784971993015585,7.2542766173675854,0.15829956221428695,1.0
2023-02-23,0.1378748725231875,7.252953215473125,0.15880107935237658,1.0
2023-02-24,0.13761945460006972,7.266414497180353,0.1583573349090678,1.0
2023-02-27,0.13780826463263277,7.256458839139911,0.15918227094746235,1.0
2023-02-28,0.13786064598012596,7.2537016847009435,0.15960079405466188,1.0
2023-03-01,0.13535691575801245,7.387875192042451,0.15000000173196038,1.0000000000000002
2023-03-02,0.13558274896052713,7.3755695888061314,0.15157744487502697,1.0
2023-03-03,0.13596863108660184,7.354637551385473,0.15192478596187015,1.0
2023-03-06,0.1358391724666888,7.361646731506887,0.1541059437738094,1.0000000000000002
2023-03-07,0.13575908651385946,7.3659894573459095,0.15470075748976353,1.0
2023-03-08,0.13609715470241468,7.347692184943655,0.15578650250302606,1.0000000000000002
2023-03-09,0.1359109051809694,7.3577613118569865,0.1557342755419351,1.0000000000000002
2023-03-10,0.13550001816474877,7.38007281138621,0.15654627018768277,1.0
2023-03-13,0.13577176473674504,7.365301629090203,0.1575870049433411,1.0000000000000002
2023-03-14,0.13603775215468777,7.35090064457185,0.1595040481400433,1.0000000000000002
2023-03-15,0.1362387068299165,7.3400579267713,0.1625384649569359,1.0000000000000002
2023-03-16,0.1368692168379708,7.3062447722180295,0.16688573554120634,1.0000000000000002
2023-03-17,0.1371901944397027,7.289150686636836,0.16994174052142658,1.0
2023-03-20,0.13668731329260456,7.31596792644036,0.16419178139048898,1.0000000000000002
2023-03-21,0.13672833799347425,7.313772804345269,0.1635940864870932,1.0
2023-03-22,0.1368595785643477,7.306759311185712,0.1645283164826726,1.0000000000000002
2023-03-23,0.1370437688171566,7.296938843926549,0.16682324231562054,1.0
2023-03-24,0.13703064675253368,7.297637599316885,0.16831595387607443,1.0
2023-03-27,0.13648763643389789,7.3266709434470165,0.16588447214319338,1.0000000000000002
2023-03-28,0.13642068549308964,7.330266640909489,0.1651594352655779,1.0
2023-03-29,0.13663052337167078,7.319008778731955,0.16605329327554036,1.0
2023-03-30,0.13675093316307116,7.312564359670816,0.16643706634240904,1.0000000000000002
2023-03-31,0.13696547775864548,7.301109858954063,0.1662278922181352,1.0
2023-04-03,0.13557927513438628,7.375758566409204,0.15000000009155243,1.0
2023-04-04,0.13545209460986313,7.382683914045458,0.1512851860912548,1.0
2023-04-05,0.13499201914670933,7.407845340198964,0.15424325429804572,1.0
2023-04-06,0.13522035250029363,7.39533643796579,0.15616536907223183,1.0000000000000002
