factor_name,horizon_days,rank_ic
accruals,1,0.006097977399152892
beta_to_spy,1,-0.031179632495183414
book_to_market,1,0.012249991864272738
earnings_yield,1,0.009890198846099462
free_cash_flow_yield,1,0.01677702532067786
max_drawdown_252d,1,0.006965134433011921
momentum_12_1,1,0.01073924649207485
momentum_3m,1,0.018651348130216336
momentum_6m,1,0.022217789668852943
realized_vol_252d,1,-0.02901627624350974
realized_vol_60d,1,-0.017122532686170897
roe,1,0.0082923792524966
sales_yield,1,0.022131467846662072
accruals,5,0.00966704937200382
beta_to_spy,5,-0.009332254421977037
book_to_market,5,0.0019144505380696856
earnings_yield,5,0.016198350410447957
free_cash_flow_yield,5,0.017419795740684824
max_drawdown_252d,5,-0.011742833214215325
momentum_12_1,5,0.007942618472790406
momentum_3m,5,-0.010532713295844764
momentum_6m,5,0.00205617691688979
realized_vol_252d,5,-0.003980867583803537
realized_vol_60d,5,0.00022511213586057748
roe,5,0.016353333443743987
sales_yield,5,0.012899607793256017
accruals,21,0.002221728024801573
beta_to_spy,21,-0.026191037645985547
book_to_market,21,0.0025093679075263646
earnings_yield,21,0.012928545932941614
free_cash_flow_yield,21,0.009866324325351509
max_drawdown_252d,21,0.00035045575840520464
momentum_12_1,21,0.005807223878576112
momentum_3m,21,-0.004008991490730586
momentum_6m,21,-0.0004980768262126712
realized_vol_252d,21,-0.009906940666479853
realized_vol_60d,21,-0.0077068995829287675
roe,21,0.0030717135424631298
sales_yield,21,0.01775791582656004
accruals,63,0.002312889598612475
beta_to_spy,63,-0.03287197027117425
book_to_market,63,0.0035200024738388453
earnings_yield,63,0.024246136710622253
free_cash_flow_yield,63,0.022153220042740455
max_drawdown_252d,63,0.0013895235427973944
momentum_12_1,63,0.0008158769350785995
momentum_3m,63,-0.009410768008260927
momentum_6m,63,0.0018161817224888275
realized_vol_252d,63,-0.008105963300987753
realized_vol_60d,63,-0.00978435360441028
roe,63,0.003960228575308412
sales_yield,63,0.02890983339264196
