signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2016-02-05,2016-02-08,362,362,0,1.0,1.0,0.0,0
2016-03-07,2016-03-08,369,7,0,1.0,1.0,0.0,0
2016-04-07,2016-04-08,371,3,1,1.0,1.0,0.0,0
2016-05-06,2016-05-09,372,3,2,1.0,1.0,0.0,0
2016-06-07,2016-06-08,377,5,0,1.0,1.0,0.0,0
2016-07-08,2016-07-11,380,3,0,1.0,1.0,0.0,0
2016-08-05,2016-08-08,382,3,1,1.0,1.0,0.0,0
2016-09-08,2016-09-09,382,0,0,1.0,1.0,0.0,0
2016-10-07,2016-10-10,385,3,0,1.0,1.0,0.0,0
2016-11-07,2016-11-08,385,1,1,1.0,1.0,0.0,0
2016-12-07,2016-12-08,386,1,0,1.0,1.0,0.0,0
2017-01-09,2017-01-10,386,1,1,1.0,1.0,0.0,0
2017-02-07,2017-02-08,387,1,0,1.0,1.0,0.0,0
2017-03-07,2017-03-08,388,1,0,1.0,1.0,0.0,0
2017-04-07,2017-04-10,392,6,2,1.0,1.0,0.0,0
2017-05-05,2017-05-08,394,3,1,1.0,1.0,0.0,0
2017-06-07,2017-06-08,395,1,0,1.0,1.0,0.0,0
2017-07-10,2017-07-11,395,3,3,1.0,1.0,0.0,0
2017-08-07,2017-08-08,397,4,2,1.0,1.0,0.0,0
2017-09-08,2017-09-11,398,2,1,1.0,1.0,0.0,0
2017-10-06,2017-10-09,400,2,0,1.0,1.0,0.0,0
2017-11-07,2017-11-08,401,2,1,1.0,1.0,0.0,0
2017-12-07,2017-12-08,401,1,1,1.0,1.0,0.0,0
2018-01-08,2018-01-09,402,1,0,1.0,1.0,0.0,0
2018-02-07,2018-02-08,403,1,0,1.0,1.0,0.0,0
2018-03-07,2018-03-08,403,0,0,1.0,1.0,0.0,0
2018-04-06,2018-04-09,405,3,1,1.0,1.0,0.0,0
2018-05-07,2018-05-08,405,1,1,1.0,1.0,0.0,0
2018-06-07,2018-06-08,406,1,0,1.0,1.0,0.0,0
2018-07-09,2018-07-10,405,2,3,1.0,1.0,0.0,0
2018-08-07,2018-08-08,406,2,1,1.0,1.0,0.0,0
2018-09-10,2018-09-11,408,2,0,1.0,1.0,0.0,0
2018-10-05,2018-10-08,408,0,0,1.0,1.0,0.0,0
2018-11-07,2018-11-08,411,3,0,1.0,1.0,0.0,0
2018-12-10,2018-12-11,410,3,4,1.0,1.0,0.0,0
2019-01-08,2019-01-09,413,3,0,1.0,1.0,0.0,0
2019-02-07,2019-02-08,414,2,1,1.0,1.0,0.0,0
2019-03-07,2019-03-08,416,3,1,1.0,1.0,0.0,0
2019-04-05,2019-04-08,418,2,0,1.0,1.0,0.0,0
2019-05-07,2019-05-08,416,0,2,1.0,1.0,0.0,0
2019-06-07,2019-06-10,417,1,0,1.0,1.0,0.0,0
2019-07-08,2019-07-09,417,2,2,1.0,1.0,0.0,0
2019-08-07,2019-08-08,418,2,1,1.0,1.0,0.0,0
2019-09-09,2019-09-10,422,4,0,1.0,1.0,0.0,0
2019-10-07,2019-10-08,421,2,3,1.0,1.0,0.0,0
2019-11-07,2019-11-08,426,6,1,1.0,1.0,0.0,0
2019-12-06,2019-12-09,427,1,0,1.0,1.0,0.0,0
2020-01-08,2020-01-09,429,5,3,1.0,1.0,0.0,0
2020-02-07,2020-02-10,430,2,1,1.0,1.0,0.0,0
2020-03-06,2020-03-09,428,0,2,1.0,1.0,0.0,0
2020-04-07,2020-04-08,426,2,4,1.0,1.0,0.0,0
2020-05-07,2020-05-08,429,4,1,1.0,1.0,0.0,0
2020-06-05,2020-06-08,435,7,1,1.0,1.0,0.0,0
2020-07-08,2020-07-09,435,3,3,1.0,1.0,0.0,0
2020-08-07,2020-08-10,435,1,1,1.0,1.0,0.0,0
2020-09-08,2020-09-09,436,1,0,1.0,1.0,0.0,0
2020-10-07,2020-10-08,435,2,3,1.0,1.0,0.0,0
2020-11-06,2020-11-09,436,1,0,1.0,1.0,0.0,0
2020-12-07,2020-12-08,437,1,0,1.0,1.0,0.0,0
2021-01-08,2021-01-11,438,1,0,1.0,1.0,0.0,0
2021-02-05,2021-02-08,440,2,0,1.0,1.0,0.0,0
2021-03-05,2021-03-08,441,2,1,1.0,1.0,0.0,0
2021-04-08,2021-04-09,444,6,3,1.0,1.0,0.0,0
2021-05-07,2021-05-10,446,2,0,1.0,1.0,0.0,0
2021-06-07,2021-06-08,447,1,0,1.0,1.0,0.0,0
2021-07-08,2021-07-09,447,0,0,1.0,1.0,0.0,0
2021-08-06,2021-08-09,448,1,0,1.0,1.0,0.0,0
2021-09-08,2021-09-09,448,1,1,1.0,1.0,0.0,0
2021-10-07,2021-10-08,447,2,3,1.0,1.0,0.0,0
2021-11-05,2021-11-08,449,2,0,1.0,1.0,0.0,0
2021-12-07,2021-12-08,449,0,0,1.0,1.0,0.0,0
2022-01-07,2022-01-10,450,3,2,1.0,1.0,0.0,0
2022-02-07,2022-02-08,450,0,0,1.0,1.0,0.0,0
2022-03-07,2022-03-08,450,1,1,1.0,1.0,0.0,0
2022-04-07,2022-04-08,451,1,0,1.0,1.0,0.0,0
2022-05-06,2022-05-09,454,3,0,1.0,1.0,0.0,0
2022-06-07,2022-06-08,455,1,0,1.0,1.0,0.0,0
2022-07-08,2022-07-11,457,3,1,1.0,1.0,0.0,0
2022-08-05,2022-08-08,457,0,0,1.0,1.0,0.0,0
2022-09-08,2022-09-09,457,0,0,1.0,1.0,0.0,0
2022-10-07,2022-10-10,457,2,2,1.0,1.0,0.0,0
2022-11-07,2022-11-08,460,3,0,1.0,1.0,0.0,0
2022-12-07,2022-12-08,461,1,0,1.0,1.0,0.0,0
2023-01-09,2023-01-10,463,2,0,1.0,1.0,0.0,0
2023-02-07,2023-02-08,462,1,2,1.0,1.0,0.0,0
2023-03-07,2023-03-08,463,1,0,1.0,1.0,0.0,0
2023-04-10,2023-04-11,465,2,0,1.0,1.0,0.0,0
2023-05-05,2023-05-08,465,0,0,1.0,1.0,0.0,0
2023-06-07,2023-06-08,466,1,0,1.0,1.0,0.0,0
2023-07-10,2023-07-11,467,1,0,1.0,1.0,0.0,0
2023-08-07,2023-08-08,467,0,0,1.0,1.0,0.0,0
2023-09-08,2023-09-11,466,0,1,1.0,1.0,0.0,0
2023-10-06,2023-10-09,465,1,2,1.0,1.0,0.0,0
2023-11-07,2023-11-08,465,2,2,1.0,1.0,0.0,0
2023-12-07,2023-12-08,465,0,0,1.0,1.0,0.0,0
2024-01-08,2024-01-09,467,4,2,1.0,1.0,0.0,0
2024-02-07,2024-02-08,467,0,0,1.0,1.0,0.0,0
2024-03-07,2024-03-08,468,1,0,1.0,1.0,0.0,0
2024-04-05,2024-04-08,468,2,2,1.0,1.0,0.0,0
2024-05-07,2024-05-08,467,1,2,1.0,1.0,0.0,0
2024-06-07,2024-06-10,468,1,0,1.0,1.0,0.0,0
2024-07-08,2024-07-09,468,2,2,1.0,1.0,0.0,0
2024-08-07,2024-08-08,469,1,0,1.0,1.0,0.0,0
2024-09-09,2024-09-10,470,1,0,1.0,1.0,0.0,0
2024-10-07,2024-10-08,470,3,3,1.0,1.0,0.0,0
2024-11-07,2024-11-08,469,1,2,1.0,1.0,0.0,0
2024-12-06,2024-12-09,471,2,0,1.0,1.0,0.0,0
2025-01-08,2025-01-10,472,3,2,1.0,1.0,0.0,0
2025-02-07,2025-02-10,473,1,0,1.0,1.0,0.0,0
2025-03-07,2025-03-10,473,0,0,1.0,1.0,0.0,0
2025-04-07,2025-04-08,473,4,4,1.0,1.0,0.0,0
2025-05-07,2025-05-08,473,0,0,1.0,1.0,0.0,0
2025-06-06,2025-06-09,474,1,0,1.0,1.0,0.0,0
2025-07-08,2025-07-09,474,0,0,1.0,1.0,0.0,0
2025-08-07,2025-08-08,474,0,0,1.0,1.0,0.0,0
2025-09-08,2025-09-09,475,1,0,1.0,1.0,0.0,0
2025-10-07,2025-10-08,474,2,3,1.0,1.0,0.0,0
2025-11-07,2025-11-10,474,1,1,1.0,1.0,0.0,0
2025-12-05,2025-12-08,474,1,1,1.0,1.0,0.0,0
2026-01-08,2026-01-09,475,3,2,1.0,1.0,0.0,0
2026-02-06,2026-02-09,475,0,0,1.0,1.0,0.0,0
2026-03-06,2026-03-09,477,2,0,1.0,1.0,0.0,0
2026-04-08,2026-04-09,477,4,4,1.0,1.0,0.0,0
2026-05-07,2026-05-08,478,1,0,1.0,1.0,0.0,0
2026-06-05,2026-06-08,479,1,0,1.0,1.0,0.0,0
