fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07553961901663396,0.23693292661696225,0.07993060774935346
2,lightgbm,2016-04-29,2021-03-31,2021-04-30,2021-06-30,24176,1339,444,0.07667466028590798,0.23794153760512338,0.019097737506958833
3,lightgbm,2016-07-29,2021-06-30,2021-07-30,2021-09-30,24384,1343,447,0.0767734566481287,0.23892571784428498,0.020772898339647496
4,lightgbm,2016-10-31,2021-09-30,2021-10-29,2021-12-31,24578,1347,447,0.07925651670347507,0.24356692757176687,-0.055082790634864674
5,lightgbm,2017-01-31,2021-12-31,2022-01-31,2022-03-31,24764,1351,450,0.07915312146826937,0.24320022493475238,-0.03033293771213201
6,lightgbm,2017-04-28,2022-03-31,2022-04-29,2022-06-30,24947,1365,451,0.07693699239598693,0.23863842177765687,0.03173591660118625
7,lightgbm,2017-07-31,2022-06-30,2022-07-29,2022-09-30,25123,1371,457,0.07655227853622855,0.23766094367755644,0.02793468276023933
8,lightgbm,2017-10-31,2022-09-30,2022-10-31,2022-12-30,25300,1384,457,0.0782689665129535,0.24047372214659998,-0.02835123252771703
9,lightgbm,2018-01-31,2022-12-30,2023-01-31,2023-03-31,25475,1391,463,0.07708577297753573,0.23850726762361862,0.015162134597191719
10,lightgbm,2018-04-30,2023-03-31,2023-04-28,2023-06-30,25653,1398,465,0.07819575098906548,0.24141240796360308,0.07216460504134706
11,lightgbm,2018-07-31,2023-06-30,2023-07-31,2023-09-29,25833,1398,467,0.07808365671371707,0.24074400724035283,0.017160384795518253
12,lightgbm,2018-10-31,2023-09-29,2023-10-31,2023-12-29,26011,1397,465,0.076935402201711,0.23914290833915364,0.02664877484150241
