factor,accruals,beta_to_spy,book_to_market,debt_to_equity,earnings_yield,free_cash_flow_yield,gross_margin,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,operating_margin,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.02823650542748279,-0.15166622454179488,0.1200076045375458,-0.13554342637571723,0.49195529659590614,0.09908269718437551,-0.016374438435955804,0.04623308770784929,0.023551073329098216,0.03229614058997889,0.08615492187459274,-0.010632599661654243,-0.01031603212075033,-0.02960962029711083,-0.030672060486620127
beta_to_spy,0.02823650542748279,1.0,-0.10964964770601911,0.1435407278365675,0.0378563553276163,0.03698403858044429,-0.017781795574489084,-0.4539167879706013,0.012907683259433358,-0.022897576525228,-0.013047781964894596,0.034371016632903165,0.6910960352167208,0.575935138829363,0.02577558343274241,-0.021101147550754717
book_to_market,-0.15166622454179488,-0.10964964770601911,1.0,-0.11895421737038445,0.2829088258415155,0.2119312513293483,-0.11015946960243377,0.16041763997284234,-0.1617621719340285,-0.07433839166860999,-0.10937848604064782,-0.08772758605559705,-0.12435766586674618,-0.11101901445203301,-0.16977043538790293,0.33589101610727873
debt_to_equity,0.1200076045375458,0.1435407278365675,-0.11895421737038445,1.0,-0.10293135745123246,-0.03988053752510743,0.07119462045423675,-0.13624380322765292,0.015146147731142244,-0.0018475426402669605,0.0008868021632367989,0.033854772810657095,0.15338966874506607,0.12756190403771556,-0.31149837653062346,-0.09225503423429349
earnings_yield,-0.13554342637571723,0.0378563553276163,0.2829088258415155,-0.10293135745123246,1.0,0.382202235602757,-0.002867641112869482,-0.03062899856983018,0.006548618175523151,-0.030817972626568192,-0.02090797133895502,0.2201903145663593,0.05712267513899505,0.052976414420470255,0.3885287169837546,0.3168557359969482
free_cash_flow_yield,0.49195529659590614,0.03698403858044429,0.2119312513293483,-0.03988053752510743,0.382202235602757,1.0,0.04963422293653063,0.001871852117449445,-0.0022813332521886965,-0.009226296502117126,-0.0068426677624357675,0.07851862422814498,0.007397108151020398,0.008742520679474392,0.11303643107726435,0.3115370125518441
gross_margin,0.09908269718437551,-0.017781795574489084,-0.11015946960243377,0.07119462045423675,-0.002867641112869482,0.04963422293653063,1.0,-0.02803574326078638,0.046592213809464156,0.01123754425955701,0.024653537779161364,0.5370550706695939,-0.005394142531103445,-0.000366828325494867,0.06686182633489957,-0.3427714445842007
max_drawdown_252d,-0.016374438435955804,-0.4539167879706013,0.16041763997284234,-0.13624380322765292,-0.03062899856983018,0.001871852117449445,-0.02803574326078638,1.0,-0.5281073416743692,-0.1709404005344965,-0.33404199673405816,-0.08224103029517553,-0.6866425837294018,-0.6253131139056476,-0.059243143087272424,0.08886839755272477
momentum_12_1,0.04623308770784929,0.012907683259433358,-0.1617621719340285,0.015146147731142244,0.006548618175523151,-0.0022813332521886965,0.046592213809464156,-0.5281073416743692,1.0,0.29379016350153936,0.5470011681599225,0.07251175120863208,0.13223500924267056,0.15582956907755124,0.0697573121754911,-0.06491032389166933
momentum_3m,0.023551073329098216,-0.022897576525228,-0.07433839166860999,-0.0018475426402669605,-0.030817972626568192,-0.009226296502117126,0.01123754425955701,-0.1709404005344965,0.29379016350153936,1.0,0.6689462726726526,0.00950163543018012,-0.00034594219153193014,0.08694550618099296,0.015395025900455243,-0.029303543239091522
momentum_6m,0.03229614058997889,-0.013047781964894596,-0.10937848604064782,0.0008868021632367989,-0.02090797133895502,-0.0068426677624357675,0.024653537779161364,-0.33404199673405816,0.5470011681599225,0.6689462726726526,1.0,0.026919644863305947,0.037463265165333444,0.1330543350565103,0.04002598258892574,-0.04276634885832261
operating_margin,0.08615492187459274,0.034371016632903165,-0.08772758605559705,0.033854772810657095,0.2201903145663593,0.07851862422814498,0.5370550706695939,-0.08224103029517553,0.07251175120863208,0.00950163543018012,0.026919644863305947,1.0,0.0834515339014962,0.07910966660207072,0.18504131224409726,-0.3592293127804256
realized_vol_252d,-0.010632599661654243,0.6910960352167208,-0.12435766586674618,0.15338966874506607,0.05712267513899505,0.007397108151020398,-0.005394142531103445,-0.6866425837294018,0.13223500924267056,-0.00034594219153193014,0.037463265165333444,0.0834515339014962,1.0,0.8223365381308154,0.04868500622046838,-0.08801223833251019
realized_vol_60d,-0.01031603212075033,0.575935138829363,-0.11101901445203301,0.12756190403771556,0.052976414420470255,0.008742520679474392,-0.000366828325494867,-0.6253131139056476,0.15582956907755124,0.08694550618099296,0.1330543350565103,0.07910966660207072,0.8223365381308154,1.0,0.04299252367541649,-0.08758062083747498
roe,-0.02960962029711083,0.02577558343274241,-0.16977043538790293,-0.31149837653062346,0.3885287169837546,0.11303643107726435,0.06686182633489957,-0.059243143087272424,0.0697573121754911,0.015395025900455243,0.04002598258892574,0.18504131224409726,0.04868500622046838,0.04299252367541649,1.0,0.007020334824145599
sales_yield,-0.030672060486620127,-0.021101147550754717,0.33589101610727873,-0.09225503423429349,0.3168557359969482,0.3115370125518441,-0.3427714445842007,0.08886839755272477,-0.06491032389166933,-0.029303543239091522,-0.04276634885832261,-0.3592293127804256,-0.08801223833251019,-0.08758062083747498,0.007020334824145599,1.0
