sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Utilities,0.13611282279422876,-0.1356185032052665,0.27173132599949534
Industrials,0.47465839829085504,0.24654391917962426,0.2281144791112308
Health Care,0.37140362028909396,0.2627451094878848,0.10865851080120915
Real Estate,0.08048539867435177,0.04105647034116375,0.03942892833318803
Consumer Staples,0.15861483572480486,0.15389482238421376,0.004720013340591092
Financials,0.4780403190780576,0.4737716056788233,0.00426871339923438
Energy,0.12525840258688614,0.12604698436769396,-0.0007885817808078364
Transaction Costs,-0.1184511196071657,0.0,-0.1184511196071657
Materials,0.11058807483326359,0.2750159790295224,-0.16442790419625883
Information Technology,0.8593956498974917,1.1649159383723255,-0.3055202884748337
Communication Services,0.13183585179792473,0.44811192514215276,-0.316276073344228
Consumer Discretionary,0.3767737267785073,0.9019476554988436,-0.5251739287203362
