signal_date,execution_date,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2016-01-29,2016-02-01,top_n_equal_weight,,1.0,100,100.0,500.0,222.57530753548014,822.5753075354801,0.0008225753075354801,0.0005318252191626684,0.01,100.0
2016-02-29,2016-03-01,top_n_equal_weight,,0.586308899366035,100,60.81581953792932,304.0790976896466,159.93802060918452,524.8329378367604,0.0005059772678755073,0.00035251859619123317,0.01,100.0
2016-03-31,2016-04-01,top_n_equal_weight,,0.22558486277801026,100,24.71204399475258,123.56021997376295,82.85518697427649,231.12745094279205,0.00021098560004276595,0.00023463121464430728,0.01,100.0
2016-04-29,2016-05-02,top_n_equal_weight,,0.519015546869801,100,57.18600995768434,285.93004978842146,136.09290336936962,479.2089631154754,0.00043492613357765423,0.0004638201009016925,0.01,100.0
2016-05-31,2016-06-01,top_n_equal_weight,,0.6433984489579183,100,71.26010165379212,356.30050826896075,150.3591504193455,577.9197603420984,0.0005217964454116813,0.00045016088125848373,0.01,100.0
2016-06-30,2016-07-01,top_n_equal_weight,,0.28278256266337554,100,31.733290784143733,158.66645392071868,87.23079972241857,277.630544427281,0.00024740288475219704,0.0005938389096212905,0.01,100.0
2016-07-29,2016-08-01,top_n_equal_weight,,0.36113183756592737,100,41.910015244190305,209.55007622095152,82.89894588417081,334.35903734931264,0.00028811178631453775,0.0004372606064808475,0.01,100.0
2016-08-31,2016-09-01,top_n_equal_weight,,0.39977756405222037,100,46.45595323302759,232.27976616513797,130.51221146220126,409.2479308603668,0.00035217906319152356,0.0007993234636482175,0.01,100.0
2016-09-30,2016-10-03,top_n_equal_weight,,0.3456832754694017,100,39.83489247038873,199.17446235194362,87.89381654507014,326.9031713674025,0.0002836833540434961,0.0003592600770502707,0.01,100.0
2016-10-31,2016-11-01,top_n_equal_weight,,0.37093830972017916,100,41.52314643733426,207.61573218667132,88.39282108020629,337.53169970421186,0.0003015268564828376,0.00032721864265247203,0.01,100.0
2016-11-30,2016-12-01,top_n_equal_weight,,0.533824776673581,100,62.98930986784388,314.9465493392193,147.21394276073934,525.1498019678025,0.0004450564331373162,0.0004533416609131436,0.01,100.0
2016-12-30,2017-01-03,top_n_equal_weight,,0.2727921609213064,100,32.76846128068343,163.8423064034171,68.40690008091329,265.0176677650138,0.00022062293878461644,0.00029725769204518157,0.01,100.0
2017-01-31,2017-02-01,top_n_equal_weight,,0.3237407889275196,100,39.50824160490549,197.54120802452724,83.90566688299333,320.95511651242606,0.0002629989551778874,0.0005244884391754601,0.01,100.0
2017-02-28,2017-03-01,top_n_equal_weight,,0.6394804434784137,100,82.01085418025994,410.05427090129956,167.90757135738352,659.972696438943,0.0005146143602830623,0.0004105828972220121,0.01,100.0
2017-03-31,2017-04-03,top_n_equal_weight,,0.3273640435122983,100,41.159626154479554,205.79813077239777,80.016467082626,326.9742240095033,0.0002600597092264831,0.00035053851760763146,0.01,100.0
2017-04-28,2017-05-01,top_n_equal_weight,,0.5028980457606036,100,63.98070665997039,319.9035332998518,106.69239366024007,490.57663362006224,0.00038560066498562055,0.0005106465542776192,0.01,100.0
2017-05-31,2017-06-01,top_n_equal_weight,,0.6433966127493356,100,83.6219990218946,418.10999510947266,146.8967162338466,648.6287103652139,0.0004990618737441102,0.0004019603013682805,0.01,100.0
2017-06-30,2017-07-03,top_n_equal_weight,,0.3896640942578599,100,50.7310629229353,253.65531461467648,92.83185189124944,397.21822942886126,0.000305102382396825,0.0003509554551303381,0.01,100.0
2017-07-31,2017-08-01,top_n_equal_weight,,0.48582189357696876,100,63.99914502801876,319.99572514009367,114.43539069195637,498.43026086006876,0.00037836182505420797,0.0004470052975570701,0.01,100.0
2017-08-31,2017-09-01,top_n_equal_weight,,0.42655972352816407,100,56.251297208536116,281.2564860426804,131.4967764956847,469.00455974690124,0.0003556512743118177,0.0004659562252463333,0.01,100.0
2017-09-29,2017-10-02,top_n_equal_weight,,0.3146917992678922,100,43.21211523582202,216.06057617911003,73.99133197155626,333.26402338648836,0.00024269919345168084,0.0002879586306455463,0.01,100.0
2017-10-31,2017-11-01,top_n_equal_weight,,0.46438508312348314,100,65.63680475693818,328.1840237846911,108.73042052064164,502.55124906227087,0.0003555585992246576,0.00035222257763284804,0.01,100.0
2017-11-30,2017-12-01,top_n_equal_weight,,0.34973399941850086,100,51.317740064161356,256.58870032080665,91.00976268321635,398.91620306818436,0.0002718641915202174,0.0005200892845734287,0.01,100.0
2017-12-29,2018-01-02,top_n_equal_weight,,0.2715291913258641,100,40.44278085971749,202.21390429858735,87.7320913774833,330.3887765357881,0.0002218200514625316,0.00034479643905305706,0.01,100.0
2018-01-31,2018-02-01,top_n_equal_weight,,0.29877835646917117,100,46.60867364049437,233.04336820247178,86.16685334884623,365.8188951918124,0.0002345030650600131,0.0004973060995892749,0.01,100.0
2018-02-28,2018-03-01,top_n_equal_weight,,0.5838985673974502,100,87.01457878610559,435.07289393052815,184.16208339974077,706.2495561163746,0.0004739184051618764,0.0002796816632827927,0.01,100.0
2018-03-29,2018-04-02,top_n_equal_weight,,0.39691540985433665,100,57.87817132100242,289.3908566050123,154.10580424401843,501.37483217003313,0.00034383152138257856,0.000311838761780708,0.01,100.0
2018-04-30,2018-05-01,top_n_equal_weight,,0.6551388650450759,100,97.69487257022686,488.47436285113406,248.0573478902876,834.2265833116485,0.0005594298273825526,0.00037490357939339546,0.01,100.0
2018-05-31,2018-06-01,top_n_equal_weight,,0.8001184181836523,100,122.24993122516798,611.2496561258398,286.7007926047507,1020.2003799557585,0.0006677149885156843,0.00026831715489464953,0.01,100.0
2018-06-29,2018-07-02,top_n_equal_weight,,0.31026708818234466,100,46.96458519057415,234.82292595287066,89.31212365339843,371.09963479684325,0.0002451634623125701,0.00020883534968786343,0.01,100.0
2018-07-31,2018-08-01,top_n_equal_weight,,0.371518887735795,100,57.80018552530271,289.00092762651366,103.40749504735815,450.20860819917453,0.0002893779662593248,0.0003069903037300317,0.01,100.0
2018-08-31,2018-09-04,top_n_equal_weight,,0.52376988187201,100,85.16512063673811,425.8256031836904,170.43580825338333,681.4265320738118,0.0004190808297344106,0.0004096693944046236,0.01,100.0
2018-09-28,2018-10-01,top_n_equal_weight,,0.31208277948787977,100,50.64511544809827,253.22557724049145,92.09599528799549,395.9666879765852,0.0002440005980339471,0.0003098890786770091,0.01,100.0
2018-10-31,2018-11-01,top_n_equal_weight,,0.535887903317095,100,81.38617008502631,406.9308504251312,158.25793563613527,646.5749561462928,0.00042573780929191086,0.00026384183206910585,0.01,100.0
2018-11-30,2018-12-03,top_n_equal_weight,,0.48947791296745546,100,76.14994057358385,380.74970286791927,203.34476115400122,660.2444045955044,0.00042439304715879983,0.000347419308715362,0.01,100.0
2018-12-31,2019-01-02,top_n_equal_weight,,0.2382183168883678,100,33.48568035919272,167.42840179596365,90.85016422249728,291.76424637765365,0.00020756211895574375,0.00020127242081210804,0.01,100.0
2019-01-31,2019-02-01,top_n_equal_weight,,0.4477682076798732,100,67.98316192719854,339.9158096359928,166.225203560618,574.1241751238093,0.00037814444870358976,0.0003168027057354545,0.01,100.0
2019-02-28,2019-03-01,top_n_equal_weight,,0.6764172585263617,100,106.61339423354045,533.0669711677028,293.0756074514268,932.7559728526701,0.0005917945325415795,0.0003642593715597466,0.01,100.0
2019-03-29,2019-04-01,top_n_equal_weight,,0.3254515637388112,100,52.12148120460033,260.6074060230017,100.98329166715035,413.7121788947524,0.000258325881090279,0.0003144908023819534,0.01,100.0
2019-04-30,2019-05-01,top_n_equal_weight,,0.5310878823814463,100,85.9313174914475,429.65658745723783,152.03902777157697,667.6269327202624,0.0004126185705863446,0.0002917644283178271,0.01,100.0
2019-05-31,2019-06-03,top_n_equal_weight,,0.9334041259588286,100,144.6130769306497,723.0653846532476,300.48102567642877,1168.1594872603262,0.0007539877501601261,0.00048782981518780464,0.01,100.0
2019-06-28,2019-07-01,top_n_equal_weight,,0.3730080510055167,100,62.12642969261853,310.63214846309256,155.07298721324995,527.831565368961,0.00031691089353048707,0.00036747403025967927,0.010000000000000002,99.99999999999999
2019-07-31,2019-08-01,top_n_equal_weight,,0.4084946077432565,100,68.05224169083117,340.2612084541559,165.34784903132257,573.6612991763096,0.0003443494902770944,0.0003355776529617628,0.01,100.0
2019-08-30,2019-09-03,top_n_equal_weight,,0.5314703695570381,100,88.55538203140323,442.77691015701606,225.927992608433,757.2602847968523,0.0004544742444554427,0.0003627639639951107,0.01,100.0
2019-09-30,2019-10-01,top_n_equal_weight,,0.3301796269311009,100,55.217975901075924,276.0898795053796,130.91708815745602,462.22494356391155,0.0002763905357516154,0.00037911806308485533,0.01,100.0
2019-10-31,2019-11-01,top_n_equal_weight,,0.5227813601256189,100,89.99564017386474,449.9782008693239,221.65365023670313,761.6274912798918,0.00044242660536792793,0.00042158009167115164,0.01,100.0
2019-11-29,2019-12-02,top_n_equal_weight,,0.48103781943072005,100,83.44112880694625,417.2056440347314,200.3053924684103,700.9521653100879,0.0004040986812464317,0.00036892464165593923,0.01,100.0
2019-12-31,2020-01-02,top_n_equal_weight,,0.3502702960557762,100,62.94291061983718,314.714553099186,127.06400024283094,504.7214639618541,0.00028087188035423697,0.0004180704786409465,0.01,100.0
2020-01-31,2020-02-03,top_n_equal_weight,,0.5187403323625045,100,90.99044191378749,454.9522095689378,173.69411094464726,719.6367624273726,0.0004102679418521278,0.0003790061281843926,0.009999999999999995,100.00000000000006
2020-02-28,2020-03-02,top_n_equal_weight,,0.5442124576781527,100,90.29295417046148,451.4647708523073,179.15258468396414,720.910309706733,0.0004345060752695654,0.00036360719588344066,0.01,100.0
2020-03-31,2020-04-01,top_n_equal_weight,,0.5920422038994729,100,74.85965108166533,374.2982554083267,343.83913317648893,792.997039666481,0.0006271572312536309,0.0003102390843480306,0.01,100.0
2020-04-30,2020-05-01,top_n_equal_weight,,0.5103346820104299,100,73.62131762219201,368.1065881109597,494.59685862032023,936.3247643534719,0.0006490497811068555,0.00035941125830416887,0.01,100.0
2020-05-29,2020-06-01,top_n_equal_weight,,0.7063129917657779,100,111.9117147096057,559.5585735480288,899.8511435009173,1571.3214317585516,0.0009917145353111156,0.0003696638633703669,0.01,100.0
2020-06-30,2020-07-01,top_n_equal_weight,,0.2759088911274649,100,44.01597467450159,220.07987337250793,172.81490343490844,436.910751481918,0.0002738722971705008,0.00021464365401899848,0.01,100.0
