cost_bps,ending_value,total_return,transaction_cost_paid
5.0,4282052.074082336,3.282052074082336,68293.25779139639
10.0,4152620.0772876632,3.152620077287663,134098.15969813953
25.0,3787136.0797760333,2.787136079776033,317384.76338951255
50.0,3247519.6003953284,2.247519600395328,580216.7740534467
