start_date,trough_date,recovery_date,max_drawdown,duration_days
2020-12-01,2020-12-03,2020-12-04,-0.002411690880904982,3
2020-12-04,2020-12-07,2020-12-08,-0.0026798409448365312,4
2020-12-08,2020-12-14,2020-12-17,-0.017952045566802632,9
2020-12-17,2020-12-29,2020-12-30,-0.005277400888371142,13
2020-12-31,2021-01-04,2021-01-06,-0.014657721562098103,6
2021-01-08,2021-01-11,2021-01-12,-0.00030347329263791245,4
2021-01-12,2021-01-13,2021-01-14,-0.004384406350434578,2
2021-01-14,2021-01-15,2021-01-19,-0.008428818409617844,5
2021-01-20,2021-01-29,2021-02-08,-0.0527846886987855,19
2021-02-16,2021-02-18,2021-02-19,-0.010120942510563058,3
2021-02-19,2021-02-22,2021-02-24,-0.006757020588609608,5
2021-02-24,2021-03-04,2021-03-10,-0.036777015696554116,14
2021-03-15,2021-03-24,2021-04-01,-0.035055420598839815,17
2021-04-06,2021-04-07,2021-04-09,-0.003401461162045427,3
2021-04-12,2021-04-13,2021-04-14,-0.0019235296250654788,2
2021-04-16,2021-04-20,2021-04-23,-0.01610689511016994,7
2021-04-27,2021-04-28,2021-04-29,-0.0016010286417478259,2
2021-04-29,2021-04-30,2021-05-05,-0.008978712043555492,6
2021-05-07,2021-05-12,2021-06-01,-0.03966284978537382,25
2021-06-01,2021-06-02,2021-06-03,-0.0012754531882150921,2
2021-06-04,2021-06-07,2021-06-08,-0.0034356760820800636,4
2021-06-08,2021-06-18,2021-07-29,-0.05095490548688386,51
2021-07-29,2021-08-02,2021-08-03,-0.00596460819793132,5
2021-08-03,2021-08-04,2021-08-06,-0.009678141424427245,3
2021-08-12,2021-08-13,2021-08-16,-0.0004061873395290183,4
2021-08-16,2021-08-19,2021-08-25,-0.02426161906542279,9
2021-08-25,2021-08-26,2021-08-27,-0.007093896577584413,2
2021-08-27,2021-09-01,2021-09-02,-0.003981920260290539,6
2021-09-02,2021-10-04,2021-10-21,-0.04986514062512948,49
2021-10-26,2021-10-27,2021-11-01,-0.012986674204185755,6
2021-11-03,2021-11-04,2021-11-05,-0.0015698842653935063,2
2021-11-08,2021-11-10,2021-11-12,-0.007334614410172802,4
2021-11-16,2021-11-19,2021-11-23,-0.008916929169165533,7
2021-11-23,2021-12-01,2021-12-22,-0.0516452983596265,29
2021-12-29,2022-01-03,2022-01-04,-0.003693973496381453,6
2022-01-04,2022-09-30,2023-12-13,-0.2133243298275661,708
2023-12-14,2023-12-15,2023-12-18,-0.0032326518258930514,4
2023-12-19,2023-12-20,2024-01-19,-0.017160540997175122,31
2024-01-23,2024-01-24,2024-01-25,-0.0030905876579483404,2
2024-01-25,2024-01-26,2024-01-29,-0.0008147381651504304,4
2024-01-30,2024-01-31,2024-02-01,-0.009655823863254365,2
2024-02-02,2024-02-05,2024-02-07,-0.006015701789588435,5
2024-02-12,2024-02-13,2024-02-15,-0.014157744887042356,3
2024-02-15,2024-02-21,2024-02-22,-0.008881545446755013,7
2024-02-27,2024-02-28,2024-02-29,-0.0011120013869664325,2
2024-03-04,2024-03-05,2024-03-06,-0.0030399182066054298,2
2024-03-07,2024-03-08,2024-03-12,-0.004636371487338642,5
2024-03-13,2024-03-15,2024-03-19,-0.006222909803259236,6
2024-03-21,2024-03-26,2024-03-27,-0.008626203423372392,6
2024-03-28,2024-05-01,2024-06-18,-0.05369930433889203,82
2024-06-18,2024-07-01,2024-07-12,-0.017582475573069023,24
2024-07-16,2024-08-05,2024-08-21,-0.06518671368613371,36
2024-08-21,2024-08-22,2024-08-23,-0.004650513428256731,2
2024-08-23,2024-08-26,2024-08-27,-0.0015643593664128597,4
2024-08-27,2024-08-28,2024-08-30,-0.004492422185051748,3
2024-08-30,2024-09-06,2024-09-16,-0.03282708405999091,17
2024-09-16,2024-09-18,2024-09-19,-0.003622686151249277,3
2024-09-19,2024-09-20,2024-09-23,-0.0008722525298638928,4
2024-09-24,2024-09-25,2024-09-26,-0.005608556832738976,2
2024-09-26,2024-09-27,2024-09-30,-2.4557013844628273e-05,4
2024-09-30,2024-10-07,2024-10-09,-0.01101339559802772,9
2024-10-09,2024-10-10,2024-10-11,-0.004138545117950199,2
2024-10-14,2024-10-15,2024-10-16,-0.002692105940217737,2
2024-10-16,2024-11-01,2024-11-06,-0.018861443960778823,21
2024-11-11,2024-11-15,2024-11-22,-0.017353058624344442,11
2024-11-26,2024-11-27,2024-11-29,-0.002290940781468409,3
2024-11-29,2025-04-08,2025-07-25,-0.16246716960372887,238
2025-07-25,2025-08-01,2025-08-12,-0.01899982106732334,18
2025-08-13,2025-08-18,2025-08-22,-0.008182430716731637,9
2025-08-22,2025-08-25,2025-08-27,-0.004942383149299734,5
2025-08-28,2025-09-03,2025-09-10,-0.008698901289659,13
2025-09-11,2025-09-25,2025-09-30,-0.011547485024462789,19
2025-10-06,2025-10-07,2025-10-08,-0.002205828785743158,2
2025-10-08,2025-10-10,2025-10-24,-0.03034227181567284,16
2025-10-27,2025-10-30,2025-11-10,-0.02027777499164196,14
2025-11-12,2025-11-20,2025-11-28,-0.04569731747616923,16
2025-11-28,2025-12-02,2025-12-05,-0.007911520656561977,7
2025-12-05,2025-12-08,2025-12-10,-0.0040103323126210455,5
2025-12-11,2025-12-17,2025-12-22,-0.01814490210736197,11
2025-12-22,2025-12-23,2025-12-24,-0.0007451076914064547,2
2025-12-24,2025-12-31,2026-01-05,-0.015234706187743252,12
2026-01-06,2026-01-07,2026-01-09,-0.00609059318207017,3
2026-01-12,2026-01-13,2026-01-15,-0.0004901644685708639,3
2026-01-15,2026-01-20,2026-01-21,-0.015132658536223031,6
2026-01-22,2026-01-23,2026-01-27,-0.0033400665678741115,5
2026-01-27,2026-01-28,2026-01-29,-0.0020826954126211827,2
