signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2022-10-24,2022-10-25,457,2,2,1.0,1.0,0.0,0
2022-11-22,2022-11-23,460,3,0,1.0,1.0,0.0,0
2022-12-22,2022-12-23,461,1,0,1.0,1.0,0.0,0
2023-01-24,2023-01-25,464,3,0,1.0,1.0,0.0,0
2023-02-21,2023-02-22,463,1,2,1.0,1.0,0.0,0
2023-03-24,2023-03-27,463,0,0,1.0,1.0,0.0,0
2023-04-21,2023-04-24,465,2,0,1.0,1.0,0.0,0
2023-05-23,2023-05-24,465,0,0,1.0,1.0,0.0,0
2023-06-23,2023-06-26,466,1,0,1.0,1.0,0.0,0
2023-07-24,2023-07-25,467,1,0,1.0,1.0,0.0,0
2023-08-24,2023-08-25,467,0,0,1.0,1.0,0.0,0
2023-09-22,2023-09-25,466,0,1,1.0,1.0,0.0,0
2023-10-24,2023-10-25,465,1,2,1.0,1.0,0.0,0
2023-11-22,2023-11-24,465,2,2,1.0,1.0,0.0,0
2023-12-21,2023-12-22,466,1,0,1.0,1.0,0.0,0
2024-01-24,2024-01-25,467,3,2,1.0,1.0,0.0,0
2024-02-22,2024-02-23,468,1,0,1.0,1.0,0.0,0
2024-03-21,2024-03-22,468,0,0,1.0,1.0,0.0,0
2024-04-23,2024-04-24,467,2,3,1.0,1.0,0.0,0
2024-05-23,2024-05-24,467,2,2,1.0,1.0,0.0,0
2024-06-21,2024-06-24,468,1,0,1.0,1.0,0.0,0
2024-07-24,2024-07-25,468,2,2,1.0,1.0,0.0,0
2024-08-23,2024-08-26,470,2,0,1.0,1.0,0.0,0
2024-09-23,2024-09-24,470,0,0,1.0,1.0,0.0,0
2024-10-24,2024-10-25,470,3,3,1.0,1.0,0.0,0
2024-11-21,2024-11-22,469,1,2,1.0,1.0,0.0,0
2024-12-23,2024-12-24,470,1,0,1.0,1.0,0.0,0
2025-01-24,2025-01-27,472,3,1,1.0,1.0,0.0,0
2025-02-21,2025-02-24,473,1,0,1.0,1.0,0.0,0
2025-03-24,2025-03-25,473,0,0,1.0,1.0,0.0,0
2025-04-23,2025-04-24,473,4,4,1.0,1.0,0.0,0
2025-05-22,2025-05-23,473,0,0,1.0,1.0,0.0,0
2025-06-23,2025-06-24,474,1,0,1.0,1.0,0.0,0
2025-07-24,2025-07-25,474,0,0,1.0,1.0,0.0,0
2025-08-22,2025-08-25,474,0,0,1.0,1.0,0.0,0
2025-09-23,2025-09-24,475,1,0,1.0,1.0,0.0,0
2025-10-24,2025-10-27,474,2,3,1.0,1.0,0.0,0
2025-11-20,2025-11-21,475,2,1,1.0,1.0,0.0,0
2025-12-23,2025-12-24,474,0,1,1.0,1.0,0.0,0
2026-01-23,2026-01-26,475,3,2,1.0,1.0,0.0,0
2026-02-20,2026-02-23,476,1,0,1.0,1.0,0.0,0
2026-03-24,2026-03-25,477,1,0,1.0,1.0,0.0,0
2026-04-23,2026-04-24,477,4,4,1.0,1.0,0.0,0
2026-05-21,2026-05-22,478,1,0,1.0,1.0,0.0,0
