fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.0754618264537484,0.23682670597256844,0.04718219804608462
2,lightgbm,2016-04-29,2019-03-29,2019-04-30,2019-06-28,13896,1249,418,0.0746744443389638,0.2354019763140609,0.04396661691509515
3,lightgbm,2016-07-29,2019-06-28,2019-07-31,2019-09-30,14019,1260,416,0.07715258801562619,0.2398570694675024,-0.05073196631106535
4,lightgbm,2016-10-31,2019-09-30,2019-10-31,2019-12-31,14124,1279,422,0.07459204412716086,0.23559560268820412,0.04379777404207751
5,lightgbm,2017-01-31,2019-12-31,2020-01-31,2020-03-31,14238,1283,429,0.07751313318321089,0.2405054023578858,0.06768209937649593
6,lightgbm,2017-04-28,2020-03-31,2020-04-30,2020-06-30,14359,1297,424,0.075088895992002,0.2365625616368455,0.04519552769295668
7,lightgbm,2017-07-31,2020-06-30,2020-07-31,2020-09-30,14463,1304,434,0.0752891397330054,0.23610282653813575,-0.04300352437131406
8,lightgbm,2017-10-31,2020-09-30,2020-10-30,2020-12-31,14573,1310,434,0.0765735006739666,0.23936192002819798,-0.012044275075675666
9,lightgbm,2018-01-31,2020-12-31,2021-01-29,2021-03-31,14676,1324,438,0.0762181631922741,0.23819615157247526,-0.016565061743699303
10,lightgbm,2018-04-30,2021-03-31,2021-04-30,2021-06-30,14783,1339,444,0.07667288026934428,0.23803571058882073,0.019991789498482966
11,lightgbm,2018-07-31,2021-06-30,2021-07-30,2021-09-30,14903,1343,447,0.07664491229837626,0.23884915911860025,0.04109486899202228
12,lightgbm,2018-10-31,2021-09-30,2021-10-29,2021-12-31,15024,1347,447,0.0791981049620322,0.2432562888243227,-0.06212447904706922
13,lightgbm,2019-01-31,2021-12-31,2022-01-31,2022-03-31,15134,1351,450,0.07909646147430811,0.24356507462948845,-0.03983034247872226
14,lightgbm,2019-04-30,2022-03-31,2022-04-29,2022-06-30,15235,1365,451,0.07702880791970802,0.23865417751470389,0.012581823310527113
15,lightgbm,2019-07-31,2022-06-30,2022-07-29,2022-09-30,15345,1371,457,0.07672630144122398,0.2380697762725825,-0.0223718657389422
16,lightgbm,2019-10-31,2022-09-30,2022-10-31,2022-12-30,15456,1384,457,0.07805748938789316,0.24023480399490416,0.0008554506833708627
17,lightgbm,2020-01-31,2022-12-30,2023-01-31,2023-03-31,15555,1391,463,0.07733328416233136,0.23908603893878985,-0.017252869798779578
18,lightgbm,2020-04-30,2023-03-31,2023-04-28,2023-06-30,15661,1398,465,0.07764432891917214,0.24071516696926873,0.12632581862595493
19,lightgbm,2020-07-31,2023-06-30,2023-07-31,2023-09-29,15760,1398,467,0.07842063986438785,0.24133917921031073,-0.0029816043995572307
20,lightgbm,2020-10-30,2023-09-29,2023-10-31,2023-12-29,15856,1397,465,0.07678360403076852,0.23908518557404213,0.036542449493453144
