date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value
2023-01-03,0.0,0.0,-0.004000548879248611,0.004000548879248611,1000000.0,0.0,0.0,1000000.0,0,0,0.0,995999.4511207514
2023-01-04,0.0,0.0,0.007538970575044379,-0.007538970575044379,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1003508.2616755111
2023-01-05,0.0,0.0,-0.011645528874622113,0.011645528874622113,1000000.0,0.0,0.0,1000000.0,0,0,0.0,991821.8772382471
2023-01-06,0.0,0.0,0.02284078102943865,-0.02284078102943865,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1014475.8635564526
2023-01-09,0.0,0.0,-0.0007676325452631305,0.0007676325452631305,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1013697.1188672028
2023-01-10,0.0,0.0,0.006978233159061986,-0.006978233159061986,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1020770.9337153274
2023-01-11,0.0,0.0,0.012849424614881588,-0.012849424614881588,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1033887.2528771647
2023-01-12,0.0,0.0,0.0034159058663651987,-0.0034159058663651987,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1037418.9144094281
2023-01-13,0.0,0.0,0.003996858363534361,-0.003996858363534361,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1041565.3308739742
2023-01-17,0.0,0.0,-0.0020304911890052235,0.0020304911890052235,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1039450.4416468613
2023-01-18,0.0,0.0,-0.015562598500411085,0.015562598500411085,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1023273.8917624363
2023-01-19,0.0,0.0,-0.007638350296294338,0.007638350296294338,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015457.7673281025
2023-01-20,0.0,0.0,0.018918401045981525,-0.018918401045981525,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1034668.6046156726
2023-01-23,0.0,0.0,0.01188134498366522,-0.01188134498366522,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1046961.8592508789
2023-01-24,0.0,0.0,-0.0007115031258156934,0.0007115031258156934,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1046216.9426154122
2023-01-25,0.0,0.0,-0.0001817250594663422,0.0001817250594663422,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1046026.8187793007
2023-01-26,0.0,0.0,0.011007853469181317,-0.011007853469181317,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1057541.3287252572
2023-01-27,0.0,0.0,0.002494840970949097,-0.002494840970949097,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1060179.7261606327
2023-01-30,0.0,0.0,-0.012968740984683369,0.012968740984683369,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1046430.5298948429
2023-01-31,0.0,0.0,0.014642470285510134,-0.014642470285510134,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1061752.8578346786
2023-02-01,-0.0009643901498782581,0.0,0.010452303944590291,-0.011416694094468549,999035.6098501218,0.9999999999999997,964.3901498782252,2.3283064365386963e-10,0,0,-0.0009643901498782581,1072850.6214188042
2023-02-02,0.005195543613051079,0.005195543613051079,0.014699373244309921,-0.009503829631258842,1004226.1429320893,0.0,0.0,2.3283064365386963e-10,0,0,0.0,1088620.8531384289
2023-02-03,-0.004186779557038278,-0.004186779557038278,-0.010354610691310495,0.006167831134272217,1000021.6694462178,0.0,0.0,2.3283064365386963e-10,0,0,-0.004186779557038278,1077348.6080137382
2023-02-06,-0.003981732011988259,-0.003981732011988259,-0.006140463017754394,0.0021587310057661346,996039.8511523019,0.0,0.0,2.3283064365386963e-10,0,0,-0.008151840934837229,1070733.1887290005
2023-02-07,0.008168432727375441,0.008168432727375441,0.01287251059802652,-0.00470407787065108,1004175.9356702245,0.0,0.0,2.3283064365386963e-10,0,0,-4.999597174226711e-05,1084516.2130485736
2023-02-08,-0.010902065723998433,-0.010902065723998433,-0.011080724476164705,0.00017865875216627192,993228.34362109,0.0,0.0,2.3283064365386963e-10,0,0,-0.01095151663637084,1072498.9877018486
2023-02-09,-0.0010326808504553808,-0.0010326808504553808,-0.00882979617773516,0.00779711532727978,992202.655730503,0.0,0.0,2.3283064365386963e-10,0,0,-0.011972888065312381,1063029.0402396142
2023-02-10,0.0017259783885046343,0.0017259783885046343,0.0021952617756952897,-0.00046928338719065543,993915.1760713108,0.0,0.0,2.3283064365386963e-10,0,0,-0.010267574622856546,1065362.6672581062
2023-02-13,0.015191393611268422,0.015191393611268422,0.011448609342766147,0.003742784268502275,1009014.1327272232,0.0,0.0,2.3283064365386963e-10,0,0,0.0,1077559.5882439117
2023-02-14,0.0011621984062351043,0.0011621984062351043,-0.0002804145319874607,0.001442612938222565,1010186.8073441476,0.0,0.0,2.3283064365386963e-10,0,0,0.0,1077257.4248762857
2023-02-15,0.0057667403300987186,0.0057667403300987186,0.002773175690496066,0.0029935646396026527,1016012.2923469926,0.0,0.0,2.3283064365386963e-10,0,0,0.0,1080244.848979359
2023-02-16,-0.011457253195475192,-0.011457253195475192,-0.013788741489130674,0.0023314882936554815,1004371.5822638579,0.0,0.0,2.3283064365386963e-10,0,0,-0.011457253195475192,1065349.6320118175
2023-02-17,-0.002517959537877479,-0.002517959537877479,-0.002767405825327751,0.0002494462874502723,1001842.6152587236,0.0,0.0,2.3283064365386963e-10,0,0,-0.013946363833391096,1062401.3772341774
2023-02-21,-0.021396797043112703,-0.021396797043112703,-0.020041234255327334,-0.0013555627877853693,980406.3921508915,0.0,0.0,2.3283064365386963e-10,0,0,-0.03504475336007129,1041109.5423598449
2023-02-22,-0.004285992917046788,-0.004285992917046788,-0.0015735561458868341,-0.002712436771159954,976204.3772983054,0.0,0.0,2.3283064365386963e-10,0,0,-0.03918054471243715,1039471.2980409231
