date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2021-01-04,0.0,0.0,-0.014754827521051062,0.014754827521051062,1000000.0,0.0,0.0,1000000.0,0,0,0.0,985245.172478949,-0.013614022855635732,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.007082595157549276,-0.007082595157549276,1000000.0,0.0,0.0,1000000.0,0,0,0.0,992223.2651665471,0.00688736112965449,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.005709842747752214,-0.005709842747752214,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997888.7039813093,0.005978354716949186,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.014847403800101189,-0.014847403800101189,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1012704.7605168795,0.01485763640335036,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.005491862685268911,-0.005491862685268911,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1018266.3960023563,0.005697578263335501,0.0,0.0,0.0
2021-01-11,0.0,0.0,-0.006554750898592476,0.006554750898592476,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1011591.9134281535,-0.006740682680273502,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0004157884466327033,-0.0004157884466327033,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1012012.5216584639,0.00021122103068926812,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0022756417379066196,-0.0022756417379066196,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1014315.499592034,0.0026928456196471107,0.0,0.0,0.0
2021-01-14,0.0,0.0,-0.0037534511943366766,0.0037534511943366766,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1010508.315868656,-0.003501810980926612,0.0,0.0,0.0
2021-01-15,0.0,0.0,-0.007190027975370938,0.007190027975370938,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1003242.7328082154,-0.0072927667229341075,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.008136379515524483,-0.008136379515524483,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1011405.4964285351,0.007851896965884286,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.013935625421946263,-0.013935625421946263,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1025500.0645764607,0.013838951858846427,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0003167233075522802,-0.0003167233075522802,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1025824.8643488084,0.000911489143894384,0.0,0.0,0.0
2021-01-22,0.0,0.0,-0.0030106116552376383,0.0030106116552376383,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1022736.5040559673,-0.003539489749369129,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0036158389430824833,-0.0036158389430824833,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1026434.5545358448,0.003943853323554514,0.0,0.0,0.0
2021-01-26,0.0,0.0,-0.0014888337468982327,0.0014888337468982327,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1024906.3641320695,-0.001560922676463461,0.0,0.0,0.0
2021-01-27,0.0,0.0,-0.025677883699462,0.025677883699462,1000000.0,0.0,0.0,1000000.0,0,0,0.0,998588.9377110477,-0.024440497481348245,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.009760625975629766,-0.009760625975629766,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1008335.7908354467,0.008600233353103448,0.0,0.0,0.0
2021-01-29,0.0,0.0,-0.019311475173124593,0.019311475173124593,1000000.0,0.0,0.0,1000000.0,0,0,0.0,988863.339244555,-0.020019542440221638,0.0,0.0,0.0
2021-02-01,-0.0009659500702544621,0.0,0.016051767614439383,-0.017017717684693845,999034.0499297455,1.0000000000000002,965.9500702545563,-1.1641532182693481e-10,0,0,-0.0009659500702544621,1004736.343768547,0.016645247449536438,0.013127770584534312,0.010960031344559317,1.0
2021-02-02,0.013990431347170373,0.013990431347170373,0.013898223484416938,9.220786275343507e-05,1013010.9672187731,0.0,0.0,-1.1641532182693481e-10,0,0,0.0,1018700.3940171582,0.014140658116980953,0.013819481092096396,0.02296390344906155,1.0
