candidate_id,fold,development_start,development_end,test_start,test_end,status,net_total_return,spy_total_return,active_total_return,sharpe_ratio,max_drawdown,average_turnover,cost_drag
v1_drawdown_fixed,2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,valid,0.33891674948619954,0.3122390374631525,0.02667771202304703,2.2993439196790226,-0.06227726834106817,0.02811157575924675,0.00037369502171724633
v1_drawdown_fixed,2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,valid,0.18070591664199398,0.18331622104156264,-0.0026103043995686637,0.6338873428082484,-0.36998005715603544,0.06227104078150731,0.0008926999982656891
v1_drawdown_fixed,2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,valid,0.393370637340801,0.2872877099752804,0.10608292736552061,2.2519265534990955,-0.05138577055422089,0.028801005249284372,0.00035883953911786115
v1_drawdown_fixed,2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,valid,-0.14494297664194478,-0.18175380364360771,0.03681082700166294,-0.5173121059329933,-0.23816081901160358,0.04118499935350849,0.0003864811809350943
v1_drawdown_fixed,2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,valid,0.42912238966784155,0.26175803310593393,0.16736435656190762,2.678090851873845,-0.08488503404999725,0.030362732015721584,0.0003745083269548477
v1_drawdown_fixed,2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,valid,0.33057703749045886,0.24886472798432036,0.0817123095061385,2.1627726826733227,-0.09721092819094623,0.03521301843307785,0.0003992484263752871
v1_drawdown_fixed,2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,valid,0.236103116523513,0.17719048869766496,0.05891262782584805,1.3640421835942511,-0.1865540805178615,0.03996367409318179,0.0004475514825541538
