candidate_id,test,setting,status,net_total_return,sharpe_ratio,max_drawdown,sharpe_decline,error,run_id
v1_drawdown_fixed,base,configured,valid,3.298293463612648,1.1312589959614874,-0.3371419391881827,0.0,,
v1_drawdown_fixed,cost_sensitivity,5.0,valid,3.3035660870807817,1.1321269041638502,-0.33710024516261394,-0.0007672055696009409,,
v1_drawdown_fixed,cost_sensitivity,10.0,valid,3.296735681375517,1.1310083146590413,-0.33714542399859593,0.0002215949692696479,,
v1_drawdown_fixed,cost_sensitivity,25.0,valid,3.276308260173229,1.127651447470705,-0.337280960506541,0.003188967781614266,,
v1_drawdown_fixed,cost_sensitivity,50.0,valid,3.24247423721266,1.1220530378411777,-0.3375068546864507,0.008137798818108204,,
v1_drawdown_fixed,top_n_sensitivity,30,valid,3.2571289981979215,1.1230512217227284,-0.3371149902470386,0.007255433342903895,,
v1_drawdown_fixed,top_n_sensitivity,50,valid,3.2970785531325335,1.1314306907967628,-0.33692077952496624,-0.00015177323308667427,,
v1_drawdown_fixed,top_n_sensitivity,100,invalid,,,,,Portfolio optimizer failed on 2016-01-29: Optimizer produced 29 holdings; minimum acceptable is 50.,
v1_drawdown_fixed,rebalance_day_shift,-5,valid,3.4581578519835556,1.1396453799706592,-0.32665630508096033,-0.00741331917722695,,20260614T132509Z-backtest-a244e696
v1_drawdown_fixed,rebalance_day_shift,5,valid,3.179895796234007,1.0645986268286187,-0.34975704940623176,0.0589258245643494,,20260614T132702Z-backtest-9a73aade
