factor_name,ic,rank_ic,ic_ir,t_stat,p_value,coverage,missing_rate,fdr_q_value,fdr_significant,quantile_monotonicity,top_quantile_turnover
accruals,0.008217296124236405,-0.00401609752512223,-0.07528226153348687,-0.28345627577708626,0.776827094579272,0.9312019631913256,0.010332378936885349,0.776827094579272,False,0.0,0.22903391371359078
beta_to_spy,-0.08214200232383302,-0.06006394094569653,-0.23651232931508837,-0.7507126194023802,0.45282562670990056,0.9411764705882353,0.0,0.5886733147228707,False,-0.8999999999999998,0.07389417693169094
book_to_market,0.034580862544100296,0.032583813650073144,0.2957366487529488,0.8740644766202869,0.38208314165135526,0.9391839999077986,0.002116270384663264,0.5886733147228707,False,0.8999999999999998,0.06069428891377381
earnings_yield,0.02361093050328212,0.027809004757852956,0.45801988769965724,1.6732540835591836,0.09427728744842692,0.934944518635079,0.006473297647205278,0.40853491227651667,False,0.49999999999999994,0.2587220345819938
free_cash_flow_yield,0.02130363609391349,0.00683682180447854,0.14458758642870967,0.5943428445645506,0.552282827925412,0.937433915144482,0.0038590812896800697,0.6526978875482141,False,0.3,0.18965211802670712
max_drawdown_252d,0.08459888734894848,0.07888034595060323,0.4525694502995577,1.4396310799723868,0.14997180162404397,0.9411764705882353,0.0,0.4874083552781429,False,0.8999999999999998,0.10950447928331467
momentum_12_1,-0.0017873387460656375,-0.023072343722738115,-0.16223547554699255,-0.7804939314999718,0.43510019813133005,0.9408020540031484,0.0003734594796464584,0.5886733147228707,False,-0.39999999999999997,0.21245800671892498
momentum_3m,0.030391378069308733,0.02667538243394364,0.20894095102981158,0.9792314633818893,0.3274656257783979,0.9411764705882353,0.0,0.5886733147228707,False,0.8999999999999998,0.42938829787234045
momentum_6m,0.028832965385548644,0.012318969944219854,0.07961583466667704,0.3414167951665863,0.7327898331625848,0.9411764705882353,0.0,0.776827094579272,False,0.09999999999999999,0.2843575027995521
realized_vol_252d,-0.0814779948256922,-0.06252407479051109,-0.30927436907779016,-0.9595593263920306,0.337277047885467,0.9411764705882353,0.0,0.5886733147228707,False,-0.8999999999999998,0.07919932810750278
realized_vol_60d,-0.09137784532807541,-0.0687743269740043,-0.3723542083717868,-1.1811289563528553,0.2375514983911552,0.9411764705882353,0.0,0.5886733147228707,False,-0.7,0.25521416573348266
roe,-0.004386036280301063,-0.021416737330458582,-0.41204115137764896,-1.9062563889941397,0.05661694942453358,0.934944518635079,0.006473297647205278,0.3680101712594683,False,-0.6,0.1765027273055666
sales_yield,0.03265927254153841,0.05238427367111503,0.6360338505374112,2.721834622085354,0.006492062199571787,0.912283000775884,0.030623677331009586,0.08439680859443323,False,0.9999999999999999,0.12040944533493622
