fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07554476778596869,0.23674464953929353,0.04542151596005106
2,lightgbm,2016-04-29,2019-03-29,2019-04-30,2019-06-28,13896,1249,418,0.07501958486382286,0.23583266030474992,0.027746299497128073
3,lightgbm,2016-07-29,2019-06-28,2019-07-31,2019-09-30,14019,1260,416,0.07789475241593921,0.24076304532296283,-0.061967955007595846
4,lightgbm,2016-10-31,2019-09-30,2019-10-31,2019-12-31,14124,1279,422,0.07478953745583027,0.23549313893958293,0.015440241461872714
5,lightgbm,2017-01-31,2019-12-31,2020-01-31,2020-03-31,14238,1283,429,0.07745906775609344,0.2401154624456754,0.07356127593871496
6,lightgbm,2017-04-28,2020-03-31,2020-04-30,2020-06-30,14359,1297,424,0.0749114432603186,0.23619018635819206,0.052617202172386406
7,lightgbm,2017-07-31,2020-06-30,2020-07-31,2020-09-30,14463,1304,434,0.07568049452298937,0.2365283793251303,-0.033737894166613505
8,lightgbm,2017-10-31,2020-09-30,2020-10-30,2020-12-31,14573,1310,434,0.0766598684226317,0.23948162039656104,-0.005864374496358986
9,lightgbm,2018-01-31,2020-12-31,2021-01-29,2021-03-31,14676,1324,438,0.07617162632898929,0.23818307792710153,0.003074670328016789
10,lightgbm,2018-04-30,2021-03-31,2021-04-30,2021-06-30,14783,1339,444,0.07685641171397052,0.23817989168738546,0.018702019167646404
11,lightgbm,2018-07-31,2021-06-30,2021-07-30,2021-09-30,14903,1343,447,0.07691519638337908,0.23915190841033937,0.027128757979272545
12,lightgbm,2018-10-31,2021-09-30,2021-10-29,2021-12-31,15024,1347,447,0.079703392848148,0.24403946560942394,-0.06804869444743514
13,lightgbm,2019-01-31,2021-12-31,2022-01-31,2022-03-31,15134,1351,450,0.07924003100388473,0.24351436629662052,-0.014866841393747688
14,lightgbm,2019-04-30,2022-03-31,2022-04-29,2022-06-30,15235,1365,451,0.07727308431612089,0.2391899566000807,0.010108808420317217
15,lightgbm,2019-07-31,2022-06-30,2022-07-29,2022-09-30,15345,1371,457,0.07705087545633509,0.2383692491059501,-0.027972725869453707
16,lightgbm,2019-10-31,2022-09-30,2022-10-31,2022-12-30,15456,1384,457,0.07860024388466949,0.24065458260481515,-0.006819428101988547
17,lightgbm,2020-01-31,2022-12-30,2023-01-31,2023-03-31,15555,1391,463,0.07759800754383019,0.2394599236396447,-0.01966894665578013
18,lightgbm,2020-04-30,2023-03-31,2023-04-28,2023-06-30,15661,1398,465,0.0775800911877903,0.24058987704319923,0.11542692669864284
19,lightgbm,2020-07-31,2023-06-30,2023-07-31,2023-09-29,15760,1398,467,0.0785700418058329,0.24146982775458067,-0.007075624661373449
20,lightgbm,2020-10-30,2023-09-29,2023-10-31,2023-12-29,15856,1397,465,0.07693548843244229,0.2390123717026126,0.03573860152743093
