metric,estimate,lower_95,upper_95,one_sided_lower_95,bootstrap_samples,block_size,seed
sharpe_ratio,0.7413625516048277,0.005064957151535189,1.6311084488464274,0.11283708487849384,2000,21,42
alpha_annualized,0.01029542869114039,-0.10580698926991795,0.14147840972931625,-0.08973430565501839,2000,21,42
max_drawdown,-0.3546270978460979,-0.5403676603771502,-0.19191099612191678,-0.49823284359705594,2000,21,42
