factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,0.004756558910444026,-0.0005386932823949164,-0.009224934442619003,-0.07263720643842478,0.9656718526595071,0.01837782340862423,0.09999999999999999,0.2626232767394751
beta_to_spy,-0.02031808077975427,-0.009989143736171035,-0.04410960404976595,-0.3473193696074004,0.9841269841269841,0.0,-0.8999999999999998,0.07703008185906171
book_to_market,0.016683753906513953,0.012448005480867752,0.11089692143030094,0.8732032325458587,0.9797898448688013,0.004277891854893908,0.9999999999999999,0.05751898531951112
earnings_yield,0.026813870099011025,0.030621850009182126,0.5015773846450962,3.9494242761217375,0.9728443839962087,0.011225188227241615,0.9999999999999999,0.2595912521576253
free_cash_flow_yield,0.022445982887422455,0.021668894223225994,0.2971618018397942,2.339854367542077,0.9769544527902828,0.007152635181382615,0.8999999999999998,0.2134601313681466
max_drawdown_252d,0.0059229851386309795,-0.0017314968146666255,-0.009733759702308985,-0.0766437005397198,0.9841269841269841,0.0,0.7,0.13312343230291063
momentum_12_1,0.018653420661151582,0.01221582225985232,0.07747315916395428,0.6100242652815463,0.983784099497124,0.00034223134839151266,0.09999999999999999,0.2228974785820471
momentum_3m,0.004744947973358221,0.0026246220119211885,0.01813171439176683,0.1427692618901053,0.9841269841269841,0.0,0.7,0.44543850327230355
momentum_6m,0.01819297281611895,0.010391810895985894,0.0641067796522133,0.5047772877590676,0.9841269841269841,0.0,0.09999999999999999,0.3077669979896442
realized_vol_252d,-0.011698315859816882,0.00239288925638476,0.011975894504696466,0.09429828762831477,0.9841269841269841,0.0,-0.7,0.07715048621436359
realized_vol_60d,-0.015917216868511976,0.0005968755857896622,0.003203632077081455,0.025225424200376188,0.9841269841269841,0.0,-0.39999999999999997,0.2496643923087626
roe,-0.0027072728588569935,-0.004199176148191537,-0.07082015595765408,-0.5576384656493127,0.9705313895682122,0.0134839151266256,-0.3,0.21907705876421887
sales_yield,0.025503433571371817,0.037139565998071264,0.36885536334633745,2.904370035360549,0.9515393602994838,0.03295687885010267,0.8999999999999998,0.14309061646731067
