date,sector,portfolio_contribution,internal_cap_benchmark_contribution,active_contribution,portfolio_start_wealth,benchmark_start_wealth,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
2021-04-01,Communication Services,0.0,0.0003766461726168259,-0.0003766461726168259,1.0,1.0,0.0,0.0003766461726168259,-0.0003766461726168259
2021-04-01,Consumer Discretionary,0.0,0.0061930386144229375,-0.0061930386144229375,1.0,1.0,0.0,0.0061930386144229375,-0.0061930386144229375
2021-04-01,Consumer Staples,0.0,-6.369408281116284e-05,6.369408281116284e-05,1.0,1.0,0.0,-6.369408281116284e-05,6.369408281116284e-05
2021-04-01,Energy,0.0,0.0003493954174833501,-0.0003493954174833501,1.0,1.0,0.0,0.0003493954174833501,-0.0003493954174833501
2021-04-01,Financials,0.0,0.00107803166434081,-0.00107803166434081,1.0,1.0,0.0,0.00107803166434081,-0.00107803166434081
2021-04-01,Health Care,0.0,-0.00021976254208282467,0.00021976254208282467,1.0,1.0,0.0,-0.00021976254208282467,0.00021976254208282467
2021-04-01,Industrials,0.0,0.0002891885537865697,-0.0002891885537865697,1.0,1.0,0.0,0.0002891885537865697,-0.0002891885537865697
2021-04-01,Information Technology,0.0,0.00262319981110045,-0.00262319981110045,1.0,1.0,0.0,0.00262319981110045,-0.00262319981110045
2021-04-01,Materials,0.0,0.00013852060956168305,-0.00013852060956168305,1.0,1.0,0.0,0.00013852060956168305,-0.00013852060956168305
2021-04-01,Real Estate,0.0,0.00020648222397552082,-0.00020648222397552082,1.0,1.0,0.0,0.00020648222397552082,-0.00020648222397552082
2021-04-01,Transaction Costs,-0.0009865237052239346,0.0,-0.0009865237052239346,1.0,1.0,-0.0009865237052239346,0.0,-0.0009865237052239346
2021-04-01,Utilities,0.0,-1.0921276769919223e-06,1.0921276769919223e-06,1.0,1.0,0.0,-1.0921276769919223e-06,1.0921276769919223e-06
2021-04-05,Communication Services,0.0038519927795430814,0.00026555871797488765,0.0035864340615681936,0.9990134762947761,1.0109699543147173,0.0038481926973537106,0.00026847188497894706,0.0035797208123747636
2021-04-05,Consumer Discretionary,0.005267851477365925,0.023955153829208767,-0.018687302351842842,0.9990134762947761,1.0109699543147173,0.005262654617007905,0.02421794077231721,-0.018955286155309305
2021-04-05,Consumer Staples,0.001933927686832795,0.0004867180862848859,0.0014472096005479092,0.9990134762947761,1.0109699543147173,0.0019320198213255456,0.0004920573614555777,0.001439962459869968
2021-04-05,Energy,-7.609774013314364e-10,-0.0002967578614522374,0.00029675710047483606,0.9990134762947761,1.0109699543147173,-7.602266790858833e-10,-0.0003000132816349016,0.00030001252140822253
2021-04-05,Financials,1.4561932319887703e-09,0.0005070485878594751,-0.0005070471316662432,0.9990134762947761,1.0109699543147173,1.4547566628460268e-09,0.0005126108877036355,-0.0005126094329469726
2021-04-05,Health Care,0.0012635306949351753,0.0005143865668508065,0.0007491441280843688,0.9990134762947761,1.0109699543147173,0.0012622841919523438,0.000520029363989264,0.0007422548279630797
2021-04-05,Industrials,-0.00126542458865393,0.0008168160155593009,-0.002082240604213231,0.9990134762947761,1.0109699543147173,-0.0012641762173000498,0.0008257764499335158,-0.0020899526672335657
2021-04-05,Information Technology,0.002049024356331119,0.002999929039347588,-0.0009509046830164687,0.9990134762947761,1.0109699543147173,0.002047002945231017,0.0030328381238566245,-0.0009858351786256074
2021-04-05,Materials,5.144209972901018e-10,0.00021257614808902815,-0.00021257563366803087,0.9990134762947761,1.0109699543147173,5.139135087818102e-10,0.00021490809872196337,-0.00021490758480845459
2021-04-05,Real Estate,2.854283759831071e-10,9.158457281818455e-05,-9.158428738980856e-05,0.9990134762947761,1.0109699543147173,2.8514679412405625e-10,9.258925139793292e-05,-9.25889662511388e-05
2021-04-05,Utilities,2.252260453249802e-10,0.00015620974658633364,-0.0001562095213602883,0.9990134762947761,1.0109699543147173,2.2500385449223328e-10,0.00015792336036989929,-0.0001579231353660448
2021-04-06,Communication Services,0.0005300773481132989,0.000143359887088764,0.0003867174610245349,1.0121014560689408,1.0410050865878069,0.0005364920558546326,0.000149238371672057,0.0003872536841825756
2021-04-06,Consumer Discretionary,0.0010192602777940997,0.008850444935343177,-0.007831184657549077,1.0121014560689408,1.0410050865878069,0.0010315948112686413,0.009213358196257541,-0.0081817633849889
2021-04-06,Consumer Staples,0.00010692229970915688,9.444325332147933e-05,1.2479046387677554e-05,1.0121014560689408,1.0410050865878069,0.00010821621522187736,9.831590710156077e-05,9.900308120316584e-06
2021-04-06,Energy,-4.8757944116853334e-11,-3.8131624917698716e-05,3.81315761597546e-05,1.0121014560689408,1.0410050865878069,-4.9347986235595304e-11,-3.9695215499182726e-05,3.969516615119649e-05
2021-04-06,Financials,-2.5992080590069023e-10,-2.1331290887243014e-05,2.1331030966437113e-05,1.0121014560689408,1.0410050865878069,-2.630662261147011e-10,-2.220598231710411e-05,2.2205719250877995e-05
2021-04-06,Health Care,-0.0015141751607599893,-0.0003721366285131669,-0.0011420385322468223,1.0121014560689408,1.0410050865878069,-0.0015324988849486076,-0.0003873961231878438,-0.001145102761760764
2021-04-06,Industrials,0.0014203829052378345,-0.00020769150757316931,0.0016280744128110039,1.0121014560689408,1.0410050865878069,0.0014375716065666447,-0.00021620791582475926,0.001653779522391404
2021-04-06,Information Technology,0.0002880895047825768,-0.000362288922627191,0.0006503784274097678,1.0121014560689408,1.0410050865878069,0.00029157580726862605,-0.00037714461126932226,0.0006687204185379483
2021-04-06,Materials,-2.0794136866445637e-10,3.763972644037941e-05,-3.763993438174808e-05,1.0121014560689408,1.0410050865878069,-2.104577620022647e-10,3.9183146682208535e-05,-3.918335713997054e-05
2021-04-06,Real Estate,-1.8220363789340252e-11,1.4525667970582093e-05,-1.4525686190945882e-05,1.0121014560689408,1.0410050865878069,-1.8440856721297073e-11,1.5121294243461546e-05,-1.5121312684318267e-05
2021-04-06,Utilities,4.4153373011379016e-10,7.64436078331828e-05,-7.644316629945268e-05,1.0121014560689408,1.0410050865878069,4.468769311517177e-10,7.95781845914668e-05,-7.957773771453565e-05
2021-04-07,Communication Services,4.533803463984505e-06,-0.0001064477936935489,0.00011098159715753341,1.0139744075857366,1.049557231840257,4.597160681503849e-06,-0.00011172305168450397,0.00011632021236600782
2021-04-07,Consumer Discretionary,-0.001956199752362381,0.006637855067991498,-0.008594054820353879,1.0139744075857366,1.049557231840257,-0.00198353648502101,0.006966808790517978,-0.008950345275538988
2021-04-07,Consumer Staples,-0.0005081710817731217,-6.294584306674734e-05,-0.0004452252387063743,1.0139744075857366,1.049557231840257,-0.000515272471593104,-6.606526480498657e-05,-0.0004492072067881174
2021-04-07,Energy,2.359615752720269e-10,5.295104507267361e-05,-5.295080911109834e-05,1.0139744075857366,1.049557231840257,2.392589984994507e-10,5.5575152289524e-05,-5.55749130305255e-05
2021-04-07,Financials,5.326769668038063e-10,0.00034271368977900027,-0.00034271315710203345,1.0139744075857366,1.049557231840257,5.401208118494566e-10,0.00035969763155820815,-0.0003596970914373963
2021-04-07,Health Care,0.00047763590958130726,-0.00012004534244150123,0.0005976812520228085,1.0139744075857366,1.049557231840257,0.0004843105884593805,-0.00012599445730821776,0.0006103050457675983
2021-04-07,Industrials,-0.0012668828593836367,-0.00027317215372293897,-0.0009937107056606977,1.0139744075857366,1.049557231840257,-0.0012845867968240472,-0.000286709809477289,-0.0009978769873467581
2021-04-07,Information Technology,-6.913540055012686e-05,0.0007285606429141976,-0.0007976960434643245,1.0139744075857366,1.049557231840257,-7.01015268160175e-05,0.0007646660916047832,-0.0008347676184208007
2021-04-07,Materials,-6.91672798880646e-10,-0.0002933117294018521,0.0002933110377290532,1.0139744075857366,1.049557231840257,-7.013385164881714e-10,-0.0003078474467772864,0.0003078467454387699
2021-04-07,Real Estate,-5.165549856637331e-11,1.6806641637180258e-05,-1.6806693292678825e-05,1.0139744075857366,1.049557231840257,-5.2377353557384245e-11,1.763953227325012e-05,-1.7639584650603675e-05
2021-04-07,Utilities,-4.121960840965034e-11,-1.8401464077194935e-05,1.8401422857586527e-05,1.0139744075857366,1.049557231840257,-4.179562801809125e-11,-1.9313389698668645e-05,1.9313347903040628e-05
2021-04-08,Communication Services,0.0008085424816214062,-4.461015313913101e-05,0.0008531526347605371,1.0106098180384917,1.0568039656187498,0.0008171209702277997,-4.714418674429337e-05,0.0008642651569720931
2021-04-08,Consumer Discretionary,-0.0009842137234866715,-0.007374878786435002,0.006390665062948331,1.0106098180384917,1.0568039656187498,-0.0009946560520038513,-0.007793801147462103,0.006799145095458252
2021-04-08,Consumer Staples,0.00018730769165160058,5.150976764441623e-05,0.00013579792400718435,1.0106098180384917,1.0568039656187498,0.00018929499217723396,5.4435726714719444e-05,0.00013485926546251452
2021-04-08,Energy,-3.6509370412440636e-10,-0.00018274138884185817,0.00018274102374815404,1.0106098180384917,1.0568039656187498,-3.6896728189216526e-10,-0.00019312182441075368,0.0001931214554434718
2021-04-08,Financials,-4.6246644443351253e-10,0.0002539050183930742,-0.0002539054808595186,1.0106098180384917,1.0568039656187498,-4.673731292578604e-10,0.00026832783032830243,-0.00026832829770143167
2021-04-08,Health Care,-0.0010961912439885774,5.1938557313847594e-05,-0.001148129801302425,1.0106098180384917,1.0568039656187498,-0.0011078216336226842,5.488887333779086e-05,-0.001162710506960475
2021-04-08,Industrials,0.0023880298824438284,0.00020033710410363023,0.002187692778340198,1.0106098180384917,1.0568039656187498,0.002413366444967038,0.00021171704607729274,0.0022016493988897454
2021-04-08,Information Technology,0.00338316945283533,0.0019412255735182283,0.0014419438793171018,1.0106098180384917,1.0568039656187498,0.0034190642651232965,0.002051494884254596,0.0013675693808687006
2021-04-08,Materials,-4.808977255981019e-11,2.1759577924359935e-05,-2.1759626014132496e-05,1.0106098180384917,1.0568039656187498,-4.859999629618223e-11,2.2995608240653782e-05,-2.299565684065008e-05
2021-04-08,Real Estate,2.561480015837481e-12,-6.115158128639015e-05,6.115158384787017e-05,1.0106098180384917,1.0568039656187498,2.5886568527147492e-12,-6.462523360731444e-05,6.46252361959713e-05
2021-04-08,Utilities,-5.341176015835663e-11,-1.3628121245642279e-05,1.3628067833882121e-05,1.0106098180384917,1.0568039656187498,-5.397844921475235e-11,-1.4402252576327897e-05,1.4402198597878682e-05
2021-04-09,Communication Services,0.000379301191127185,-2.37839167506742e-05,0.00040308510787785923,1.0153461860890303,1.0513547309429023,0.0003851220177900136,-2.500533339617346e-05,0.00041012735118618705
2021-04-09,Consumer Discretionary,0.0029853527175160454,0.013136324767106439,-0.010150972049590394,1.0153461860890303,1.0513547309429023,0.0030311664958604387,0.013810937191099774,-0.010779770695239336
2021-04-09,Consumer Staples,-0.00028347553238634843,4.296767569551866e-06,-0.0002877722999559003,1.0153461860890303,1.0513547309429023,-0.00028782580065803625,4.517426912010391e-06,-0.00029234322757004666
2021-04-09,Energy,-8.846484459892404e-11,-5.7606841114503626e-05,5.7606752649659025e-05,1.0153461860890303,1.0513547309429023,-8.982244256647627e-11,-6.0565224940409486e-05,6.056513511796692e-05
2021-04-09,Financials,2.2772368761880457e-09,0.0005536557697021179,-0.0005536534924652417,1.0153461860890303,1.0513547309429023,2.3121837770588295e-09,0.0005820886127901557,-0.0005820863006063787
2021-04-09,Health Care,0.001291774489478395,0.0009064715203685206,0.0003853029691098744,1.0153461860890303,1.0513547309429023,0.0013115983011789925,0.0009530231214044495,0.000358575179774543
2021-04-09,Industrials,0.002752960050221557,0.0006042603180581918,0.002148699732163365,1.0153461860890303,1.0513547309429023,0.0027952074874479232,0.0006352919441115428,0.0021599155433363803
2021-04-09,Information Technology,0.0010312955704158571,0.0015797419652070857,-0.0005484463947912285,1.0153461860890303,1.0513547309429023,0.0010471220241522515,0.0016608691887895074,-0.0006137471646372559
2021-04-09,Materials,2.4154470144017906e-10,0.0001484690907176566,-0.00014846884917295514,1.0153461860890303,1.0513547309429023,2.4525149137729933e-10,0.0001560936809247992,-0.00015609343567330784
2021-04-09,Real Estate,3.8637438370422464e-10,1.1322574215084023e-05,-1.1322187840700318e-05,1.0153461860890303,1.0513547309429023,3.9230375689658407e-10,1.1904041967480707e-05,-1.1903649663723811e-05
2021-04-09,Utilities,1.238912627260723e-10,-1.275037916445091e-05,1.2750503055713635e-05,1.0153461860890303,1.0513547309429023,1.2579252109867155e-10,-1.3405171455861274e-05,1.3405297248382373e-05
2021-04-12,Communication Services,-0.0019270998673987863,-2.3118175508253524e-05,-0.0019039816918905328,1.023628579600511,1.0690704804211095,-0.0019726345000137526,-2.4714958997068122e-05,-0.0019479195410166846
2021-04-12,Consumer Discretionary,0.0006711462172638411,-0.025957294443980573,0.026628440661244413,1.023628579600511,1.0690704804211095,0.0006870044490820416,-0.02775017724165851,0.02843718169074055
2021-04-12,Consumer Staples,0.0001995698103674446,0.0001497583371125332,4.981147325491139e-05,1.023628579600511,1.0690704804211095,0.0002042853615175706,0.00016010221740396234,4.4183144113608275e-05
2021-04-12,Energy,-3.9354983011188985e-10,-0.00013105656251188034,0.00013105616896205022,1.023628579600511,1.0690704804211095,-4.028488535994562e-10,-0.00014010870224691509,0.0001401082993980615
2021-04-12,Financials,1.7912893950677052e-09,0.0002691310352939175,-0.00026912924400452243,1.023628579600511,1.0690704804211095,1.8336150191266134e-09,0.00028772004519789896,-0.0002877182115828798
2021-04-12,Health Care,0.0006723544215527669,2.9643919625631923e-05,0.000642710501927135,1.023628579600511,1.0690704804211095,0.0006882412015221819,3.169143939573908e-05,0.0006565497621264428
2021-04-12,Industrials,-7.026267608398098e-05,0.00013050214642259197,-0.00020076482250657295,1.023628579600511,1.0690704804211095,-7.192288331877624e-05,0.00013951599237198637,-0.00021143887569076262
2021-04-12,Information Technology,0.002520036963016213,-0.0011601684322356503,0.003680205395251863,1.023628579600511,1.0690704804211095,0.002579581856993071,-0.0012403018232195722,0.0038198836802126436
