candidate_id,fold,development_start,development_end,test_start,test_end,status,net_total_return,spy_total_return,active_total_return,sharpe_ratio,max_drawdown,average_turnover,cost_drag,error
v1_control,2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,valid,0.34016844543641556,0.3122390374631525,0.027929407973263043,2.285222938348847,-0.06592542743881813,0.03174999496731466,0.000426690344878633,
v1_control,2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,valid,0.16991460384620738,0.18331622104156264,-0.013401617195355264,0.6084209862322155,-0.376371732751822,0.06440264031428132,0.0009186355123078638,
v1_control,2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,valid,0.3926601489802941,0.2872877099752804,0.1053724390050137,2.244767443208116,-0.05103489187828514,0.028620905388325634,0.00035457485295919966,
v1_control,2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,valid,-0.16890398442608723,-0.18175380364360771,0.012849819217520486,-0.6121223937970509,-0.2581945355119607,0.04013018277334634,0.00036748135197106624,
v1_control,2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,valid,0.44216702984677947,0.26175803310593393,0.18040899674084554,2.7294425537740508,-0.08307045000938829,0.0300060262864783,0.00037032515888002493,
v1_control,2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,valid,0.3338596064385033,0.24886472798432036,0.08499487845418296,2.2479933589691603,-0.09148284288393138,0.03372985330774248,0.0003733310000400003,
v1_control,2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,valid,0.27358501314137484,0.17719048869766496,0.09639452444370988,1.4810752094692445,-0.1937619584748329,0.041727835686829966,0.000500757128732765,
v1_drawdown_fixed,2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,valid,0.33891674948619954,0.3122390374631525,0.02667771202304703,2.2993439196790226,-0.06227726834106817,0.02811157575924675,0.00037369502171724633,
v1_drawdown_fixed,2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,valid,0.18070591664199398,0.18331622104156264,-0.0026103043995686637,0.6338873428082484,-0.36998005715603544,0.06227104078150731,0.0008926999982656891,
v1_drawdown_fixed,2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,valid,0.393370637340801,0.2872877099752804,0.10608292736552061,2.2519265534990955,-0.05138577055422089,0.028801005249284372,0.00035883953911786115,
v1_drawdown_fixed,2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,valid,-0.14494297664194478,-0.18175380364360771,0.03681082700166294,-0.5173121059329933,-0.23816081901160358,0.04118499935350849,0.0003864811809350943,
v1_drawdown_fixed,2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,valid,0.42912238966784155,0.26175803310593393,0.16736435656190762,2.678090851873845,-0.08488503404999725,0.030362732015721584,0.0003745083269548477,
