candidate_id,description,candidate_file,candidate_file_sha256,config_hash,valid_folds,all_folds_valid,positive_years,spy_outperformance_years,median_annual_sharpe,combined_net_total_return,combined_spy_total_return,combined_sharpe,combined_max_drawdown,combined_average_turnover,combined_cost_drag,source_run_id,elapsed_seconds,selection_passed,selection_failures
v1_control,Frozen current multifactor strategy used as the historical control.,D:\QuantAI\configs\historical_replay\v1_control.yaml,1e89405b355c07d9783c8ebc1c60b2117b2c128d648bcd4d7d6023764a50b666,80084eb681ed89814b157771b04296a1cccf88a287c508148dcff93e866bcda8,7,True,6,6,2.244767443208116,3.4459392336292494,2.033972305227395,1.1183031757781552,-0.3763717327518219,0.03862391981775981,0.012152164927491604,20260614T131342Z-backtest-b20f3b35,187.79620460001752,False,"[""control_only""]"
v1_drawdown_fixed,Current multifactor strategy with corrected trailing drawdown direction.,D:\QuantAI\configs\historical_replay\v1_drawdown_fixed.yaml,b6472740acf9ea568602d2582bc59dd2aa169b927fe1956932333208b740fb49,48b054d68658cdb4bff4a1872da4ea2a379e712c5fb48ba38a9fe2cc92bc4a0c,7,True,6,6,2.1627726826733227,3.427119000688677,2.033972305227395,1.1248712292612097,-0.3699800571560353,0.03798686366936116,0.011828552628893263,20260614T131650Z-backtest-9e4fa7cb,184.7025280999951,False,"[""insufficient_sharpe_improvement"", ""robustness_decline_or_invalid""]"
v2_core,Focused value and medium-term momentum rule score.,D:\QuantAI\configs\historical_replay\v2_core.yaml,470c1cbcf8306c724f4b8ebbcee9b4afaab43316145e01062752474d689b78d7,6f54d0c48be144d22e952dbb68e604ba4c72d3fd1414422fdcaf04d831104daf,6,False,6,3,1.728650076963107,3.1293558581098786,2.707896619302981,1.3358922182419504,-0.3324042903545352,0.08674940232114542,0.02551635724734691,20260614T131954Z-backtest-bba74148,138.2283821000019,False,"[""not_all_folds_valid"", ""insufficient_spy_outperformance_years"", ""robustness_decline_or_invalid""]"
