fold,role,date
1,train,2016-01-29
1,train,2016-02-29
1,train,2016-03-31
1,train,2016-04-29
1,train,2016-05-31
1,train,2016-06-30
1,train,2016-07-29
1,train,2016-08-31
1,train,2016-09-30
1,train,2016-10-31
1,train,2016-11-30
1,train,2016-12-30
1,train,2017-01-31
1,train,2017-02-28
1,train,2017-03-31
1,train,2017-04-28
1,train,2017-05-31
1,train,2017-06-30
1,train,2017-07-31
1,train,2017-08-31
1,train,2017-09-29
1,train,2017-10-31
1,train,2017-11-30
1,train,2017-12-29
1,test,2018-01-31
1,test,2018-02-28
1,test,2018-03-29
2,train,2016-01-29
2,train,2016-02-29
2,train,2016-03-31
2,train,2016-04-29
2,train,2016-05-31
2,train,2016-06-30
2,train,2016-07-29
2,train,2016-08-31
2,train,2016-09-30
2,train,2016-10-31
2,train,2016-11-30
2,train,2016-12-30
2,train,2017-01-31
2,train,2017-02-28
2,train,2017-03-31
2,train,2017-04-28
2,train,2017-05-31
2,train,2017-06-30
2,train,2017-07-31
2,train,2017-08-31
2,train,2017-09-29
2,train,2017-10-31
2,train,2017-11-30
2,train,2017-12-29
2,train,2018-01-31
2,train,2018-02-28
2,train,2018-03-29
2,test,2018-04-30
2,test,2018-05-31
2,test,2018-06-29
3,train,2016-01-29
3,train,2016-02-29
3,train,2016-03-31
3,train,2016-04-29
3,train,2016-05-31
3,train,2016-06-30
3,train,2016-07-29
3,train,2016-08-31
3,train,2016-09-30
3,train,2016-10-31
3,train,2016-11-30
3,train,2016-12-30
3,train,2017-01-31
3,train,2017-02-28
3,train,2017-03-31
3,train,2017-04-28
3,train,2017-05-31
3,train,2017-06-30
3,train,2017-07-31
3,train,2017-08-31
3,train,2017-09-29
3,train,2017-10-31
3,train,2017-11-30
3,train,2017-12-29
3,train,2018-01-31
3,train,2018-02-28
3,train,2018-03-29
3,train,2018-04-30
3,train,2018-05-31
3,train,2018-06-29
3,test,2018-07-31
3,test,2018-08-31
3,test,2018-09-28
4,train,2016-01-29
4,train,2016-02-29
4,train,2016-03-31
4,train,2016-04-29
4,train,2016-05-31
4,train,2016-06-30
4,train,2016-07-29
4,train,2016-08-31
4,train,2016-09-30
4,train,2016-10-31
4,train,2016-11-30
4,train,2016-12-30
4,train,2017-01-31
4,train,2017-02-28
4,train,2017-03-31
4,train,2017-04-28
4,train,2017-05-31
4,train,2017-06-30
4,train,2017-07-31
4,train,2017-08-31
4,train,2017-09-29
4,train,2017-10-31
4,train,2017-11-30
4,train,2017-12-29
4,train,2018-01-31
4,train,2018-02-28
4,train,2018-03-29
4,train,2018-04-30
4,train,2018-05-31
4,train,2018-06-29
4,train,2018-07-31
4,train,2018-08-31
4,train,2018-09-28
4,test,2018-10-31
4,test,2018-11-30
4,test,2018-12-31
5,train,2016-01-29
5,train,2016-02-29
5,train,2016-03-31
5,train,2016-04-29
5,train,2016-05-31
5,train,2016-06-30
5,train,2016-07-29
5,train,2016-08-31
5,train,2016-09-30
5,train,2016-10-31
5,train,2016-11-30
5,train,2016-12-30
5,train,2017-01-31
5,train,2017-02-28
5,train,2017-03-31
5,train,2017-04-28
5,train,2017-05-31
5,train,2017-06-30
5,train,2017-07-31
5,train,2017-08-31
5,train,2017-09-29
5,train,2017-10-31
5,train,2017-11-30
5,train,2017-12-29
5,train,2018-01-31
5,train,2018-02-28
5,train,2018-03-29
5,train,2018-04-30
5,train,2018-05-31
5,train,2018-06-29
5,train,2018-07-31
5,train,2018-08-31
5,train,2018-09-28
5,train,2018-10-31
5,train,2018-11-30
5,train,2018-12-31
5,test,2019-01-31
5,test,2019-02-28
5,test,2019-03-29
6,train,2016-01-29
6,train,2016-02-29
6,train,2016-03-31
6,train,2016-04-29
6,train,2016-05-31
6,train,2016-06-30
6,train,2016-07-29
6,train,2016-08-31
6,train,2016-09-30
6,train,2016-10-31
6,train,2016-11-30
6,train,2016-12-30
6,train,2017-01-31
6,train,2017-02-28
6,train,2017-03-31
6,train,2017-04-28
6,train,2017-05-31
6,train,2017-06-30
6,train,2017-07-31
6,train,2017-08-31
6,train,2017-09-29
6,train,2017-10-31
6,train,2017-11-30
6,train,2017-12-29
6,train,2018-01-31
6,train,2018-02-28
6,train,2018-03-29
6,train,2018-04-30
6,train,2018-05-31
6,train,2018-06-29
6,train,2018-07-31
6,train,2018-08-31
6,train,2018-09-28
6,train,2018-10-31
6,train,2018-11-30
6,train,2018-12-31
6,train,2019-01-31
6,train,2019-02-28
6,train,2019-03-29
6,test,2019-04-30
6,test,2019-05-31
6,test,2019-06-28
7,train,2016-01-29
7,train,2016-02-29
7,train,2016-03-31
7,train,2016-04-29
7,train,2016-05-31
7,train,2016-06-30
7,train,2016-07-29
7,train,2016-08-31
7,train,2016-09-30
7,train,2016-10-31
7,train,2016-11-30
7,train,2016-12-30
7,train,2017-01-31
7,train,2017-02-28
7,train,2017-03-31
7,train,2017-04-28
7,train,2017-05-31
7,train,2017-06-30
7,train,2017-07-31
7,train,2017-08-31
7,train,2017-09-29
7,train,2017-10-31
7,train,2017-11-30
7,train,2017-12-29
7,train,2018-01-31
7,train,2018-02-28
7,train,2018-03-29
7,train,2018-04-30
7,train,2018-05-31
7,train,2018-06-29
7,train,2018-07-31
7,train,2018-08-31
7,train,2018-09-28
7,train,2018-10-31
7,train,2018-11-30
7,train,2018-12-31
7,train,2019-01-31
7,train,2019-02-28
7,train,2019-03-29
7,train,2019-04-30
7,train,2019-05-31
7,train,2019-06-28
7,test,2019-07-31
7,test,2019-08-30
7,test,2019-09-30
8,train,2016-01-29
8,train,2016-02-29
8,train,2016-03-31
8,train,2016-04-29
8,train,2016-05-31
8,train,2016-06-30
8,train,2016-07-29
8,train,2016-08-31
8,train,2016-09-30
8,train,2016-10-31
8,train,2016-11-30
8,train,2016-12-30
8,train,2017-01-31
8,train,2017-02-28
8,train,2017-03-31
8,train,2017-04-28
8,train,2017-05-31
8,train,2017-06-30
8,train,2017-07-31
8,train,2017-08-31
8,train,2017-09-29
8,train,2017-10-31
8,train,2017-11-30
8,train,2017-12-29
8,train,2018-01-31
8,train,2018-02-28
8,train,2018-03-29
8,train,2018-04-30
8,train,2018-05-31
8,train,2018-06-29
8,train,2018-07-31
8,train,2018-08-31
8,train,2018-09-28
8,train,2018-10-31
8,train,2018-11-30
8,train,2018-12-31
8,train,2019-01-31
8,train,2019-02-28
8,train,2019-03-29
8,train,2019-04-30
8,train,2019-05-31
8,train,2019-06-28
8,train,2019-07-31
8,train,2019-08-30
8,train,2019-09-30
8,test,2019-10-31
8,test,2019-11-29
8,test,2019-12-31
9,train,2016-01-29
9,train,2016-02-29
9,train,2016-03-31
9,train,2016-04-29
9,train,2016-05-31
9,train,2016-06-30
9,train,2016-07-29
9,train,2016-08-31
9,train,2016-09-30
9,train,2016-10-31
9,train,2016-11-30
9,train,2016-12-30
9,train,2017-01-31
9,train,2017-02-28
9,train,2017-03-31
9,train,2017-04-28
9,train,2017-05-31
9,train,2017-06-30
9,train,2017-07-31
9,train,2017-08-31
9,train,2017-09-29
9,train,2017-10-31
9,train,2017-11-30
9,train,2017-12-29
9,train,2018-01-31
9,train,2018-02-28
9,train,2018-03-29
9,train,2018-04-30
9,train,2018-05-31
9,train,2018-06-29
9,train,2018-07-31
9,train,2018-08-31
9,train,2018-09-28
9,train,2018-10-31
