signal_date,execution_date,execution_price_model,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2021-01-29,2021-02-01,close,optimal_target_cardinality,,1.0000000000000002,25,100.00000000000003,500.0000000000001,455.56243256087765,1055.5624325608778,0.0010555624325608779,0.0004972925028869441,0.04899081991334013,20.41198742476448
2021-02-26,2021-03-01,close,optimal_target_cardinality,,0.17700430147015225,25,18.738165855850344,93.69082927925172,99.04398254341056,211.47297767851262,0.0001997614226587257,0.000276341660910951,0.046581848379445484,21.467589518007532
2021-03-31,2021-04-01,close,optimal_target_cardinality,,0.034260004270991636,25,3.722642456026692,18.61321228013346,3.518338424757824,25.854193160917976,2.379397910433495e-05,2.203633156949088e-05,0.04616442831283751,21.66170006965986
2021-04-30,2021-05-03,close,optimal_target_cardinality,,0.03710067141756968,25,4.1426005439169415,20.713002719584708,5.29062061160805,30.146223875109698,2.6998624043374912e-05,4.687644701575074e-05,0.04507386876580796,22.185803601544357
2021-05-28,2021-06-01,close,optimal_target_cardinality,,0.04617597950773117,25,5.479041860048887,27.39520930024444,17.1269115169912,50.001162677284526,4.213971570438817e-05,0.0002069216269479524,0.04404308452878877,22.70504009196608
2021-06-30,2021-07-01,close,optimal_target_cardinality,,0.04111227665812036,25,4.942990114739772,24.714950573698868,5.574148331037194,35.232089019475836,2.9303546181347586e-05,6.594483403452461e-05,0.043904523404660445,22.776696396022157
2021-07-30,2021-08-02,close,optimal_target_cardinality,,0.0352777768241548,25,4.187729527991661,20.938647639958297,6.235287667025524,31.361664834975482,2.6419323537659282e-05,7.266189084010184e-05,0.04428064650245237,22.583229446404257
2021-08-31,2021-09-01,close,optimal_target_cardinality,,0.03799200952353923,25,4.696683758401095,23.48341879200547,8.536549258084083,36.71665180849065,2.9700517576587566e-05,6.122381334945767e-05,0.043537896285420624,22.968496076253146
2021-09-30,2021-10-01,close,optimal_target_cardinality,,0.025135570617272826,25,3.0911360611605496,15.455680305802751,3.843138538114398,22.3899549050777,1.820639019114676e-05,5.2581733037282964e-05,0.042710676817818566,23.413349412969445
2021-10-29,2021-11-01,close,optimal_target_cardinality,,0.06847379034930642,25,8.93906615518514,44.695330775925704,27.53714440705792,81.17154133816877,6.217789428368665e-05,0.00035395847670214453,0.04271020828139268,23.413606260395234
