candidate,kind,folds,mean_rank_ic,positive_rank_ic_share,periods,net_total_return,net_sharpe,average_turnover,description,start_date,end_date,max_sector_weight,target_num_holdings,max_weight,total_return,sharpe_ratio,max_drawdown,beta,alpha_annualized,information_ratio,average_number_of_holdings,bootstrap_sharpe_one_sided_lower_95,deflated_sharpe_probability,deflated_sharpe_trial_count,ff_alpha_annualized,ff_alpha_t_stat,ff_r_squared,passes_daily_dsp_gate
style_residual_rank_lgbm,walk_forward_label_experiment,22.0,0.020783295789726965,0.7727272727272727,64.0,0.8622274377154717,0.7558662256630709,0.5353125000000001,Predict same-date sector and value/low-risk residual forward-return ranks.,,,,,,,,,,,,,,,,,,,
style_residual_rank_lgbm__raw_score,daily_simulation,,,,,1.0726930706805518,,0.06261457280659331,,2021-01-29,2026-06-11,0.25,25.0,0.05,1.0726930706805518,0.8651746037671323,-0.27391874758885837,0.9585372442868785,0.018286891711997693,0.1777122150113551,25.0,0.2606469223174363,0.3651343952554874,60.0,0.021590084801220176,0.7800455540876959,0.8608923134821052,False
style_residual_rank_lgbm__style_neutral_score,daily_simulation,,,,,1.1815635932858433,,0.057575217247292816,,2021-01-29,2026-06-11,0.25,25.0,0.05,1.1815635932858433,0.944832236199684,-0.23243528926138934,0.9324272908634086,0.030508464210205533,0.3157982652793022,25.0,0.3263380665749045,0.43347791293915194,61.0,0.0302715620397022,1.1560840139923687,0.8725599599354363,False
style_residual_rank_lgbm__style_neutral_score__sector_cap_20,daily_simulation,,,,,1.2540093436049307,,0.05985866226770512,,2021-01-29,2026-06-11,0.2,25.0,0.05,1.2540093436049307,0.9277189470170067,-0.2634288198744753,1.0012299035752648,0.029150367781315252,0.4227973066155399,25.0,0.30431941621010444,0.4156444181316028,62.0,0.017587010701979447,0.6721591026117673,0.8848189755627769,False
style_residual_rank_lgbm__style_neutral_score__sector_cap_15,daily_simulation,,,,,1.1036420152096507,,0.06410718754939607,,2021-01-29,2026-06-11,0.15,25.0,0.05,1.1036420152096507,0.8544306584062884,-0.24672510892647692,0.9904127225315843,0.017839532681525466,0.2200396394151409,25.0,0.23696049167547725,0.34875571836618063,63.0,0.012116425086723032,0.4360662247486361,0.8769298920015098,False
style_residual_rank_lgbm__style_neutral_score__holdings35_sector_cap20,daily_simulation,,,,,1.3465918843933955,,0.055526726403104396,,2021-01-29,2026-06-11,0.2,35.0,0.05,1.3465918843933955,0.9405825649696783,-0.2723611818333792,1.0462253521449831,0.03167986123935225,0.5489197574984158,35.0,0.30855148605394783,0.42250774139874475,64.0,0.02741644805396787,1.071717414480295,0.8962600515791819,False
sector_relative_rank_lgbm,walk_forward_label_experiment,22.0,0.03136969084393683,0.7727272727272727,64.0,1.7412823816688947,0.9795926040029146,0.43593750000000003,Predict sector-demeaned forward-return ranks.,,,,,,,,,,,,,,,,,,,
sector_relative_rank_lgbm__raw_score,daily_simulation,,,,,1.1576479430996942,,0.051629467465279355,,2021-01-29,2026-06-11,0.25,25.0,0.05,1.1576479430996942,0.7542618046622663,-0.3336265254038743,1.0917985704835231,0.016958372521457567,0.2288855554909864,25.0,0.09407007894284987,0.2640877769656085,65.0,0.00308595634479683,0.07219948687022222,0.8149623091069402,False
sector_relative_rank_lgbm__style_neutral_score,daily_simulation,,,,,1.083230289455766,,0.05635138162747223,,2021-01-29,2026-06-11,0.25,25.0,0.05,1.083230289455766,0.8570217862163252,-0.24687728559311128,0.9413020538921572,0.022248498157393406,0.16634013952610924,25.0,0.20850745009754734,0.34487942732792554,66.0,0.02569015197803891,0.804458236747878,0.8429971212995111,False
current_best__style_neutral_score,daily_simulation,,,,,1.26184698441104,,0.06050038115628107,,2021-01-29,2026-06-11,0.25,25.0,0.05,1.26184698441104,0.8658088906231244,-0.28050755457913445,1.0731749640897614,0.02312556352991704,0.38553211463819786,25.0,0.22031660140699216,0.34999771594852735,67.0,0.028372010037436446,0.857777315228537,0.8631016590883713,False
current_best__style_neutral_score__sector_cap_20,daily_simulation,,,,,1.4269318575318342,,0.060323431063640055,,2021-01-29,2026-06-11,0.2,25.0,0.05,1.4269318575318342,0.9350298504990837,-0.26882537198930145,1.0454249880399051,0.04000359095090476,0.4967717571922836,25.0,0.2784339051083076,0.4088204339745438,68.0,0.031796611932401055,0.9123803959583763,0.8474307314674873,False
current_best__style_neutral_score__sector_cap_15,daily_simulation,,,,,1.539127411645142,,0.056823762014621276,,2021-01-29,2026-06-11,0.15,25.0,0.05,1.539127411645142,1.041330258980967,-0.2371761584584341,0.972100170981997,0.05584950591330695,0.6144425088273291,25.0,0.392807127277824,0.5037506820431601,69.0,0.04047400848141403,1.33180098614384,0.8575304647941628,False
current_best__style_neutral_score__holdings35_sector_cap20,daily_simulation,,,,,1.2374204469988195,,0.048782490040417466,,2021-01-29,2026-06-11,0.2,35.0,0.05,1.2374204469988195,0.8908254870171645,-0.26057106530505114,1.0143681023651514,0.02732309507292753,0.354043141931649,35.0,0.24553724115564934,0.36555506251330006,70.0,0.025474645708284657,0.8123523760661502,0.8620219364987312,False
