trial,selection_method,objective_score,train_periods,portfolio_top_n,learning_rate,n_estimators,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,kind,folds,mean_rank_ic,positive_rank_ic_share,periods,net_total_return,net_sharpe,average_turnover
14,bayesian_ei,1.2320631747594546,60,50,0.055453866519742816,86,4,67,0.6907147878753861,0.6319387443168342,1.2191228708553223,0.9434854629810787,walk_forward_label_experiment,12.0,0.025562477795931213,0.75,36.0,0.6716349078623605,0.8775633523920049,0.4044444444444445
8,bayesian_ei,0.995849108072591,36,50,0.011432614853673171,148,14,70,0.840350424191396,0.6180021549592444,1.712066044411877,0.7088160237312269,walk_forward_label_experiment,20.0,0.010915521385584817,0.55,60.0,1.2162698122459332,0.7985249369879125,0.4413333333333333
9,bayesian_ei,0.9627930449344235,48,50,0.0629974233083189,112,5,37,0.9384226235437163,0.6034883816892448,1.7382607239936674,0.7501463852179314,walk_forward_label_experiment,16.0,0.014494964085790466,0.75,48.0,0.8128260878199942,0.6968333322480997,0.4479166666666667
18,bayesian_ei,0.9359909142385086,60,25,0.02930581223598301,155,13,24,0.6279256489609198,0.7902678466141317,1.5632336999938767,0.993954374583524,walk_forward_label_experiment,12.0,0.020943928166786207,0.75,36.0,0.5708772660658163,0.7359394889042188,0.5283333333333333
3,random,0.9315778937542427,36,50,0.048375052274818156,96,15,91,0.9113533988295047,0.677855483140787,0.9334420074540684,0.6971169460425295,walk_forward_label_experiment,20.0,0.00853812503245004,0.65,60.0,1.2063401256489836,0.8212728934946423,0.5086666666666666
2,random,0.9179997030855646,60,35,0.02162041285827327,170,11,86,0.7773656795309325,0.6908954887139107,1.1091695740316696,0.787177652468789,walk_forward_label_experiment,12.0,0.01640339844651926,0.75,36.0,0.5050458869939352,0.7016534678943626,0.4932539682539681
4,random,0.9176096032201382,36,50,0.04705299212830418,176,7,50,0.7878223245103232,0.6757885436337143,0.2598430106709433,2.640672168016702,walk_forward_label_experiment,20.0,0.008947191717556646,0.55,60.0,1.1314689345043054,0.7680320694796852,0.47133333333333344
5,random,0.9138870241896504,60,25,0.024819185255814568,158,11,45,0.9329039205580805,0.9219057429987207,0.7749567580603489,1.7974764676860984,walk_forward_label_experiment,12.0,0.020845685314855037,0.75,36.0,0.5223325080837324,0.6979548750041433,0.5172222222222222
7,bayesian_ei,0.8998775084232319,36,25,0.034362608902439806,89,11,79,0.732885111512265,0.9306191445958187,0.14739166427668016,0.5483917292001148,walk_forward_label_experiment,20.0,0.008864850028078883,0.55,60.0,1.3549239682127037,0.8214587081986007,0.5183333333333333
11,bayesian_ei,0.883742314903141,36,50,0.016807631298172282,60,12,76,0.635719187219316,0.6436828738634616,1.7605644271145056,1.40381349351335,walk_forward_label_experiment,20.0,0.004400152763726678,0.5,60.0,1.0929901977887289,0.7485410927933276,0.43333333333333335
6,random,0.8598584159507708,36,25,0.015154272626460586,51,12,73,0.882066151450534,0.9122916124087872,0.9178315510766799,3.059335381788022,walk_forward_label_experiment,20.0,0.004314142505759477,0.5,60.0,1.3858965534259067,0.785845275904695,0.49033333333333334
17,bayesian_ei,0.8556266704510225,36,25,0.03823093335292138,176,9,64,0.6303409199001373,0.6432987008079755,0.34700289526436645,1.0327779567284452,walk_forward_label_experiment,20.0,0.00906797639705482,0.6,60.0,1.274566482478373,0.7985828592745841,0.5403333333333334
1,random,0.852984146234667,36,35,0.049997922361544295,107,13,76,0.6376709391550598,0.9902489406547024,1.522279403980706,4.037289373746292,walk_forward_label_experiment,20.0,0.013305886700007787,0.65,60.0,1.1295878719383285,0.7518941954917474,0.5402380952380952
12,bayesian_ei,0.8369838992833663,36,50,0.01027743096027915,77,14,37,0.8698042392173599,0.915874273928565,1.6264205469045214,0.5469667848696944,walk_forward_label_experiment,20.0,0.005298000227818269,0.5,60.0,0.9820289181144946,0.6945998974608201,0.42900000000000005
10,bayesian_ei,0.8265230777570335,48,50,0.03739476090179451,163,15,36,0.8779285744947174,0.7866066800251746,0.9869561218936407,1.96511631602362,walk_forward_label_experiment,16.0,0.014142772535016829,0.75,48.0,0.6763982761644469,0.6252558974768987,0.49124999999999996
16,bayesian_ei,0.8088283666430596,36,25,0.013272745150794473,57,5,55,0.6167993082846212,0.7645767216800432,0.9621080506780675,0.9985902956454851,walk_forward_label_experiment,20.0,-0.002361895250709632,0.4,60.0,1.1404088651072124,0.7477235286487366,0.4203333333333334
13,bayesian_ei,0.7014862648110326,48,25,0.012131704774949584,167,4,40,0.769453082722215,0.6081836867304977,1.6211876012037947,4.235034956446009,walk_forward_label_experiment,16.0,0.005135751443877316,0.4375,48.0,0.6052983947757604,0.572900253260014,0.4445833333333334
15,bayesian_ei,0.6695794312003549,48,50,0.020023686706978985,95,4,93,0.8086349287299222,0.6275946904752935,1.5034475250514243,4.0101513591104325,walk_forward_label_experiment,16.0,0.0029369180700371455,0.4375,48.0,0.5595068293381031,0.5585840866400578,0.36833333333333335
