fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.07801477088578179,0.24141192404161604,-0.02933416296208801
2,lightgbm,2016-04-29,2020-03-31,2020-04-30,2020-06-30,18961,1297,424,0.07501067176562685,0.23652509658680776,0.053875598448807266
3,lightgbm,2016-07-29,2020-06-30,2020-07-31,2020-09-30,19120,1304,434,0.07508767786484966,0.23600974416582146,-0.02273493518616956
4,lightgbm,2016-10-31,2020-09-30,2020-10-30,2020-12-31,19275,1310,434,0.07660144103838495,0.23933109182482362,-0.028305992757253273
5,lightgbm,2017-01-31,2020-12-31,2021-01-29,2021-03-31,19423,1324,438,0.07603259417673548,0.23777571922022608,0.007204782857149368
6,lightgbm,2017-04-28,2021-03-31,2021-04-30,2021-06-30,19574,1339,444,0.0767056755408276,0.23811621374779246,0.02748089162876927
7,lightgbm,2017-07-31,2021-06-30,2021-07-30,2021-09-30,19727,1343,447,0.07666618061351506,0.23887858706077025,0.031945596600343996
8,lightgbm,2017-10-31,2021-09-30,2021-10-29,2021-12-31,19876,1347,447,0.07881158745552747,0.24250956690775977,-0.04284671893545012
9,lightgbm,2018-01-31,2021-12-31,2022-01-31,2022-03-31,20017,1351,450,0.07872116433014716,0.2428659678903632,-0.019645418912978243
10,lightgbm,2018-04-30,2022-03-31,2022-04-29,2022-06-30,20156,1365,451,0.07685741574071635,0.2385864792542103,0.04329146807064459
11,lightgbm,2018-07-31,2022-06-30,2022-07-29,2022-09-30,20299,1371,457,0.07664458283269487,0.23796639959919447,-0.0030855785585828612
12,lightgbm,2018-10-31,2022-09-30,2022-10-31,2022-12-30,20448,1384,457,0.07786239288979172,0.23997314534257894,-0.0027513959270109114
13,lightgbm,2019-01-31,2022-12-30,2023-01-31,2023-03-31,20592,1391,463,0.07709128125308952,0.23883441807987674,-0.0065859558069738065
14,lightgbm,2019-04-30,2023-03-31,2023-04-28,2023-06-30,20732,1398,465,0.07810126824085274,0.24143648466860837,0.06497179679934671
15,lightgbm,2019-07-31,2023-06-30,2023-07-31,2023-09-29,20879,1398,467,0.0784965981076803,0.24159089011211046,-0.04727254456824592
16,lightgbm,2019-10-31,2023-09-29,2023-10-31,2023-12-29,21019,1397,465,0.07676643543079203,0.23910356045125794,0.05596459231172856
