fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.07802060206864216,0.24144117425107442,-0.031867837677421934
2,lightgbm,2016-04-29,2020-03-31,2020-04-30,2020-06-30,18961,1297,424,0.0750291186324351,0.23655983035583816,0.05227877753666536
3,lightgbm,2016-07-29,2020-06-30,2020-07-31,2020-09-30,19120,1304,434,0.07507326659170357,0.23602508501125724,-0.023333215145719344
4,lightgbm,2016-10-31,2020-09-30,2020-10-30,2020-12-31,19275,1310,434,0.07666982131545992,0.23941316605279925,-0.050637279171746395
5,lightgbm,2017-01-31,2020-12-31,2021-01-29,2021-03-31,19423,1324,438,0.07601886919826946,0.23773145997085512,0.009590837198313218
6,lightgbm,2017-04-28,2021-03-31,2021-04-30,2021-06-30,19574,1339,444,0.07670051946007053,0.23811821909003958,0.02981082493019313
7,lightgbm,2017-07-31,2021-06-30,2021-07-30,2021-09-30,19727,1343,447,0.07665141260950835,0.23885780649743327,0.0340412489886106
8,lightgbm,2017-10-31,2021-09-30,2021-10-29,2021-12-31,19876,1347,447,0.07879611482698999,0.2424880245469906,-0.04337493331553572
9,lightgbm,2018-01-31,2021-12-31,2022-01-31,2022-03-31,20017,1351,450,0.0787125807695802,0.2428416996549472,-0.021298475907591253
10,lightgbm,2018-04-30,2022-03-31,2022-04-29,2022-06-30,20156,1365,451,0.07691812203611238,0.23863789360242182,0.03316389886030435
11,lightgbm,2018-07-31,2022-06-30,2022-07-29,2022-09-30,20299,1371,457,0.07669255378253353,0.23805811103431265,-0.0156242395004666
12,lightgbm,2018-10-31,2022-09-30,2022-10-31,2022-12-30,20448,1384,457,0.07785506173477383,0.23993498179893769,-0.002282174063003194
13,lightgbm,2019-01-31,2022-12-30,2023-01-31,2023-03-31,20592,1391,463,0.07708734375401637,0.23880624198392666,-0.010298710300405496
14,lightgbm,2019-04-30,2023-03-31,2023-04-28,2023-06-30,20732,1398,465,0.0780607185804303,0.24139771230033977,0.07728165114509385
15,lightgbm,2019-07-31,2023-06-30,2023-07-31,2023-09-29,20879,1398,467,0.07847148893043376,0.24156381348876152,-0.04093389650674114
16,lightgbm,2019-10-31,2023-09-29,2023-10-31,2023-12-29,21019,1397,465,0.07678457423967867,0.23915323931169724,0.05047421205004488
