cost_bps,ending_value,total_return,transaction_cost_paid
5.0,4860560.609265864,3.860560609265864,80930.40651875213
10.0,4687443.669906608,3.6874436699066075,158339.05408240625
25.0,4203916.347705486,3.203916347705486,370779.19992593647
50.0,3505474.956555349,2.5054749565553487,666242.4388044551
