signal_date,execution_date,execution_price_model,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2021-01-29,2021-02-01,close,optimal_target_cardinality,,1.0000000000000002,25,100.00000000000003,500.00000000000006,608.810926277104,1208.810926277104,0.0012088109262771041,0.0008308498385334653,0.04983010560738106,20.068189457175773
2021-02-26,2021-03-01,close,optimal_target_cardinality,,0.21113972279248636,25,23.228218195662027,116.14109097831015,142.49193857800705,281.86124775197925,0.0002562060732123283,0.00045930166670515903,0.04714501254244887,21.211151425606484
2021-03-31,2021-04-01,close,optimal_target_cardinality,,0.03855127224008236,25,4.3686834493388735,21.84341724669437,4.196735963750058,30.4088366597833,2.6834156197627695e-05,2.3748576194210407e-05,0.04619135386098817,21.649073179571168
2021-04-30,2021-05-03,close,optimal_target_cardinality,,0.02755454815526041,25,3.2045257945544505,16.022628972772253,4.2362577847909035,23.463412552117607,2.0175332404960635e-05,5.2416831476761115e-05,0.04562073127201362,21.919859066648886
2021-05-28,2021-06-01,close,optimal_target_cardinality,,0.03576880223615022,25,4.200322106779501,21.001610533897505,5.635275724194159,30.837208364871167,2.6260129091950555e-05,0.00011545279560736862,0.04498638441514358,22.22894800284004
2021-06-30,2021-07-01,close,optimal_target_cardinality,,0.012031151076979687,25,1.4164260712093917,7.082130356046958,1.3502633331768124,9.848819760433162,8.365606993278605e-06,3.29185898958986e-05,0.04475804247989459,22.342353342401026
2021-07-30,2021-08-02,close,optimal_target_cardinality,,0.05281503743661805,25,6.225603776767766,31.12801888383883,10.779461336899365,48.13308399750596,4.083380061472533e-05,8.665969931224231e-05,0.04410715703414709,22.67205749003082
2021-08-31,2021-09-01,close,optimal_target_cardinality,,0.041933365851434035,25,5.0003017500253,25.001508750126494,8.034145275431055,38.03595577558285,3.189758796133476e-05,0.00013103861481387347,0.04334070362105738,23.072998739091606
2021-09-30,2021-10-01,close,optimal_target_cardinality,,0.021243413581113212,25,2.503610243562471,12.518051217812356,1.7851692622593849,16.806830723634214,1.4260784280139605e-05,2.2869448337397126e-05,0.04316206453320778,23.168493231611425
2021-10-29,2021-11-01,close,optimal_target_cardinality,,0.0273831569135367,25,3.2476093462756186,16.23804673137809,2.9611611085466856,22.446817186200395,1.8926682728145846e-05,5.557980913098439e-05,0.04346134923966752,23.00894973337119
2021-11-30,2021-12-01,close,optimal_target_cardinality,,0.08811917445073676,25,9.508086966298036,47.540434831490174,14.419858492475775,71.46838029026398,6.623556024289693e-05,0.00011715165106716659,0.04310374330486786,23.199841204674826
