signal_date,execution_date,execution_price_model,symbol,trade_notional,current_weight,target_weight,commission,slippage,market_impact,total_cost,adv_participation
2021-01-29,2021-02-01,close,UAL,49999.99416234039,0.0,0.04999999416234039,4.999999416234039,24.999997081170193,28.596130119558683,58.59612661696292,8.012543032254787e-05
2021-01-29,2021-02-01,close,AMZN,49999.997083825314,0.0,0.04999999708382531,4.999999708382531,24.999998541912657,2.922465341914951,32.92246359221014,4.191157188559733e-06
2021-01-29,2021-02-01,close,NCLH,49999.95592530981,0.0,0.049999955925309814,4.999995592530981,24.999977962654906,46.42196805620844,76.42194161139433,0.00013214027808021995
2021-01-29,2021-02-01,close,BIO,49999.996990742264,0.0,0.049999996990742264,4.999999699074227,24.999998495371134,39.84545588271754,69.8454540771629,0.0003659272543085233
2021-01-29,2021-02-01,close,AAL,49999.99167857873,0.0,0.04999999167857873,4.999999167857873,24.99999583928936,20.68182125078134,50.681816257928574,4.066518011132622e-05
2021-01-29,2021-02-01,close,RCL,49999.95189538446,0.0,0.04999995189538446,4.999995189538446,24.99997594769223,50.25924128092422,80.2592124181549,0.0001764123235456558
2021-01-29,2021-02-01,close,C,49999.9911177027,0.0,0.0499999911177027,4.99999911177027,24.999995558851353,13.904729159782246,43.90472383040387,4.072775897836553e-05
2021-01-29,2021-02-01,close,FTI,49999.9743623235,0.0,0.0499999743623235,4.999997436232349,24.99998718116175,92.77025191179143,122.77023652918552,0.0004972924347342398
2021-01-29,2021-02-01,close,AVGO,49999.99159748144,0.0,0.04999999159748144,4.999999159748144,24.999995798740724,11.430092938468094,41.43008789695696,7.497300145771022e-05
2021-01-29,2021-02-01,close,ALGN,49999.983941147,0.0,0.049999983941147005,4.999998394114701,24.9999919705735,22.382627927669002,52.38261829235721,0.00018615422461118526
2021-01-29,2021-02-01,close,EXPE,49999.83625476291,0.0,0.04999983625476291,4.999983625476291,24.999918127381452,32.967978511206674,62.96788026406442,0.00011393457753249047
2021-01-29,2021-02-01,close,DRI,100.15232635205962,0.0,0.00010015232635205962,0.010015232635205961,0.05007616317602981,0.004101300408739907,0.06419269621997568,6.267925729846124e-07
2021-01-29,2021-02-01,close,ROL,49999.993479276745,0.0,0.04999999347927674,4.999999347927675,24.999996739638373,57.45606147884423,87.45605756641027,0.0008308497661019509
2021-01-29,2021-02-01,close,NRG,49999.984129706856,0.0,0.049999984129706854,4.999998412970686,24.99999206485343,36.118053775052694,66.11804425287681,0.0005495097787051954
2021-01-29,2021-02-01,close,DIS,49999.973871893184,0.0,0.049999973871893186,4.999997387189318,24.99998693594659,12.814197339767471,42.81418166290338,3.104050535108306e-05
2021-01-29,2021-02-01,close,SLB,100.03645862877589,0.0,0.0001000364586287759,0.010003645862877589,0.050018229314387944,0.003546176241524166,0.0635680514187897,3.126550178426603e-07
2021-01-29,2021-02-01,close,WY,100.03790087588642,0.0,0.00010003790087588643,0.010003790087588641,0.05001895043794321,0.0025881945892747044,0.06261093511480656,8.400479801571877e-07
2021-01-29,2021-02-01,close,CAH,49999.977418649134,0.0,0.04999997741864914,4.999997741864913,24.999988709324565,39.75334259617175,69.75332904736123,0.0005588863715526005
2021-01-29,2021-02-01,close,BSX,49600.58153341053,0.0,0.04960058153341053,4.960058153341053,24.800290766705263,17.315416574241098,47.07576549428741,0.00012298223913311513
2021-01-29,2021-02-01,close,TYL,49999.98222484354,0.0,0.04999998222484354,4.999998222484353,24.999991112421768,23.876445368249545,53.87643470315567,0.00047183486563981284
2021-01-29,2021-02-01,close,EIX,100.10991529978641,0.0,0.0001001099152997864,0.010010991529978641,0.050054957649893206,0.0030201636045404786,0.06308611278441233,1.28229523873569e-06
2021-01-29,2021-02-01,close,KO,49999.42910921199,0.0,0.04999942910921199,4.999942910921199,24.999714554605994,8.387907913933041,38.387565379460234,5.0412976542093545e-05
2021-01-29,2021-02-01,close,TSCO,49900.0824463357,0.0,0.049900082446335696,4.99000824463357,24.95004122316785,25.78028012596634,55.72032959376776,0.0002769914099837093
2021-01-29,2021-02-01,close,NVDA,100.0437886482849,0.0,0.0001000437886482849,0.01000437886482849,0.05002189432414245,0.0005992298685142118,0.06062550305748515,2.3886995441441506e-08
2021-01-29,2021-02-01,close,KR,49999.950387269004,0.0,0.049999950387269,4.9999950387269,24.9999751936345,18.577297699432734,48.57726793179414,0.00010793304342839627
2021-02-26,2021-03-01,close,AAL,-7248.725848640504,0.05652313844128405,0.05000000000171818,0.7248725848640505,3.6243629243202524,1.1029470201217704,5.452182529306073,7.712678854401895e-06
2021-02-26,2021-03-01,close,ALGN,1267.8160974450802,0.04676656830009644,0.047907477763667265,0.12678160974450803,0.6339080487225401,0.09489952900551257,0.8555891874725607,3.345256710309815e-06
2021-02-26,2021-03-01,close,AMZN,8443.406640999498,0.04229604190176137,0.04989427524246902,0.8443406640999498,4.221703320499749,0.16891118358467988,5.234955168184379,6.774849529715021e-07
2021-02-26,2021-03-01,close,AVGO,3177.9379077787908,0.04714016467125288,0.04999999539980406,0.31779379077787906,1.5889689538893954,0.18672412608723218,2.0934868707545067,4.407406326557105e-06
2021-02-26,2021-03-01,close,BIO,-55.055979451373176,0.04536783606566548,0.045318291113437145,0.0055055979451373175,0.027527989725686586,0.0010232707564111739,0.03405685842723508,3.297705613185629e-07
2021-02-26,2021-03-01,close,BSX,945.2936363227534,0.0482402942028428,0.04909096525656053,0.09452936363227533,0.4726468181613767,0.03322162903646812,0.6003978108301201,2.149098228533642e-06
2021-02-26,2021-03-01,close,C,-3873.9087129546842,0.05348613582256656,0.05000000000166457,0.3873908712954684,1.936954356477342,0.25745192849288184,2.5817971562656923,3.935571517116417e-06
2021-02-26,2021-03-01,close,CAH,-145.97540105106012,0.043513862139431224,0.04338249867367044,0.014597540105106012,0.07298770052553005,0.00393517726766557,0.09152041789830163,1.4027802994869928e-06
2021-02-26,2021-03-01,close,DIS,-1391.4678706819,0.05125218386738213,0.050000000001666156,0.13914678706819,0.69573393534095,0.04185987952934467,0.8767406019384846,5.662807474566638e-07
2021-02-26,2021-03-01,close,DRI,0.9758185674554022,0.0001048460606172766,0.00010572420109883506,9.758185674554022e-05,0.00048790928372770113,2.491302576280137e-06,0.0005879824430495215,6.768368487887968e-09
2021-02-26,2021-03-01,close,DXC,45461.22026483382,0.0,0.04091061513586231,4.546122026483382,22.73061013241691,47.02339164773835,74.30012380663864,0.0004946341777637978
2021-02-26,2021-03-01,close,EIX,-94.64624515928314,8.517228721995147e-05,0.0,0.009464624515928314,0.047323122579641566,0.002072326241772155,0.058860073337342035,9.88857357897908e-07
2021-02-26,2021-03-01,close,EXPE,-7692.725974994125,0.05692269477035461,0.05000000000159847,0.7692725974994125,3.8463629874970624,1.0662080799130793,5.681843664909554,1.422787162962662e-05
2021-02-26,2021-03-01,close,FTI,-52718.60782365651,0.04744154826042823,0.0,5.271860782365651,26.359303911828256,59.5500047569976,91.18116945119151,0.0002763010372377387
2021-02-26,2021-03-01,close,HPQ,1285.8488886364626,0.0,0.0011571371973614771,0.12858488886364625,0.6429244443182314,0.07263665324950803,0.8441459864313857,6.1714522468792015e-06
2021-02-26,2021-03-01,close,KMI,55561.6394791431,0.0,0.04999999638828581,5.55616394791431,27.78081973957155,27.009306948611574,60.346290636097436,0.0002956604610743473
2021-02-26,2021-03-01,close,KO,111.42843044337359,0.046256773611070064,0.046357048210091074,0.011142843044337358,0.05571421522168679,0.0008748195860623872,0.06773187785208654,1.6398798953823971e-07
2021-02-26,2021-03-01,close,KR,-15.763713000754072,0.04409691244367276,0.04408272665649131,0.0015763713000754073,0.007881856500377036,0.0001264682564970692,0.009584696056949513,5.8958814006846116e-08
2021-02-26,2021-03-01,close,NCLH,-10987.657131734655,0.059887807885871856,0.05000000000164474,1.0987657131734656,5.493828565867328,2.8647177677549776,9.45731204679577,2.0618877280896024e-05
2021-02-26,2021-03-01,close,NRG,-3655.5736315027893,0.04295090976564244,0.039661253987200835,0.3655573631502789,1.8277868157513946,0.7470385965318198,2.9403827754334935,3.060615015405857e-05
2021-02-26,2021-03-01,close,NVDA,-104.48864870196407,9.402947981180851e-05,0.0,0.010448864870196407,0.05224432435098204,0.0005931570298457879,0.06328634625102424,2.121497671991021e-08
2021-02-26,2021-03-01,close,RCL,-13822.447159598652,0.062438839361627564,0.0500000000016652,1.3822447159598652,6.911223579799326,3.985586162322072,12.279054458081262,3.089663891057773e-05
2021-02-26,2021-03-01,close,ROL,-291.04747909250887,0.04236433157118257,0.04210241754128956,0.029104747909250887,0.14552373954625444,0.023445929296983803,0.19807441675248913,5.680944891451499e-06
2021-02-26,2021-03-01,close,SLB,-1.0413748415134665,0.00011707874388377356,0.00011614160922031441,0.00010413748415134665,0.0005206874207567332,2.7527570766384548e-06,0.0006275776619847183,3.3196554498725194e-09
2021-02-26,2021-03-01,close,TSCO,-2594.5911348293866,0.05233487616046179,0.050000000001538404,0.25945911348293865,1.2972955674146933,0.26619607901769654,1.8229507599153285,1.2486957382825934e-05
2021-02-26,2021-03-01,close,TYL,-467.9088677640237,0.05023450719970163,0.04981343536097321,0.04679088677640237,0.23395443388201184,0.0246104620729183,0.3053557827313325,4.045202854939576e-06
2021-02-26,2021-03-01,close,UAL,-11095.722144606409,0.059985055740792624,0.05000000000167966,1.1095722144606408,5.5478610723032045,2.1115610769185618,8.768994363682408,1.4603378584426155e-05
2021-02-26,2021-03-01,close,WY,1.7879780918299888,9.839124537801142e-05,0.00010000024934139145,0.0001787978091829989,0.0008939890459149943,6.408217086638438e-06,0.0010791950721846318,1.3363161609574214e-08
2021-03-31,2021-04-01,close,AAL,-5291.515310177315,0.054618629742656716,0.05000000015895446,0.5291515310177315,2.6457576550886572,0.6516339075439523,3.826543093650341,4.799214560851837e-06
2021-03-31,2021-04-01,close,ALGN,38.8214404073509,0.04480566912337072,0.04483955390733846,0.00388214404073509,0.01941072020367545,0.0006374833444423308,0.02393034758885287,1.0396534520406421e-07
2021-03-31,2021-04-01,close,AMZN,-783.1491735888696,0.048609758919629265,0.04792619745763506,0.07831491735888696,0.3915745867944348,0.005587544397736128,0.4754770485510579,7.43470856326474e-08
2021-03-31,2021-04-01,close,AVGO,-1020.3471701053074,0.04750239528482923,0.046611798669445474,0.10203471701053074,0.5101735850526538,0.0346357238382011,0.6468440259013857,7.472939327470025e-07
2021-03-31,2021-04-01,close,BIO,-387.1096226225517,0.04266462221671512,0.04232673867100533,0.03871096226225517,0.19355481131127586,0.02350400160708566,0.2557697751806167,3.557894719317239e-06
2021-03-31,2021-04-01,close,BSX,491.60244465162833,0.0472107070650288,0.047639795796931624,0.04916024446516283,0.24580122232581417,0.015502545938966928,0.31046401272994395,1.6392846976690684e-06
2021-03-31,2021-04-01,close,C,-1138.481888744813,0.05099370905064346,0.050000000098927355,0.1138481888744813,0.5692409443724065,0.03803387696666989,0.7211230102135577,9.550020278434913e-07
