fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07547414714460052,0.23674283870282395,0.05796344351649998
2,lightgbm,2016-04-29,2019-03-29,2019-04-30,2019-06-28,13896,1249,418,0.07532739381478619,0.23619326854449088,0.0034540144852555064
3,lightgbm,2016-07-29,2019-06-28,2019-07-31,2019-09-30,14019,1260,416,0.07790398907364238,0.24067822133247282,-0.055542994885622886
4,lightgbm,2016-10-31,2019-09-30,2019-10-31,2019-12-31,14124,1279,422,0.07466332341700385,0.23563483082672124,0.04287120900867852
5,lightgbm,2017-01-31,2019-12-31,2020-01-31,2020-03-31,14238,1283,429,0.07775291354244877,0.24024256837309343,0.03840736962996143
6,lightgbm,2017-04-28,2020-03-31,2020-04-30,2020-06-30,14359,1297,424,0.07502371052260272,0.23615091072562455,0.04785117215340086
7,lightgbm,2017-07-31,2020-06-30,2020-07-31,2020-09-30,14463,1304,434,0.07567502055677122,0.23590743522554553,-0.014268776223986158
8,lightgbm,2017-10-31,2020-09-30,2020-10-30,2020-12-31,14573,1310,434,0.07731200878622985,0.24076921003939278,-0.017326408879535134
9,lightgbm,2018-01-31,2020-12-31,2021-01-29,2021-03-31,14676,1324,438,0.07605599353103353,0.23801746034231955,0.019720201974445805
10,lightgbm,2018-04-30,2021-03-31,2021-04-30,2021-06-30,14783,1339,444,0.07672958910493499,0.238041912063703,0.02795379879287639
11,lightgbm,2018-07-31,2021-06-30,2021-07-30,2021-09-30,14903,1343,447,0.07693503924203832,0.23910650851652335,0.023828492568395712
12,lightgbm,2018-10-31,2021-09-30,2021-10-29,2021-12-31,15024,1347,447,0.07965812086386559,0.2438732029302352,-0.050628659461162656
13,lightgbm,2019-01-31,2021-12-31,2022-01-31,2022-03-31,15134,1351,450,0.07950688595939577,0.24383947953685173,-0.017590634320984944
14,lightgbm,2019-04-30,2022-03-31,2022-04-29,2022-06-30,15235,1365,451,0.07717524649685273,0.2385875966384938,0.0163991644731654
15,lightgbm,2019-07-31,2022-06-30,2022-07-29,2022-09-30,15345,1371,457,0.07681747758625028,0.23800043182496203,-0.0007423335360303332
16,lightgbm,2019-10-31,2022-09-30,2022-10-31,2022-12-30,15456,1384,457,0.07842300414227181,0.24050108256004718,0.011580992055448072
17,lightgbm,2020-01-31,2022-12-30,2023-01-31,2023-03-31,15555,1391,463,0.07771046628437067,0.23938370519094265,-0.0049552397149068275
18,lightgbm,2020-04-30,2023-03-31,2023-04-28,2023-06-30,15661,1398,465,0.07787713528741787,0.240946579162652,0.08617404682513091
19,lightgbm,2020-07-31,2023-06-30,2023-07-31,2023-09-29,15760,1398,467,0.07830176752593813,0.2407844221200142,0.029681674591700475
20,lightgbm,2020-10-30,2023-09-29,2023-10-31,2023-12-29,15856,1397,465,0.07719194481259188,0.23941260533258948,0.02128720094742567
