factor_name,horizon_days,rank_ic
accruals,1,0.020270570587056384
beta_to_spy,1,0.010149842943310597
book_to_market,1,-0.013526792316962022
earnings_yield,1,0.018365490716016317
free_cash_flow_yield,1,0.01915467880182174
max_drawdown_252d,1,-0.008657092851660648
momentum_12_1,1,0.015988718338454458
momentum_3m,1,0.03446086376358516
momentum_6m,1,0.03863045965942029
realized_vol_252d,1,-0.008651324633388021
realized_vol_60d,1,-0.007885987483543317
roe,1,0.00939069352592856
sales_yield,1,0.022013790087104065
accruals,5,0.018441405766164126
beta_to_spy,5,-0.024064551741682327
book_to_market,5,-0.017148901393072978
earnings_yield,5,0.011853545845253433
free_cash_flow_yield,5,0.013424696770832228
max_drawdown_252d,5,0.006405298579020581
momentum_12_1,5,0.008484877781997214
momentum_3m,5,0.025978978183794566
momentum_6m,5,0.015815025931877964
realized_vol_252d,5,-0.016963720630725217
realized_vol_60d,5,-0.02028641689105421
roe,5,-0.010905721439854172
sales_yield,5,0.016724650045585033
accruals,21,0.002045630084476918
beta_to_spy,21,-0.02398050508663772
book_to_market,21,0.016579300188911152
earnings_yield,21,0.027485854353842952
free_cash_flow_yield,21,0.019218034770926144
max_drawdown_252d,21,0.0018022026620657828
momentum_12_1,21,0.021275679099363027
momentum_3m,21,0.013113308165772414
momentum_6m,21,0.023576445501539183
realized_vol_252d,21,-0.01487294227294228
realized_vol_60d,21,-0.01162579044414171
roe,21,-0.01736443450607058
sales_yield,21,0.04650782900076292
accruals,63,0.0024829325928737785
beta_to_spy,63,-0.04178877290746045
book_to_market,63,0.028590671061634557
earnings_yield,63,0.03476611916545574
free_cash_flow_yield,63,0.0368741419170817
max_drawdown_252d,63,0.0037079358654031626
momentum_12_1,63,0.03430093750744836
momentum_3m,63,0.007962357802650121
momentum_6m,63,0.03760275028501251
realized_vol_252d,63,-0.026976352893578668
realized_vol_60d,63,-0.026502485084168772
roe,63,-0.027315539399839876
sales_yield,63,0.0774310332525865
