fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07539997294431451,0.23673128704679827,0.047528899329781174
2,lightgbm,2016-04-29,2019-03-29,2019-04-30,2019-06-28,13896,1249,418,0.07500878763813082,0.23592628424101125,0.008525468481118147
3,lightgbm,2016-07-29,2019-06-28,2019-07-31,2019-09-30,14019,1260,416,0.0774566792268726,0.2400620920460344,-0.05517173489476927
4,lightgbm,2016-10-31,2019-09-30,2019-10-31,2019-12-31,14124,1279,422,0.07454841736039154,0.23542021813232586,0.03845577831348144
5,lightgbm,2017-01-31,2019-12-31,2020-01-31,2020-03-31,14238,1283,429,0.07766119329451741,0.24063165592214136,0.0387875246881207
6,lightgbm,2017-04-28,2020-03-31,2020-04-30,2020-06-30,14359,1297,424,0.07494259755192616,0.23634784631085204,0.05211782788514071
7,lightgbm,2017-07-31,2020-06-30,2020-07-31,2020-09-30,14463,1304,434,0.07558951451566305,0.2362309724674061,-0.03350519737306433
8,lightgbm,2017-10-31,2020-09-30,2020-10-30,2020-12-31,14573,1310,434,0.0768227660666845,0.23985562115649403,-0.015084727029891819
9,lightgbm,2018-01-31,2020-12-31,2021-01-29,2021-03-31,14676,1324,438,0.07605823466837276,0.2378039545021043,-0.0004132503926309525
10,lightgbm,2018-04-30,2021-03-31,2021-04-30,2021-06-30,14783,1339,444,0.07669223583378447,0.2381957605141776,0.01830661784301097
11,lightgbm,2018-07-31,2021-06-30,2021-07-30,2021-09-30,14903,1343,447,0.07687091695211937,0.2391381040788419,0.020634276908364866
12,lightgbm,2018-10-31,2021-09-30,2021-10-29,2021-12-31,15024,1347,447,0.07926753667792295,0.24319021632767218,-0.04392772910186142
13,lightgbm,2019-01-31,2021-12-31,2022-01-31,2022-03-31,15134,1351,450,0.07907191450862605,0.24336696316507592,-0.02015850688398983
14,lightgbm,2019-04-30,2022-03-31,2022-04-29,2022-06-30,15235,1365,451,0.0772039441907608,0.2388557744721476,0.013242705769944667
15,lightgbm,2019-07-31,2022-06-30,2022-07-29,2022-09-30,15345,1371,457,0.07664062998230739,0.23791030709317176,-0.007862775232063421
16,lightgbm,2019-10-31,2022-09-30,2022-10-31,2022-12-30,15456,1384,457,0.07834327120272949,0.2404696878246951,-0.00974682799159844
17,lightgbm,2020-01-31,2022-12-30,2023-01-31,2023-03-31,15555,1391,463,0.07723155911845694,0.23885172763081639,0.0025653213664979923
18,lightgbm,2020-04-30,2023-03-31,2023-04-28,2023-06-30,15661,1398,465,0.07774859289945267,0.2409128608678229,0.10141545264639087
19,lightgbm,2020-07-31,2023-06-30,2023-07-31,2023-09-29,15760,1398,467,0.07850406481758933,0.241424224045387,-0.0039151791563461075
20,lightgbm,2020-10-30,2023-09-29,2023-10-31,2023-12-29,15856,1397,465,0.07696572402043346,0.23921347470733365,0.025503055385941754
