candidate_id,test,setting,status,net_total_return,sharpe_ratio,max_drawdown,sharpe_decline,error,run_id
v1_drawdown_fixed,base,configured,valid,3.298293463612647,1.1312589959614874,-0.3371419391881827,0.0,,
v1_drawdown_fixed,cost_sensitivity,5.0,valid,3.303566087080781,1.1321269041638502,-0.33710024516261394,-0.0007672055696009409,,
v1_drawdown_fixed,cost_sensitivity,10.0,valid,3.2967356813755178,1.1310083146590413,-0.33714542399859593,0.0002215949692696479,,
v1_drawdown_fixed,cost_sensitivity,25.0,valid,3.276308260173229,1.127651447470705,-0.337280960506541,0.003188967781614266,,
v1_drawdown_fixed,cost_sensitivity,50.0,valid,3.242474237212658,1.1220530378411775,-0.3375068546864507,0.0081377988181084,,
v1_drawdown_fixed,top_n_sensitivity,30,valid,3.2571289981979215,1.1230512217227284,-0.3371149902470386,0.007255433342903895,,
v1_drawdown_fixed,top_n_sensitivity,50,valid,3.2970785531325335,1.1314306907967628,-0.33692077952496624,-0.00015177323308667427,,
v1_drawdown_fixed,top_n_sensitivity,100,invalid,,,,,Portfolio optimizer failed on 2016-01-29: Optimizer produced 29 holdings; minimum acceptable is 50.,
v1_drawdown_fixed,rebalance_day_shift,-5,valid,3.4713371169816067,1.141009507975295,-0.32762260459802584,-0.008619168597656542,,20260614T124649Z-backtest-fb6d9632
v1_drawdown_fixed,rebalance_day_shift,5,valid,3.173546206099747,1.063400242815821,-0.3499868203791989,0.059985161123948895,,20260614T125051Z-backtest-542c7518
