fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2017-12-29,2018-01-31,2018-03-29,8884,1211,401,0.07570827373203644,0.23697620302945654,-0.036446458058619714
2,lightgbm,2016-01-29,2018-03-29,2018-04-30,2018-06-29,10091,1216,405,0.07584737243873774,0.23713706600070558,0.0300303300763573
3,lightgbm,2016-01-29,2018-06-29,2018-07-31,2018-09-28,11307,1222,405,0.0763619023832018,0.23730958856929102,0.005065205659934179
4,lightgbm,2016-01-29,2018-09-28,2018-10-31,2018-12-31,12526,1234,408,0.07571416837865705,0.23768533455379695,0.021939832293758045
5,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07573873836900591,0.23701862043868668,0.02288116605899803
6,lightgbm,2016-01-29,2019-03-29,2019-04-30,2019-06-28,14999,1249,418,0.07476776885154597,0.23532670269134207,0.010200940212441835
7,lightgbm,2016-01-29,2019-06-28,2019-07-31,2019-09-30,16250,1260,416,0.077413761363206,0.24011780950823175,-0.013409127688087918
8,lightgbm,2016-01-29,2019-09-30,2019-10-31,2019-12-31,17504,1279,422,0.0738866728860409,0.2344754197046497,0.08841343133682555
9,lightgbm,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.0784090477799594,0.24155583087729685,-0.02877602955155681
10,lightgbm,2016-01-29,2020-03-31,2020-04-30,2020-06-30,20064,1297,424,0.07560313889582913,0.23721747370604818,0.00969759220157222
11,lightgbm,2016-01-29,2020-06-30,2020-07-31,2020-09-30,21351,1304,434,0.07581691540066934,0.2371251408287515,-0.02477435415818763
12,lightgbm,2016-01-29,2020-09-30,2020-10-30,2020-12-31,22655,1310,434,0.07676532722812489,0.23918283586859304,0.013191778326497422
13,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07507632170612834,0.2362207168055103,0.13667195712619246
14,lightgbm,2016-01-29,2021-03-31,2021-04-30,2021-06-30,25279,1339,444,0.07634546674286878,0.23770358573370107,0.0795054617121575
15,lightgbm,2016-01-29,2021-06-30,2021-07-30,2021-09-30,26615,1343,447,0.0769510241219542,0.23942267950417323,0.014078127956074864
16,lightgbm,2016-01-29,2021-09-30,2021-10-29,2021-12-31,27958,1347,447,0.07819275069906179,0.24209770796467173,0.026884023446974298
17,lightgbm,2016-01-29,2021-12-31,2022-01-31,2022-03-31,29302,1351,450,0.07924925459002266,0.24341270227270134,-0.014375639282503702
18,lightgbm,2016-01-29,2022-03-31,2022-04-29,2022-06-30,30652,1365,451,0.07702948847084762,0.2389238233768106,0.013997063123895016
19,lightgbm,2016-01-29,2022-06-30,2022-07-29,2022-09-30,32011,1371,457,0.0774714395269171,0.23873494590774874,-0.0710864254225498
20,lightgbm,2016-01-29,2022-09-30,2022-10-31,2022-12-30,33382,1384,457,0.07741479732311626,0.2391210318757688,0.0800810858732203
21,lightgbm,2016-01-29,2022-12-30,2023-01-31,2023-03-31,34760,1391,463,0.07766302371581515,0.23901081396191728,-0.05130127229465457
22,lightgbm,2016-01-29,2023-03-31,2023-04-28,2023-06-30,36149,1398,465,0.07812643755549495,0.24129362349615294,0.0688002617781244
23,lightgbm,2016-01-29,2023-06-30,2023-07-31,2023-09-29,37545,1398,467,0.07869126057757968,0.2417879094612572,-0.034934932440802216
24,lightgbm,2016-01-29,2023-09-29,2023-10-31,2023-12-29,38945,1397,465,0.07659209784382229,0.2383481180373591,0.09692952452932191
25,lightgbm,2016-01-29,2023-12-29,2024-01-31,2024-03-28,40340,1402,467,0.078080084963464,0.24169668393860544,-0.029598451579453063
26,lightgbm,2016-01-29,2024-03-28,2024-04-30,2024-06-28,41741,1402,468,0.07872119915333851,0.24170973270727697,0.02403052851069639
27,lightgbm,2016-01-29,2024-06-28,2024-07-31,2024-09-30,43143,1408,468,0.07709742141160612,0.23899825430290617,0.007148488153434358
28,lightgbm,2016-01-29,2024-09-30,2024-10-31,2024-12-31,44550,1410,469,0.07938678862899566,0.24284475530270186,0.014006744671851189
29,lightgbm,2016-01-29,2024-12-31,2025-01-31,2025-03-31,45957,1418,472,0.07770008800700007,0.24027608300884984,-0.026315427188630374
30,lightgbm,2016-01-29,2025-03-31,2025-04-30,2025-06-30,47374,1420,473,0.07915900029903701,0.24314823660116117,0.04563263347196826
31,lightgbm,2016-01-29,2025-06-30,2025-07-31,2025-09-30,48793,1423,474,0.07656603407596432,0.2390102778062844,0.07255401501830792
32,lightgbm,2016-01-29,2025-09-30,2025-10-31,2025-12-31,50216,1423,474,0.07846275709409614,0.24067169144044495,-0.016777207986175983
33,lightgbm,2016-01-29,2025-12-31,2026-01-30,2026-03-31,51638,1429,475,0.07903180964601669,0.24349628590909694,0.014634198317040117
34,lightgbm,2016-01-29,2026-03-31,2026-04-30,2026-04-30,53065,478,477,0.07837715136176762,0.2411362988755721,0.11449297186080949
