factor_name,quantile,forward_return
accruals,1,0.013218733502917275
accruals,2,0.012061539708808194
accruals,3,0.009524629148978522
accruals,4,0.008421766230822575
accruals,5,0.012235753395102203
beta_to_spy,1,0.018835356302130152
beta_to_spy,2,0.011958246977966519
beta_to_spy,3,0.010149956120907886
beta_to_spy,4,0.006030965684025075
beta_to_spy,5,0.008111684691442906
book_to_market,1,0.007701823210249939
book_to_market,2,0.010277578224293508
book_to_market,3,0.010782793494767262
book_to_market,4,0.012074002471196187
book_to_market,5,0.014192467855223758
earnings_yield,1,0.008609231349390156
earnings_yield,2,0.00882996810380725
earnings_yield,3,0.012274363608069704
earnings_yield,4,0.010877187028629727
earnings_yield,5,0.014607081137655758
free_cash_flow_yield,1,0.011114283040224318
free_cash_flow_yield,2,0.010802268044711702
free_cash_flow_yield,3,0.010076851147738788
free_cash_flow_yield,4,0.010856797758468215
free_cash_flow_yield,5,0.012548856721539355
max_drawdown_252d,1,0.0080765071830659
max_drawdown_252d,2,0.007942738569848428
max_drawdown_252d,3,0.00898360663439783
max_drawdown_252d,4,0.014278850748914565
max_drawdown_252d,5,0.01580509353606661
momentum_12_1,1,0.011633369119741962
momentum_12_1,2,0.010292657251332955
momentum_12_1,3,0.00827483357096404
momentum_12_1,4,0.009249461199913569
momentum_12_1,5,0.015638396220059064
momentum_3m,1,0.007113400875874028
momentum_3m,2,0.007986578398466053
momentum_3m,3,0.010711923887139407
momentum_3m,4,0.013721339617733197
momentum_3m,5,0.015574662823105203
momentum_6m,1,0.009467089852691143
momentum_6m,2,0.011745941287221022
momentum_6m,3,0.00576497069134372
momentum_6m,4,0.011788204176220623
momentum_6m,5,0.016332827182132678
realized_vol_252d,1,0.017336658464410206
realized_vol_252d,2,0.014302552206961838
realized_vol_252d,3,0.010055574370278668
realized_vol_252d,4,0.005768875690958787
realized_vol_252d,5,0.007639343559540559
realized_vol_60d,1,0.01945284436964396
realized_vol_60d,2,0.01241297266196089
realized_vol_60d,3,0.007814801303260472
realized_vol_60d,4,0.0063519876748688526
realized_vol_60d,5,0.009046961863893274
roe,1,0.013766310758987136
roe,2,0.013727210492214465
roe,3,0.0080275495635069
roe,4,0.007628792073057478
roe,5,0.012028372936600723
sales_yield,1,0.004416041828331106
sales_yield,2,0.008443599979825786
sales_yield,3,0.014875304971864232
sales_yield,4,0.011985556642675992
sales_yield,5,0.015509404678751242
