factor_name,horizon_days,rank_ic
accruals,1,0.010059211561090584
beta_to_spy,1,-0.0039053569890943646
book_to_market,1,-0.009852470583359396
debt_to_equity,1,0.02468433333768104
earnings_yield,1,-0.014461706640089698
free_cash_flow_yield,1,-0.008318154374524954
gross_margin,1,0.008584964119727858
max_drawdown_252d,1,-0.006229356073849975
momentum_12_1,1,0.029222618333598516
momentum_3m,1,-0.0010180597415857294
momentum_6m,1,0.01606227353729921
operating_margin,1,0.005671003553062192
realized_vol_252d,1,0.005648611338078115
realized_vol_60d,1,0.0007470698551857994
roe,1,-0.02750772229519553
sales_yield,1,-0.011572224720739854
accruals,5,0.01702103685869792
beta_to_spy,5,-0.07293070339678133
book_to_market,5,-0.03135964794815318
debt_to_equity,5,0.007706496517006049
earnings_yield,5,-0.011032221067343926
free_cash_flow_yield,5,-0.006579317883299019
gross_margin,5,-0.02304963094731563
max_drawdown_252d,5,0.020222262853459502
momentum_12_1,5,0.04050184569612254
momentum_3m,5,0.030392574975272476
momentum_6m,5,0.03525947436642098
operating_margin,5,0.015746875665516722
realized_vol_252d,5,-0.05041525692344789
realized_vol_60d,5,-0.04330603514715605
roe,5,0.017239318644244533
sales_yield,5,-0.01585958639032477
accruals,21,-0.006535067556982404
beta_to_spy,21,-0.06345411097505955
book_to_market,21,-0.006978404286921405
debt_to_equity,21,-0.025858018475965836
earnings_yield,21,0.027418348364066314
free_cash_flow_yield,21,0.02900896848149348
gross_margin,21,-0.035582940608210156
max_drawdown_252d,21,0.029396676337537703
momentum_12_1,21,0.02301113951211162
momentum_3m,21,0.02288467915777733
momentum_6m,21,0.025847365938677466
operating_margin,21,0.03889481339847355
realized_vol_252d,21,-0.038855825145556064
realized_vol_60d,21,-0.03393015124485886
roe,21,0.038774390964795465
sales_yield,21,0.01979533637021384
accruals,63,0.002859828058407838
beta_to_spy,63,-0.09591940382122462
book_to_market,63,0.009867769652049165
debt_to_equity,63,-0.02840985182893314
earnings_yield,63,0.036880549911987796
free_cash_flow_yield,63,0.03936979663339831
gross_margin,63,-0.04050499330096587
max_drawdown_252d,63,0.05066625765138105
momentum_12_1,63,0.016079423998451983
momentum_3m,63,0.028452147077067506
momentum_6m,63,0.03831636707414554
operating_margin,63,0.027213209773837354
realized_vol_252d,63,-0.06520956658897865
realized_vol_60d,63,-0.04971556969639583
roe,63,0.03208363014970058
sales_yield,63,0.0371917513399075
