fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07555827175810104,0.23701636282483676,0.08253853846701228
2,lightgbm,2016-04-29,2021-03-31,2021-04-30,2021-06-30,24176,1339,444,0.07680389795305115,0.23836233122199044,0.018887893546477474
3,lightgbm,2016-07-29,2021-06-30,2021-07-30,2021-09-30,24384,1343,447,0.07665434760537192,0.23882667181113182,0.04259451295413487
4,lightgbm,2016-10-31,2021-09-30,2021-10-29,2021-12-31,24578,1347,447,0.07892915615983111,0.2429783897025614,-0.045257356075769826
5,lightgbm,2017-01-31,2021-12-31,2022-01-31,2022-03-31,24764,1351,450,0.07882943361211,0.24293539587764795,-0.015299658583345904
6,lightgbm,2017-04-28,2022-03-31,2022-04-29,2022-06-30,24947,1365,451,0.07681840127005177,0.23844116251650413,0.05006967376869229
7,lightgbm,2017-07-31,2022-06-30,2022-07-29,2022-09-30,25123,1371,457,0.07657984911272381,0.23777442383469963,0.02291117055437417
8,lightgbm,2017-10-31,2022-09-30,2022-10-31,2022-12-30,25300,1384,457,0.07806023611675356,0.24017179273764064,-0.026877942253934778
9,lightgbm,2018-01-31,2022-12-30,2023-01-31,2023-03-31,25475,1391,463,0.07690202119089026,0.23839931470745224,0.02636435957126415
10,lightgbm,2018-04-30,2023-03-31,2023-04-28,2023-06-30,25653,1398,465,0.07816421478074938,0.24141294262591634,0.06594497751924124
11,lightgbm,2018-07-31,2023-06-30,2023-07-31,2023-09-29,25833,1398,467,0.07809986948627123,0.2409851497477342,0.014411546313980285
12,lightgbm,2018-10-31,2023-09-29,2023-10-31,2023-12-29,26011,1397,465,0.07673381007942913,0.2388514957408114,0.07046201776904833
