delisting_return,ending_value,total_return,delisting_liquidations,validation_status
0.0,1467820.7214143758,0.4678207214143759,0,not_observed
-0.3,1467820.7214143758,0.4678207214143759,0,not_observed
-1.0,1467820.7214143758,0.4678207214143759,0,not_observed
