cost_bps,ending_value,total_return,transaction_cost_paid
5.0,7326689.642934309,6.326689642934309,8009.557351794075
10.0,7304544.750211206,6.304544750211206,15986.858064374976
25.0,7238496.426581642,6.238496426581642,39726.29344792638
50.0,7129692.861080819,6.129692861080819,78656.85276534842
