month,portfolio_return,benchmark_return
2016-01,0.0,-0.05073532204695208
2016-02,-0.0066840296048915615,-0.004128360309003876
2016-03,0.04747051172916428,0.06599111444005867
2016-04,-0.007469426937892876,0.0026993982833325436
2016-05,0.005372183575401257,0.015324602525288666
2016-06,0.01338488430797491,0.0009109212401239297
2016-07,0.02545108498141868,0.035609800753315435
2016-08,0.024225546132131237,-0.0012192428990192017
2016-09,-0.0031419945018374973,-0.00123445113931675
2016-10,-0.028478875440002827,-0.019425678909034683
2016-11,0.008438368152888565,0.03417452182929526
2016-12,0.011339741307094808,0.01820076244186586
2017-01,0.02524244078551119,0.01788435819838252
2017-02,0.04251929014798561,0.037198160066815866
2017-03,0.013977285979032139,-0.0003891971352694146
2017-04,0.021123925966799684,0.009091208748855273
2017-05,0.02977454866408502,0.011576251246327995
2017-06,0.016218676955140898,0.004813775207812565
2017-07,0.02180046451893891,0.019348826001101882
2017-08,-0.0005333569613122924,0.000546433019853465
2017-09,0.036063775411865784,0.019302978562167672
2017-10,0.03153880771986639,0.02218813506615147
2017-11,0.032404218355980285,0.028082627806563787
2017-12,0.0027102540876762227,0.009831630594270946
2018-01,0.07012686437245352,0.05617870412552772
2018-02,-0.01613617613073448,-0.03894737187936814
2018-03,-0.004373149407908117,-0.02688449860055686
2018-04,0.01781431247469789,0.0027187749953683227
2018-05,0.02947397723121381,0.02160834185458338
2018-06,-0.0015327427396727433,0.00484243626760783
2018-07,0.04516424339776326,0.03602155617289937
2018-08,0.03982673926681879,0.030263211276748248
2018-09,-0.008111932869334648,0.0042942874264615405
2018-10,-0.0805852002418902,-0.0694033560936963
2018-11,0.021712230460635862,0.01785935665478
2018-12,-0.06902452181982377,-0.09177689467997241
2019-01,0.07749751875051936,0.0786844016658268
2019-02,0.027043611491384567,0.029728889343926923
2019-03,0.02632711701397583,0.01792425624958849
2019-04,0.025888274763790076,0.03931349831373776
2019-05,-0.05924299410759093,-0.06577773136683507
2019-06,0.07881857065640219,0.06893016399824159
2019-07,0.04213699761693479,0.013128152166958396
2019-08,0.012133796284420573,-0.018091627240524266
2019-09,0.010580844662477107,0.017181177931020475
2019-10,0.0355420982379111,0.020431770513684278
2019-11,0.01126861668958723,0.034047037714499906
2019-12,0.015253240899813392,0.028589818905729647
2020-01,0.008943521410705202,-0.0016280928190488542
2020-02,-0.07039151858078818,-0.08411048363840323
2020-03,-0.12330003193142525,-0.12511928240892844
2020-04,0.11024248406898773,0.12684403816527867
2020-05,0.07627682284227433,0.045281819665558665
2020-06,0.01586474888671563,0.018388396513924432
2020-07,0.07409406192437973,0.05510132148044411
2020-08,0.05973342651724822,0.07006466690171753
2020-09,-0.03191017995838541,-0.03922797017842261
2020-10,-0.0289844785512009,-0.027665786221379718
2020-11,0.12409408813835188,0.10754563544385931
2020-12,0.029615425022803565,0.03712145909357023
2021-01,-0.018139564420078802,-0.01113666075544506
2021-02,0.058919393725355595,0.026091451377448394
2021-03,0.039095196509467245,0.042438632533165155
2021-04,0.07566381445307835,0.052425321347558285
2021-05,5.176620243441121e-05,0.00548648867060697
2021-06,0.01408326467294252,0.02221400956583497
2021-07,0.012070225333802753,0.02274805482838871
2021-08,0.02476294979025484,0.028990416255438856
2021-09,-0.03706276751528703,-0.04756916880190076
2021-10,0.07763323527460475,0.06914383640060695
2021-11,0.010056925428648,-0.008333706184746159
2021-12,0.06738404229014106,0.04361291346206464
2022-01,-0.06686416669667139,-0.0525851650273933
2022-02,-0.02665801011387592,-0.031360491945908286
2022-03,0.03540145040008191,0.035773288371546474
2022-04,-0.09294420771104428,-0.08795671180434295
2022-05,0.008091067989087763,5.317770464441374e-05
2022-06,-0.09711955137758643,-0.08391999993382704
2022-07,0.096745633072707,0.09111639173021024
2022-08,-0.03757015810820852,-0.04244012827299792
2022-09,-0.09326641364046173,-0.09339567201327492
2022-10,0.09185084092769014,0.0798634138370089
2022-11,0.08961601620772774,0.05375289335249267
2022-12,-0.04739260390664335,-0.05897147407473069
2023-01,0.06742112002548195,0.061752857834678654
2023-02,-0.012878389916421207,-0.026112493931818803
2023-03,0.05048593261516654,0.035051612577109204
2023-04,0.003010401844581345,0.014642341662481462
2023-05,0.03602234590915643,0.002482347368193194
2023-06,0.06900333192404817,0.06472746490423376
2023-07,0.03884128635337203,0.031138932355011084
2023-08,0.008644571835822568,-0.017716390070854127
2023-09,-0.046421279106081736,-0.04871936746562466
2023-10,-0.020735513510991677,-0.02197968873798295
2023-11,0.10562006455443651,0.08917926878196969
2023-12,0.056558725816840516,0.04422923115635968
2024-01,0.035245326164570656,0.01589570759899117
2024-02,0.061172839120115174,0.0517206406237225
2024-03,0.05004381948907555,0.031018779915342964
2024-04,-0.048668963445796964,-0.04161507173789902
2024-05,0.04212935058444045,0.0480211901511991
2024-06,0.04003992008907731,0.03466980128308306
2024-07,0.008273635175253702,0.011321316887868083
2024-08,0.022843575057437393,0.02283470693663059
2024-09,0.02343397461433483,0.02019688409060083
2024-10,-0.0057807519779167205,-0.00989674330315149
