date,hhi,effective_holdings,largest_weight,top_10_weight
2023-02-01,0.13779998500167318,7.25689483919652,0.15000000013191328,1.0
2023-02-02,0.1381822523467048,7.23681936730167,0.15571334977360535,0.9999999999999999
2023-02-03,0.1383763067494006,7.226670688725631,0.1589316135251578,1.0
2023-02-06,0.13832207588988443,7.2295039932460305,0.15650522965197647,0.9999999999999999
2023-02-07,0.13867698737100081,7.211001759972709,0.1572713192937151,1.0
2023-02-08,0.13869439597125446,7.210096651686332,0.1567629303670448,0.9999999999999999
2023-02-09,0.1385349955650115,7.218392695084193,0.15579074872542722,1.0
2023-02-10,0.13827447005133212,7.231993003688725,0.15519661171645927,1.0
2023-02-13,0.13834816391945656,7.228140740502919,0.15798315256411172,1.0
2023-02-14,0.13842427321052309,7.224166519401884,0.15918966800315898,1.0
2023-02-15,0.1384226851242179,7.224249400324946,0.1578666066944797,0.9999999999999999
2023-02-16,0.13829716796238467,7.230806058674963,0.1592206724317764,1.0
2023-02-17,0.13784318105203508,7.254620739073812,0.15830566963768722,1.0
2023-02-21,0.13768747049106417,7.262824979161044,0.15739038852501713,1.0000000000000002
2023-02-22,0.13784971586926983,7.254276831069807,0.1582994991362149,1.0
2023-02-23,0.137874870157075,7.252953339943256,0.15880104302539547,1.0
2023-02-24,0.13761945118132018,7.266414677692998,0.15835729300211843,1.0
2023-02-27,0.13780826422194467,7.256458860765183,0.1591822559816931,0.9999999999999998
2023-02-28,0.13786064380412352,7.253701799193899,0.1596007696252431,1.0
2023-03-01,0.1353569232790887,7.387874781536868,0.15000000173211814,1.0
2023-03-02,0.13558275466373024,7.375569278557446,0.15157745611309517,1.0000000000000002
2023-03-03,0.13596864094062966,7.354637018374312,0.15192481394083387,1.0000000000000002
2023-03-06,0.135839180604071,7.361646290510905,0.15410594249030468,1.0
2023-03-07,0.1357590952563241,7.365988982999036,0.15470078338731297,1.0000000000000002
2023-03-08,0.13609716249216386,7.347691764386179,0.15578652344024257,1.0
2023-03-09,0.13591091341793665,7.357760865935188,0.1557342827642933,1.0000000000000002
2023-03-10,0.13550002251197193,7.380072574612645,0.15654625705717945,1.0000000000000002
2023-03-13,0.13577177425944068,7.365301112506207,0.157587032208605,1.0
2023-03-14,0.13603775842481283,7.350900305761017,0.15950400632337203,1.0
2023-03-15,0.13623871231049048,7.340057631497441,0.16253846873446254,1.0
2023-03-16,0.13686922379465247,7.306244400861944,0.1668857708168646,1.0
2023-03-17,0.1371901996793593,7.2891504082448915,0.1699416833878704,1.0000000000000002
