factor,accruals,beta_to_spy,book_to_market,debt_to_equity,earnings_yield,free_cash_flow_yield,gross_margin,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,operating_margin,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.018491662536289824,0.01626438198689339,-0.0029274853966505788,0.1421301381731367,0.22550537410665447,-0.09547740921133163,-0.04926350616781545,-0.045018353143292306,-0.05651311983805157,-0.08031251538876699,0.15380825398992828,0.05538852226411954,0.024487332209437572,0.25491427825670604,0.0951134057592423
beta_to_spy,0.018491662536289824,1.0,0.0036763716894562238,0.14774753667285387,-0.08703493156546424,-0.11258061555992659,-0.035554793741549025,-0.5067393177106086,-0.30263613739433615,-0.1868180485586285,-0.21323749928179564,-0.326815134851827,0.7346388163950319,0.5894476213430427,-0.26018494223168975,0.016306854703860618
book_to_market,0.01626438198689339,0.0036763716894562238,1.0,0.16877197965482507,0.8830192479139787,0.8302800315684,0.09367726663406283,0.004459348236176265,-0.2620864654844508,-0.08197612234029672,-0.1457926152742748,-0.04144497977720953,0.18995928640570608,0.21438323370228982,-0.172796266478478,0.9251827624534926
debt_to_equity,-0.0029274853966505788,0.14774753667285387,0.16877197965482507,1.0,0.0029077025150723084,-0.005581260462334181,0.0036260656921999314,-0.00015274721728608052,-0.13026624921721308,-0.04548232645601286,-0.07723132396040956,-0.059463269932203015,0.11978801874805757,0.08658821919701543,-0.45993325201393764,0.004540416375383194
earnings_yield,0.1421301381731367,-0.08703493156546424,0.8830192479139787,0.0029077025150723084,1.0,0.9764511587823687,0.12950495177305651,0.09247745337925545,-0.21373984978181187,-0.08941643283026546,-0.12997666180086517,0.1949780890203747,0.08445910383785042,0.11494724292324567,0.14820726554070812,0.9458193439196706
free_cash_flow_yield,0.22550537410665447,-0.11258061555992659,0.8302800315684,-0.005581260462334181,0.9764511587823687,1.0,0.1301791816250386,0.09212669924459835,-0.16915457155834707,-0.08291394636138319,-0.10262951478765302,0.25497915624744055,0.03710473133081345,0.07388289953636665,0.20996954199275092,0.8997311055261504
gross_margin,-0.09547740921133163,-0.035554793741549025,0.09367726663406283,0.0036260656921999314,0.12950495177305651,0.1301791816250386,1.0,-0.010028788654771385,-0.017302171001688325,0.013131753529957407,-0.025279007182752507,0.02795060769321537,-0.035007708673933075,0.03502854377196951,0.01883643923109483,0.09455930632667144
max_drawdown_252d,-0.04926350616781545,-0.5067393177106086,0.004459348236176265,-0.00015274721728608052,0.09247745337925545,0.09212669924459835,-0.010028788654771385,1.0,-0.11436239586934416,0.0025807138372858783,-0.05240517056221786,0.21032295836475248,-0.6083994928971829,-0.5567159038860662,0.12135291140973978,0.006578960044532634
momentum_12_1,-0.045018353143292306,-0.30263613739433615,-0.2620864654844508,-0.13026624921721308,-0.21373984978181187,-0.16915457155834707,-0.017302171001688325,-0.11436239586934416,1.0,0.3341493843666169,0.5965711789872783,0.24531829985259718,-0.37146390991428774,-0.2976608098470515,0.2508182632447716,-0.2955045949551037
momentum_3m,-0.05651311983805157,-0.1868180485586285,-0.08197612234029672,-0.04548232645601286,-0.08941643283026546,-0.08291394636138319,0.013131753529957407,0.0025807138372858783,0.3341493843666169,1.0,0.6486385445910792,0.12574321430773908,-0.2530087172402561,-0.16874138820335458,0.09835497047413545,-0.12110694232281098
momentum_6m,-0.08031251538876699,-0.21323749928179564,-0.1457926152742748,-0.07723132396040956,-0.12997666180086517,-0.10262951478765302,-0.025279007182752507,-0.05240517056221786,0.5965711789872783,0.6486385445910792,1.0,0.1956781427084051,-0.3307519417230947,-0.23676620539983098,0.15474506814695757,-0.18991617163358387
operating_margin,0.15380825398992828,-0.326815134851827,-0.04144497977720953,-0.059463269932203015,0.1949780890203747,0.25497915624744055,0.02795060769321537,0.21032295836475248,0.24531829985259718,0.12574321430773908,0.1956781427084051,1.0,-0.32809790388130744,-0.24996284468588847,0.7081461690593236,-0.02023572325016108
realized_vol_252d,0.05538852226411954,0.7346388163950319,0.18995928640570608,0.11978801874805757,0.08445910383785042,0.03710473133081345,-0.035007708673933075,-0.6083994928971829,-0.37146390991428774,-0.2530087172402561,-0.3307519417230947,-0.32809790388130744,1.0,0.8138612079778272,-0.2672110487533039,0.21189773903937473
realized_vol_60d,0.024487332209437572,0.5894476213430427,0.21438323370228982,0.08658821919701543,0.11494724292324567,0.07388289953636665,0.03502854377196951,-0.5567159038860662,-0.2976608098470515,-0.16874138820335458,-0.23676620539983098,-0.24996284468588847,0.8138612079778272,1.0,-0.21091430387516263,0.2232167498098022
roe,0.25491427825670604,-0.26018494223168975,-0.172796266478478,-0.45993325201393764,0.14820726554070812,0.20996954199275092,0.01883643923109483,0.12135291140973978,0.2508182632447716,0.09835497047413545,0.15474506814695757,0.7081461690593236,-0.2672110487533039,-0.21091430387516263,1.0,-0.023940305111098705
sales_yield,0.0951134057592423,0.016306854703860618,0.9251827624534926,0.004540416375383194,0.9458193439196706,0.8997311055261504,0.09455930632667144,0.006578960044532634,-0.2955045949551037,-0.12110694232281098,-0.18991617163358387,-0.02023572325016108,0.21189773903937473,0.2232167498098022,-0.023940305111098705,1.0
