fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.0784657314826772,0.24155966320883562,-0.00859751291409661
2,lightgbm,2016-04-29,2020-03-31,2020-04-30,2020-06-30,18961,1297,424,0.07478411182995474,0.23586343168589058,0.05026175581554294
3,lightgbm,2016-07-29,2020-06-30,2020-07-31,2020-09-30,19120,1304,434,0.07547500528501933,0.23598901933801905,0.018385235537604034
4,lightgbm,2016-10-31,2020-09-30,2020-10-30,2020-12-31,19275,1310,434,0.07749829040456226,0.24055359863814677,-0.021079881842889787
5,lightgbm,2017-01-31,2020-12-31,2021-01-29,2021-03-31,19423,1324,438,0.07583416107253561,0.23768177765838927,0.03597809264266116
6,lightgbm,2017-04-28,2021-03-31,2021-04-30,2021-06-30,19574,1339,444,0.07620353059266154,0.23700605166660896,0.07966976513069607
7,lightgbm,2017-07-31,2021-06-30,2021-07-30,2021-09-30,19727,1343,447,0.07706244778288594,0.23943188845113844,0.018336058038631857
8,lightgbm,2017-10-31,2021-09-30,2021-10-29,2021-12-31,19876,1347,447,0.07940809701170305,0.24368172181011685,-0.026567559564573223
9,lightgbm,2018-01-31,2021-12-31,2022-01-31,2022-03-31,20017,1351,450,0.07958113740319,0.2436450989641465,-0.06065849918110722
10,lightgbm,2018-04-30,2022-03-31,2022-04-29,2022-06-30,20156,1365,451,0.07722050022630866,0.2390488730499453,0.0033747966492430745
11,lightgbm,2018-07-31,2022-06-30,2022-07-29,2022-09-30,20299,1371,457,0.07684961493507492,0.23814672990530922,0.023770271024641413
12,lightgbm,2018-10-31,2022-09-30,2022-10-31,2022-12-30,20448,1384,457,0.07788745858665308,0.23987425814230395,0.03975561372065092
13,lightgbm,2019-01-31,2022-12-30,2023-01-31,2023-03-31,20592,1391,463,0.07753535284186452,0.23906286269990135,0.0010574818739461924
14,lightgbm,2019-04-30,2023-03-31,2023-04-28,2023-06-30,20732,1398,465,0.07819950225839226,0.241455591045786,0.05096838331601802
15,lightgbm,2019-07-31,2023-06-30,2023-07-31,2023-09-29,20879,1398,467,0.0784923236142014,0.24111406943775227,0.009261740750151279
16,lightgbm,2019-10-31,2023-09-29,2023-10-31,2023-12-29,21019,1397,465,0.07744165696027329,0.23960431427455875,0.01236861956314915
