signal_date,execution_date,symbol,trade_notional,current_weight,target_weight,commission,slippage,market_impact,total_cost,adv_participation
2016-01-29,2016-02-01,COR,50000.00028762593,0.0,0.05000000028762593,5.000000028762593,25.000000143812965,13.975149413823532,43.97514958639909,0.00023560311044012154
2016-01-29,2016-02-01,WU,50000.00018824743,0.0,0.050000000188247434,5.0000000188247435,25.000000094123713,43.33945286669145,73.3394529796399,0.0010440300882340102
2016-01-29,2016-02-01,CLX,50000.00014652392,0.0,0.05000000014652392,5.000000014652392,25.000000073261962,17.096280279704125,47.096280367618476,0.00041127496263938167
2016-01-29,2016-02-01,KMB,50000.00009483886,0.0,0.05000000009483886,5.000000009483887,25.00000004741943,14.448658204111682,44.448658261015,0.00021600222286920632
2016-01-29,2016-02-01,AMZN,50000.00006514808,0.0,0.05000000006514808,5.000000006514808,25.00000003257404,6.92888630634683,36.92888634543568,1.2355914308360897e-05
2016-01-29,2016-02-01,ISRG,50000.00003929649,0.0,0.050000000039296486,5.000000003929649,25.000000019648244,12.5947736607363,42.59477368431419,0.0001812400069226244
2016-01-29,2016-02-01,VLO,49999.999942065,0.0,0.049999999942065,4.9999999942065,24.999999971032498,23.540078949524773,53.54007891476377,0.00014075233633643744
2016-01-29,2016-02-01,HRB,49999.999739340776,0.0,0.04999999973934077,4.999999973934077,24.999999869670386,39.138777262739715,69.13877710634418,0.0009241221871327107
2016-01-29,2016-02-01,CTAS,49999.9993932394,0.0,0.0499999993932394,4.99999993932394,24.9999996966197,31.951481352186374,61.951480988130015,0.0009014049979708251
2016-01-29,2016-02-01,BKNG,49999.999422874724,0.0,0.049999999422874725,4.999999942287473,24.99999971143736,11.849861277113595,41.84986093083843,5.410088794260965e-05
2016-01-29,2016-02-01,CL,49999.99908947097,0.0,0.04999999908947097,4.999999908947097,24.999999544735484,14.995288420301977,44.99528787398456,0.000213193112773373
2016-01-29,2016-02-01,BALL,49999.99779043879,0.0,0.049999997790438795,4.999999779043879,24.999998895219395,28.58459856247886,58.584597236742134,0.00045785720113405157
2016-01-29,2016-02-01,PSX,49999.99758254936,0.0,0.04999999758254936,4.999999758254936,24.999998791274678,22.724523917246664,52.72452246677628,0.0002005510083320258
2016-01-29,2016-02-01,PBI,49999.99765252361,0.0,0.04999999765252361,4.999999765252361,24.99999882626181,55.53745644024084,85.537455031755,0.0022397637084218694
2016-01-29,2016-02-01,UPS,49999.99757833256,0.0,0.04999999757833256,4.999999757833256,24.999998789166277,13.091089929334814,43.09108847633435,0.0002293147180764624
2016-01-29,2016-02-01,CME,49999.99624856546,0.0,0.04999999624856546,4.999999624856546,24.999998124282733,25.794771714641815,55.794769463781094,0.0004091079911204202
2016-01-29,2016-02-01,MA,49999.99071895144,0.0,0.04999999071895144,4.999999071895144,24.999995359475722,12.444051858726112,42.44404629009698,8.958096098567586e-05
2016-01-29,2016-02-01,SHW,49999.990905173516,0.0,0.049999990905173514,4.999999090517352,24.99999545258676,15.853418151273475,45.85341269437759,0.000206387602678105
2016-01-29,2016-02-01,NEE,49999.98546999219,0.0,0.049999985469992195,4.999998546999219,24.999992734996095,14.484799637350493,44.484790919345805,0.0002091012959349073
2016-01-29,2016-02-01,ICE,49999.206362750905,0.0,0.0499992063627509,4.999920636275091,24.999603181375452,16.38888869249525,46.38841251014579,0.00019084241399668788
2016-01-29,2016-02-01,AFL,0.057081284319807406,0.0,5.7081284319807405e-08,5.70812843198074e-06,2.85406421599037e-05,2.6437362791825715e-08,3.4275207954676265e-05,5.06566840960972e-10
2016-01-29,2016-02-01,MPC,0.012595615072030658,0.0,1.2595615072030658e-08,1.2595615072030658e-06,6.297807536015329e-06,4.266674708722178e-09,7.561635717927117e-06,5.922914731602904e-11
2016-01-29,2016-02-01,F,0.011080349856680964,0.0,1.1080349856680965e-08,1.1080349856680964e-06,5.540174928340482e-06,1.5044110191693948e-09,6.649714325027748e-06,2.8493431551410703e-11
2016-01-29,2016-02-01,NDAQ,0.010020769009043081,0.0,1.0020769009043081e-08,1.002076900904308e-06,5.010384504521541e-06,3.3961155681608656e-09,6.0158575209940105e-06,1.4385564793457325e-10
2016-01-29,2016-02-01,T,0.0100014211886907,0.0,1.00014211886907e-08,1.00014211886907e-06,5.00071059434535e-06,6.739519236627315e-10,6.001526665138083e-06,1.7008073589346147e-11
2016-01-29,2016-02-01,GILD,0.010017999012421924,0.0,1.0017999012421924e-08,1.0017999012421924e-06,5.008999506210962e-06,9.45561953542863e-10,6.011744969406698e-06,1.1415652320742057e-11
2016-01-29,2016-02-01,NEM,0.010022583153768565,0.0,1.0022583153768566e-08,1.0022583153768566e-06,5.0112915768842835e-06,4.7651272348808465e-09,6.018315019496022e-06,8.055128115582642e-11
2016-01-29,2016-02-01,EFX,0.010023862275558291,0.0,1.0023862275558292e-08,1.0023862275558292e-06,5.011931137779146e-06,2.5097491717258145e-09,6.016827114506701e-06,1.0572545541391731e-10
2016-01-29,2016-02-01,PGR,0.010022629652240926,0.0,1.0022629652240927e-08,1.0022629652240927e-06,5.011314826120463e-06,2.1555478364198783e-09,6.015733339180976e-06,1.0669341740527227e-10
2016-01-29,2016-02-01,DHR,0.01003462461150604,0.0,1.0034624611506039e-08,1.0034624611506038e-06,5.017312305753019e-06,1.1863766792286974e-09,6.021961143582852e-06,4.9942295967922277e-11
2016-01-29,2016-02-01,EXR,0.010040690464704285,0.0,1.0040690464704285e-08,1.0040690464704285e-06,5.020345232352143e-06,1.9564855440730577e-09,6.026370764366644e-06,7.074185882164585e-11
2016-01-29,2016-02-01,PSA,0.010042679609257367,0.0,1.0042679609257367e-08,1.0042679609257368e-06,5.021339804628684e-06,1.668060148963111e-09,6.027275825703383e-06,6.90947655627661e-11
2016-01-29,2016-02-01,WM,0.010037948172425856,0.0,1.0037948172425857e-08,1.0037948172425855e-06,5.018974086212928e-06,1.7640860849390176e-09,6.0245329895404526e-06,9.243596954381849e-11
2016-01-29,2016-02-01,UAL,0.010038058806052961,0.0,1.0038058806052961e-08,1.003805880605296e-06,5.0190294030264805e-06,1.7160125611958122e-09,6.024551296192973e-06,2.63929618781078e-11
2016-01-29,2016-02-01,MCD,0.010038288589049633,0.0,1.0038288589049634e-08,1.0038288589049633e-06,5.019144294524816e-06,5.470034665405427e-10,6.02352015689632e-06,1.3108013180996192e-11
2016-01-29,2016-02-01,TSCO,0.010036229880510228,0.0,1.0036229880510229e-08,1.0036229880510227e-06,5.018114940255114e-06,2.552349316155785e-09,6.0242902776222925e-06,8.368847446080463e-11
2016-01-29,2016-02-01,XRAY,0.010037831731546773,0.0,1.0037831731546774e-08,1.0037831731546774e-06,5.018915865773387e-06,2.40862241036458e-09,6.0251076613384285e-06,1.4856905860168856e-10
2016-01-29,2016-02-01,CINF,0.010024720517355753,0.0,1.0024720517355752e-08,1.0024720517355754e-06,5.012360258677876e-06,3.6731605529337693e-09,6.018505470966385e-06,3.358867888076362e-10
2016-01-29,2016-02-01,ADBE,0.01003020252095239,0.0,1.003020252095239e-08,1.003020252095239e-06,5.0151012604761955e-06,1.5198714274307876e-09,6.019641383998866e-06,3.436978962114749e-11
2016-01-29,2016-02-01,CCL,0.010021716543701636,0.0,1.0021716543701635e-08,1.0021716543701636e-06,5.010858271850818e-06,1.6665309113156398e-09,6.014696457132298e-06,3.321534951493572e-11
