date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value
2024-09-03,0.0,0.0,-0.02115107439771169,0.02115107439771169,1000000.0,0.0,0.0,1000000.0,0,0,0.0,978848.9256022883
2024-09-04,0.0,0.0,-0.0016025435809103872,0.0016025435809103872,1000000.0,0.0,0.0,1000000.0,0,0,0.0,977280.2775398834
2024-09-05,0.0,0.0,-0.003018017615584734,0.003018017615584734,1000000.0,0.0,0.0,1000000.0,0,0,0.0,974330.8284469044
2024-09-06,0.0,0.0,-0.01726024985928465,0.01726024985928465,1000000.0,0.0,0.0,1000000.0,0,0,0.0,957513.6349023071
2024-09-09,0.0,0.0,0.0115800702824842,-0.0115800702824842,1000000.0,0.0,0.0,1000000.0,0,0,0.0,968601.7100909126
2024-09-10,0.0,0.0,0.004472672652839682,-0.004472672652839682,1000000.0,0.0,0.0,1000000.0,0,0,0.0,972933.94847113
2024-09-11,0.0,0.0,0.010665025888896507,-0.010665025888896507,1000000.0,0.0,0.0,1000000.0,0,0,0.0,983310.3142197609
2024-09-12,0.0,0.0,0.007495302358939249,-0.007495302358939249,1000000.0,0.0,0.0,1000000.0,0,0,0.0,990680.5223375016
2024-09-13,0.0,0.0,0.005407711405364557,-0.005407711405364557,1000000.0,0.0,0.0,1000000.0,0,0,0.0,996037.8366972186
2024-09-16,0.0,0.0,0.0012566297656613212,-0.0012566297656613212,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997289.4874905372
2024-09-17,0.0,0.0,0.00026455008109871336,-0.00026455008109871336,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997553.3205053317
2024-09-18,0.0,0.0,-0.002896455862498093,0.002896455862498093,1000000.0,0.0,0.0,1000000.0,0,0,0.0,994663.9513419996
2024-09-19,0.0,0.0,0.01697685316676334,-0.01697685316676334,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1011550.2151942053
2024-09-20,0.0,0.0,-0.0019410273951238066,0.0019410273951238066,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1009586.76851497
2024-09-23,0.0,0.0,0.0028092730585327352,-0.0028092730585327352,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1012422.9734240102
2024-09-24,0.0,0.0,0.0025111788443470395,-0.0025111788443470395,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1014965.3485764035
2024-09-25,0.0,0.0,-0.0018612489301417234,0.0018612489301417234,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1013076.2454072346
2024-09-26,0.0,0.0,0.00403867571712313,-0.00403867571712313,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1017167.731839155
2024-09-27,0.0,0.0,-0.0012532169669905446,0.0012532169669905446,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015892.999979339
2024-09-30,0.0,0.0,0.004236552581176722,-0.004236552581176722,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1020196.8840906009
2024-10-01,-0.0009272583421362501,0.0,-0.009324107094664358,0.008396848752528108,999072.7416578637,0.9999995007055203,927.2583421362585,0.49883150460664183,0,0,-0.0009272583421362501,1010684.4590856972
2024-10-02,0.0032599336851271143,0.0032599336851271143,0.00013839090212397487,0.0031215427830031395,1002329.6525422864,0.0,0.0,0.49883150460664183,0,0,0.0,1010824.3286197527
2024-10-03,-0.006004187908903336,-0.006004187908903336,-0.001681413492255035,-0.004322774416648301,996311.4769617567,0.0,0.0,0.49883150460664183,0,0,-0.006004187908903336,1009124.7149553117
2024-10-04,0.0078191134309058,0.0078191134309058,0.008970249395274354,-0.0011511359643685548,1004101.749412634,0.0,0.0,0.49883150460664183,0,0,0.0,1018176.815319396
2024-10-07,-0.006941891131294842,-0.006941891131294842,-0.009586022165882668,0.0026441310345878266,997131.3843834688,0.0,0.0,0.49883150460664183,0,0,-0.006941891131294842,1008416.5497989564
2024-10-08,0.009161641762321704,0.009161641762321704,0.009689347495581924,-0.0005277057332602197,1006266.744917158,0.0,0.0,0.49883150460664183,0,0,0.0,1018187.4481702542
2024-10-09,0.007401341805920447,0.007401341805920447,0.007113411987488272,0.00028792981843217547,1013714.469044221,0.0,0.0,0.49883150460664183,0,0,0.0,1025430.2349695786
