sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,2.7682833302079106,1.1320165442688543,1.6362667859390563
Health Care,0.6784389138702649,0.25790769758695264,0.4205312162833122
Communication Services,0.8349780572381134,0.41875859076172506,0.41621946647638836
Industrials,0.5780724922724169,0.2190271019158329,0.3590453903565839
Utilities,8.844222670338519e-08,-0.2631312966929098,0.2631313851351365
Energy,0.1587551215830586,0.12098384374580992,0.037771277837248665
Financials,0.7224665064215152,0.7105854179775528,0.011881088443962379
Transaction Costs,-0.013736002585976681,0.0,-0.013736002585976681
Real Estate,0.0038863046495897975,0.04206797472633798,-0.03818167007674818
Materials,0.21754359326158668,0.2723018767340142,-0.05475828347242748
Consumer Staples,0.009092771104990198,0.15289345090401085,-0.14380067979902064
Consumer Discretionary,0.5890618937416944,0.8057742639662396,-0.2167123702245453
