factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,0.005807564850118329,0.002221728024801573,0.03300025321525331,0.3674752676325085,0.9595725671791105,0.031235670659012123,0.19999999999999998,0.2315112336600059
beta_to_spy,-0.03353270924069383,-0.026191037645985547,-0.12594221139982362,-1.4024331128158858,0.992,0.0,-0.9999999999999999,0.08479385248539639
book_to_market,0.008242443306465124,0.0025093679075263646,0.022131927489339755,0.24645071431176802,0.9832524974928424,0.008363749747803599,0.39999999999999997,0.06373300600299878
earnings_yield,0.005875789445637008,0.012928545932941614,0.15025549967709356,1.6731744328426787,0.9745337682089419,0.016929256616716494,0.7,0.2504432365632201
free_cash_flow_yield,0.0124271479273398,0.009866324325351509,0.13685527647184498,1.5239558624103773,0.976806301027134,0.014508171163404927,0.7,0.17703558359141086
max_drawdown_252d,0.004921214357945382,0.00035045575840520464,0.0018897762285096003,0.021043657477638155,0.992,0.0,0.7,0.12281058375366417
momentum_12_1,0.011137728061489879,0.005807223878576112,0.03270792215678758,0.3642200067335608,0.9916871726542399,0.0003118064598961868,-0.3,0.2271890984210652
momentum_3m,0.0002596639533087625,-0.004008991490730586,-0.02645878820005284,-0.29463259604784336,0.992,0.0,-0.7,0.4428544026196903
momentum_6m,0.0054247253893460155,-0.0004980768262126712,-0.0028813552734759345,-0.03208541441662332,0.992,0.0,-0.39999999999999997,0.31554182120925683
realized_vol_252d,-0.018171803381753594,-0.009906940666479853,-0.05647290639980066,-0.6288556714364911,0.992,0.0,-0.7,0.08555938848787742
realized_vol_60d,-0.017099893627175324,-0.0077068995829287675,-0.046448368038260024,-0.5172271365500745,0.992,0.0,-0.7,0.25251280560820405
roe,0.0002266908275725166,0.0030717135424631298,0.04269438907268615,0.4754245959434029,0.9690364161279258,0.022156600209093744,-0.3,0.2148015818110038
sales_yield,0.012723370399846437,0.01775791582656004,0.16560228457004783,1.8440689968646968,0.8751598161024011,0.10872874672144678,0.7,0.13190650748938226
