candidate_id,family,factors,model_name,model_type,target,top_n,rolling,train_periods,blend_rule_weight,folds,periods,mean_rank_ic,positive_rank_ic_share,min_rank_ic,max_rank_ic,gross_total_return,net_total_return,net_sharpe,average_turnover,positive_period_share,min_net_return,max_net_return,shadow_deflated_probability_trial1,shadow_one_sided_lower_95,passes_shadow_return_gate,passes_shadow_sharpe_lower_gate,passes_shadow_dsp_gate_trial1,max_train_label_end_before_test_start
value_low_risk_momentum3__lgbm_steady__cross_sectional_rank__top35__roll36__blend0.0,value_low_risk_momentum3,,lgbm_steady,lightgbm,cross_sectional_rank,35,True,36,0.0,30,88,0.0072442077170339,0.5333333333333333,-0.1982642510627817,0.2048905831046518,2.977447022579934,2.811879443082205,0.9704368893449914,0.4897727272727273,0.6477272727272727,-0.1566867909592407,0.1837449160570593,0.9954231188914292,0.3595535883279837,True,True,True,True
value_low_risk_sales__lgbm_ranker_gain100__cross_sectional_rank__top25__roll36__blend0.0,value_low_risk_sales,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,25,True,36,0.0,30,88,0.014023971921502353,0.6333333333333333,-0.17449871721995738,0.24817954211745602,3.7868717863624246,3.5905814045633573,0.9591523069526681,0.48340909090909095,0.625,-0.15867030937405194,0.2576104526231196,0.9947571797798804,0.34826900593566024,True,True,True,True
value_low_risk_sales__lgbm_ranker_gain100__cross_sectional_rank__top25__roll60__blend0.0,value_low_risk_sales,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,25,True,60,0.0,22,64,0.035186090299859286,0.6818181818181818,-0.14593522948514492,0.1951612730330956,1.7438232948996437,1.6563686277053904,0.9517919554330433,0.5121875,0.59375,-0.12513175531445803,0.18836737086951827,0.9851601844706547,0.23391897899230274,True,True,True,True
value_low_risk_momentum3__lgbm_shallow__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk_momentum3,,lgbm_shallow,lightgbm,cross_sectional_rank,30,True,36,0.0,30,88,0.0048363947256919,0.5333333333333333,-0.2129711831093074,0.1991354686472416,3.04618667424456,2.881931625139578,0.9514772978663848,0.4776515151515152,0.6477272727272727,-0.1527597845182029,0.2014234918325321,0.9949453251437508,0.340593996849377,True,True,True,True
value_low_risk_momentum3__lgbm_ranker_gain100__cross_sectional_rank__top35__roll36__blend0.0,value_low_risk_momentum3,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,35,True,36,0.0,30,88,0.021272366402301034,0.5333333333333333,-0.11571446905064094,0.21689216260709696,3.405871313452919,3.228133149456334,0.9509103149306721,0.47581168831168824,0.6590909090909091,-0.1754340392023729,0.3061426022276075,0.9958295349897756,0.3400270139136643,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top30__roll60__blend0.0,value_low_risk,,lgbm_shallow,lightgbm,cross_sectional_rank,30,True,60,0.0,22,64,0.0290098177543641,0.7727272727272727,-0.0539272385394501,0.1416722642209313,1.539709132775552,1.4726629233550814,0.9504143704613708,0.4234375,0.625,-0.1387096559540491,0.2194030734304874,0.987274372765452,0.2325413940206302,True,True,True,True
value_low_risk_momentum3__lgbm_steady__cross_sectional_rank__top25__roll36__blend0.0,value_low_risk_momentum3,,lgbm_steady,lightgbm,cross_sectional_rank,25,True,36,0.0,30,88,0.0072442077170339,0.5333333333333333,-0.1982642510627817,0.2048905831046518,2.970712350814604,2.802992118210257,0.9485058077751392,0.4979545454545455,0.6477272727272727,-0.1474703477705647,0.1921352298860371,0.9951256412752284,0.3376225067581312,True,True,True,True
value_low_risk_momentum3__lgbm_steady__cross_sectional_rank__top50__roll36__blend0.0,value_low_risk_momentum3,,lgbm_steady,lightgbm,cross_sectional_rank,50,True,36,0.0,30,88,0.0072442077170339,0.5333333333333333,-0.1982642510627817,0.2048905831046518,2.630137504466836,2.490154341518685,0.941687420527087,0.4531818181818182,0.625,-0.1450339981637503,0.1759362517345653,0.9936320298329294,0.3308041195100792,True,True,True,True
value_low_risk__lgbm_steady__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk,,lgbm_steady,lightgbm,cross_sectional_rank,30,True,36,0.0,30,88,0.0077533113054238,0.5333333333333333,-0.2181129845914246,0.1806247380853381,2.843386756155547,2.690193206060264,0.933242361766786,0.4693181818181818,0.625,-0.1616450872479093,0.1953825571083983,0.993315851969775,0.3223590607497782,True,True,True,True
value_low_risk_sales__lgbm_ranker_gain100__cross_sectional_rank__top35__roll36__blend0.0,value_low_risk_sales,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,35,True,36,0.0,30,88,0.014023971921502353,0.6333333333333333,-0.17449871721995738,0.24817954211745602,3.5084931001971764,3.342188592125259,0.9300768613640589,0.43425324675324667,0.6363636363636364,-0.17102063474132942,0.254794013897059,0.9932482878965794,0.31919356034705104,True,True,True,True
value_low_risk_momentum3__lgbm_steady__cross_sectional_rank__top20__roll36__blend0.0,value_low_risk_momentum3,,lgbm_steady,lightgbm,cross_sectional_rank,20,True,36,0.0,30,88,0.0072442077170339,0.5333333333333333,-0.1982642510627817,0.2048905831046518,3.08024041015046,2.8971287134214534,0.925545740318024,0.5295454545454547,0.6590909090909091,-0.1680876246651256,0.2110186311620979,0.9936075020031608,0.3146624393010162,True,True,True,True
value_low_risk_sales__lgbm_ranker_gain100__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk_sales,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,30,True,36,0.0,30,88,0.014023971921502353,0.6333333333333333,-0.17449871721995738,0.24817954211745602,3.4485057157219474,3.2759636047915786,0.9176312410302874,0.4571969696969697,0.625,-0.16160457767600078,0.2559668777914069,0.993168648152072,0.3067479400132795,True,True,True,True
value_low_risk__lgbm_tiny__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk,,lgbm_tiny,lightgbm,cross_sectional_rank,30,True,36,0.0,30,88,0.0050058556401427,0.4666666666666667,-0.2296367038063255,0.181562197741422,2.6744931164090504,2.542773895311262,0.9042711633186338,0.4215909090909092,0.6477272727272727,-0.1540521281026607,0.1903950088130068,0.9926114480541512,0.293387862301626,True,True,True,True
value_low_risk__lgbm_ranker_gain100__cross_sectional_rank__top35__roll60__blend0.0,value_low_risk,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,35,True,60,0.0,22,64,0.022844397169169986,0.6363636363636364,-0.10282293449238436,0.17941642778072645,1.5075242931393937,1.4365564003483238,0.8787628749344846,0.45468749999999997,0.53125,-0.1526535066257171,0.1328013591198304,0.9723096588124682,0.1608898984937441,True,True,True,True
value_low_risk_sales__lgbm_shallow__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk_sales,,lgbm_shallow,lightgbm,cross_sectional_rank,30,True,36,0.0,30,88,0.0104848177579856,0.6,-0.1834652560247168,0.1557514454876949,2.5442659206975127,2.402927180566448,0.8751790012388114,0.468939393939394,0.5795454545454546,-0.1622014421623136,0.1699204851400564,0.9894994040286762,0.2642957002218035,True,True,True,True
value_low_risk_sales__lgbm_ranker_gain100__cross_sectional_rank__top30__roll60__blend0.0,value_low_risk_sales,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,30,True,60,0.0,22,64,0.035186090299859286,0.6818181818181818,-0.14593522948514492,0.1951612730330956,1.5091522338757004,1.4329698366490806,0.8737601337562034,0.4869791666666667,0.578125,-0.11933859148785232,0.17175180652375957,0.9762424539599449,0.15588715731546296,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top20__roll36__blend0.0,value_low_risk,,lgbm_shallow,lightgbm,cross_sectional_rank,20,True,36,0.0,30,88,0.0061429140626483,0.5,-0.223056428377304,0.1995962356082751,2.614111325672028,2.4682795548847607,0.866291669655895,0.4750000000000001,0.6363636363636364,-0.1684790032855029,0.1948684823078504,0.9897482192749072,0.2554083686388871,True,True,True,True
value_low_risk__lgbm_ranker_gain100__cross_sectional_rank__top30__roll60__blend0.0,value_low_risk,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,30,True,60,0.0,22,64,0.022844397169169986,0.6363636363636364,-0.10282293449238436,0.17941642778072645,1.4759398401134667,1.4034992744235604,0.8617265676256389,0.4703125000000001,0.546875,-0.1522603082352921,0.13064017932547464,0.9700954051207503,0.1438535911848983,True,True,True,True
value_low_risk__lgbm_ranker_gain100__cross_sectional_rank__top25__roll60__blend0.0,value_low_risk,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,25,True,60,0.0,22,64,0.022844397169169986,0.6363636363636364,-0.10282293449238436,0.17941642778072645,1.4122776390799037,1.3385668550101593,0.8498385180879721,0.4909375,0.5625,-0.15014203261178027,0.13380798839897706,0.9677290940627973,0.13196554164723157,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top40__roll36__blend0.0,value_low_risk,,lgbm_shallow,lightgbm,cross_sectional_rank,40,True,36,0.0,30,88,0.0061429140626483,0.5,-0.223056428377304,0.1995962356082751,2.282977234787207,2.162101280240349,0.8480165789284843,0.4323863636363636,0.6136363636363636,-0.1446381333851667,0.1649960921180371,0.988757913449742,0.2371332779114764,True,True,True,True
value_low_risk__lgbm_shallow__forward_return__top30__roll36__blend0.0,value_low_risk,,lgbm_shallow,lightgbm,forward_return,30,True,36,0.0,30,88,0.0099348898674414,0.5333333333333333,-0.1168274589841429,0.1471798079630613,3.293062520525182,3.1567814523075786,0.8438583500912472,0.3712121212121212,0.625,-0.2188949557067227,0.2503139365825354,0.9869991850824592,0.2329750490742395,True,True,True,True
