month,portfolio_return,benchmark_return
2024-01,0.0,0.01589570759899117
2024-02,0.04158143366128053,0.0517206406237225
2024-03,0.04559874183403245,0.031018779915342964
2024-04,-0.03525830022179699,-0.04161507173789902
2024-05,0.03839297702829536,0.0480211901511991
2024-06,0.04613155674274361,0.03466980128308306
2024-07,0.030091986418091743,0.011321316887868083
2024-08,0.03649650021297246,0.02283470693663059
2024-09,0.024912838962193096,0.02019688409060083
2024-10,0.021699779859736035,-0.00989674330315149
2024-11,0.07510659122154872,0.057301295482098835
2024-12,-0.03167053240923934,-0.024990137048483407
2025-01,-0.0009363123726074951,0.027016304240443434
2025-02,-0.023452180585196825,-0.01424209269982446
2025-03,-0.03724370076705119,-0.05754469768137538
2025-04,0.024711160703615453,-0.007624943346289492
2025-05,0.04712197706137289,0.061523826140782445
2025-06,0.04260669508902826,0.04960683946771627
2025-07,0.0009477950785885536,0.021666562530641142
2025-08,0.03304855557623809,0.019066444295036122
2025-09,0.021127153732543924,0.03532368721870216
2025-10,0.001132444758984441,0.022686871904923578
2025-11,0.005421441153441453,0.0012996181666717899
2025-12,-0.010643279944981043,-0.0005241344225136446
