sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,2.9694589531578117,1.1649159383723255,1.8045430147854864
Health Care,0.5684051380801453,0.2627451094878848,0.30566002859226044
Communication Services,0.7342585440335851,0.44811192514215276,0.28614661889143245
Utilities,0.11745566926405167,-0.1356185032052665,0.2530741724693182
Energy,0.28620329521877724,0.12604698436769396,0.16015631085108328
Industrials,0.3383290246368467,0.24654391917962426,0.09178510545722249
Financials,0.5573603521550393,0.4737716056788233,0.08358874647621602
Transaction Costs,-0.01479969939116957,0.0,-0.01479969939116957
Real Estate,2.3990725733962974e-08,0.04105647034116375,-0.041056446350438015
Materials,0.19695674488576922,0.2750159790295224,-0.07805923414375317
Consumer Staples,0.02060946120099893,0.15389482238421376,-0.13328536118321482
Consumer Discretionary,0.4753435493046444,0.9019476554988436,-0.4266041061941991
